rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.9833891201729325,0.07859447634766324,0.7011381866632651,0.02675334261501034,0.008321536382064301,0.09019257514889269
1,1.0,1,0.9257599451168916,0.0814162335126526,0.7816162160057046,0.027102462836753764,0.008219400415832847,0.0877641483365729
2,1.0,1,0.9654861477209161,0.07833246610154285,0.7084614927065278,0.02711604961249514,0.0078048515798443754,0.09270457899127989
3,1.0,1,0.9271582593133655,0.08206220373648568,0.7738212455063972,0.02673341036709651,0.007888034198925564,0.09341159503407868
4,1.0,1,0.9299689444795434,0.07726482342208563,0.791164810732416,0.026655616027989517,0.007802249200438505,0.09180657355434435
5,1.0,1,0.9053375707972876,0.08241882131911811,0.8102745136401033,0.025759464338404967,0.008070712019016747,0.0871706376148573
6,1.0,1,0.9648848389757015,0.08177390408679353,0.6731341164387321,0.025647335584813198,0.008308614851224123,0.08975256838181038
7,1.0,1,0.9529338853009558,0.08079762780791944,0.668553824904167,0.024943237863182324,0.008276779744893785,0.09299797386405137
8,1.0,1,0.9327314711106584,0.07659120942263102,0.8338343828558259,0.027547008958567848,0.00804882791835239,0.08882682796276149
9,1.0,1,0.9931296299933258,0.07621478452318402,0.8292416210804655,0.025077394440663505,0.00838195654865107,0.08926821120296459
10,1.0,1,0.917092281896518,0.0811314350549072,0.6695794835384274,0.026776017359438253,0.008235900907602943,0.09175355576204466
11,1.0,1,0.9291151736830556,0.07658086775282724,0.7023593269937389,0.02662340056461082,0.007948094944628854,0.08848808593679008
12,1.0,1,0.9243343125462755,0.08351233222824778,0.8452034025406486,0.024618762447270084,0.00805720778845718,0.08729584766032386
13,1.0,1,0.9355155493706007,0.08373510777309687,0.729756681952336,0.025446739777103138,0.007833039327197238,0.0932308865345447
14,1.0,1,0.9018919325605502,0.0768486719838015,0.7164849813297685,0.025824497263572558,0.007989626684992673,0.0876330848728674
15,1.0,1,0.9483836258064854,0.0780747353805376,0.7189527799609243,0.026438356589922954,0.007699860210941382,0.09500475819709989
16,1.0,1,0.9475797155647059,0.07725823216023289,0.7522099355093972,0.026400087994520597,0.008150841649809564,0.08765011811996573
17,1.0,1,0.9657178731729631,0.07857640761181693,0.6924806910266925,0.02522160978293216,0.008272817327578468,0.09315939571261499
18,1.0,1,0.934659823376505,0.08052466029484907,0.7342415805158362,0.02748183384571932,0.008398614248462501,0.08745744154269117
19,1.0,1,0.909327394654982,0.08025485283893402,0.8202471977717268,0.024579144935029835,0.007690029108564265,0.09437804410299995
20,1.0,1,0.9950268059070464,0.07766516308022264,0.6830303515829141,0.027529414688088963,0.008092679361792905,0.08841286385729225
21,1.0,1,0.9015560778403452,0.0766598440539166,0.7178248360852926,0.02727934572331844,0.007759204500725616,0.09137591735319661
22,1.0,1,0.9485536602916883,0.08338702161819973,0.8364128038394283,0.024935628666245643,0.0078293584882851,0.09616259169580706
23,1.0,1,0.9430903618191522,0.07813547495288922,0.8065601953119166,0.026788017287678302,0.00831909970997099,0.09585853989607844
24,1.0,1,0.9471971881642273,0.0764668455085945,0.7597678119367204,0.02625327341408767,0.008306540510306356,0.09311023680382544
25,1.0,1,0.94356393221828,0.080887737415787,0.6849359455644974,0.02626298472770966,0.008117395125206473,0.08866007037543609
26,1.0,1,0.9603233910414001,0.08003211852398066,0.7764509556153848,0.026310761605916146,0.007705684864960876,0.09077941075462627
27,1.0,1,0.9255528172315415,0.07935227762381157,0.6888273483049238,0.024999405472469635,0.007979444011756598,0.08728636085156982
28,1.0,1,0.9906079599954528,0.08350351566695068,0.8370507373999023,0.025202166330469993,0.007661587123955497,0.09495565459350386
29,2.0,1,0.9852308582861107,0.06369464172562612,0.8809403218641667,0.03527780782889295,0.04639089957927274,0.0937696756047122
30,2.0,1,0.9134660696994819,0.06690251074701598,0.8851975871118614,0.03387159320537453,0.0490145678754355,0.09498864069925428
31,2.0,1,0.9193060280619892,0.06779244445229046,0.8197481330155083,0.03374156264429908,0.045179807100848283,0.09586867072189177
32,2.0,1,0.9760458854559683,0.06682426602368842,0.869347087403693,0.0360053356179335,0.04726794526423873,0.10237955586234923
33,2.0,1,0.9152542266453048,0.06224037248125262,0.7987360503824193,0.03608395506900213,0.047561137200321346,0.09948137115087345
34,2.0,1,0.9945669950142735,0.06412068703841659,0.7719756320470852,0.03608378908892526,0.0449052562437888,0.09396574655317819
35,2.0,1,0.949296019561075,0.06460416283890268,0.8575032425794638,0.034084180022811605,0.044806982213580045,0.09484341886961549
36,2.0,1,0.9062867704014319,0.06283438523463203,0.7514412546957915,0.03761876015865668,0.04585904710905128,0.10159809596592613
37,2.0,1,0.9276316015514372,0.06603929010694912,0.865967928414928,0.03647524326259729,0.045650359690007775,0.09386314559323472
