rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA
0,1.0,1,0.07248720253477547,0.051940112075872874,0.03351020074896184
1,1.0,1,0.070491770997574,0.04873482386544591,0.03622136767422704
2,1.0,1,0.0767218473896083,0.05431420033086148,0.03975660177296821
3,1.0,1,0.07705453338336306,0.05024214152232329,0.037219613245551356
4,1.0,1,0.07068628685543037,0.05311456512642948,0.032578165987596164
5,1.0,1,0.07026919074008328,0.056744360230669665,0.03136047807198273
6,1.0,1,0.08302950277836196,0.04803657991644212,0.03936502849321539
7,1.0,1,0.07063986237967865,0.05173520574094621,0.03629366138133885
8,1.0,1,0.07914648978161064,0.0499449511567681,0.03161797651821614
9,1.0,1,0.07348921716781351,0.05524952603903064,0.033579764327071035
10,1.0,1,0.0792136740187588,0.05536637411172695,0.03460065415114924
11,1.0,1,0.07795246104943128,0.058075683310510995,0.038940800873256395
12,1.0,1,0.07808858570887242,0.054455337681932184,0.03852647504644871
13,1.0,1,0.07205246023425041,0.05339727379637745,0.03607082848931404
14,1.0,1,0.07977777738091278,0.056336727208617994,0.03920100053483048
15,1.0,1,0.07685395542208066,0.05273667498376823,0.03351139523213512
16,1.0,1,0.07587307469088267,0.05425290934987555,0.03269492966823042
17,1.0,1,0.08284483050935329,0.05048380253910304,0.0361016865192177
18,1.0,1,0.07209138124371271,0.055884116262223366,0.03591993670103206
19,1.0,1,0.07531207023891909,0.05036286907241361,0.03393454671203144
20,1.0,1,0.07206582829810898,0.04824532725066321,0.0352038612168535
21,1.0,1,0.07746778701969767,0.05153818227549444,0.03374146796953762
22,1.0,1,0.07281476048908087,0.055281690355007594,0.03816645818932577
23,1.0,1,0.07625038573079491,0.05332833692371664,0.03511210464752367
24,1.0,1,0.07515919173425423,0.049366253838328863,0.031047499617734182
25,1.0,1,0.07057409355305687,0.055150596314297376,0.036233090989104794
26,1.0,1,0.07303271707245015,0.05153832453455737,0.03646807168422373
27,1.0,1,0.08315713213386433,0.05468201701660612,0.039488071006397056
28,1.0,1,0.07199758853094812,0.056226284292445194,0.0366342033967224
29,2.0,1,0.05785560491018041,0.04425411088605192,0.04821505723748759
30,2.0,1,0.06510175972401211,0.042227303940108,0.057278310527684964
31,2.0,1,0.06845882186329069,0.045718987560403386,0.05090135526983697
32,2.0,1,0.06660305937358775,0.04115304323698136,0.05574600614403603
33,2.0,1,0.06822189542236448,0.039498459237548814,0.058199210051108966
34,2.0,1,0.061850941056096204,0.044702851093411454,0.05214145293659904
35,2.0,1,0.06304679198478594,0.04069956158270878,0.06047996205116807
36,2.0,1,0.0636968709399654,0.044928422473607246,0.057979049626716087
37,2.0,1,0.060294497660909156,0.04634084434919782,0.051013078331374855
38,2.0,1,0.05819567865561643,0.047243749260309185,0.05451127563506991
39,2.0,1,0.06933737162592503,0.04312203349415279,0.058124784509892384
40,2.0,1,0.058342342248689075,0.04420858011541321,0.05630829002623973
41,2.0,1,0.05749487545672578,0.04234419066345099,0.050064765848979564
42,2.0,1,0.06700627727019286,0.04677947973741605,0.05769228590028887
43,2.0,1,0.07000466102295332,0.04187743124634631,0.055418041588293956
44,2.0,1,0.06386354515076045,0.04102877218045494,0.0570087940509279
45,2.0,1,0.059520682903932406,0.04241669841449671,0.049053603876972114
46,2.0,1,0.06076341173267275,0.04593149195971743,0.05472244879205011
47,2.0,1,0.06994527639604359,0.0457715137029058,0.05444188196003173
48,2.0,1,0.06165276961170757,0.04101033570569991,0.050397463624544336
49,2.0,1,0.06620813361376585,0.046611478464349425,0.05909902022942477
50,2.0,1,0.0628331840235174,0.04357316580221719,0.052090168934818555
51,2.0,1,0.06866306666513479,0.047348095976939626,0.05126843662974858
52,2.0,1,0.05923333593416202,0.0443806420218295,0.055532007797289236
53,2.0,1,0.062416623938820276,0.04725470660658421,0.057492404067429705
54,2.0,1,0.059757900009066785,0.04612473300920882,0.055729334097058526
55,2.0,1,0.06524848982429994,0.0485290646949414,0.054182914105138015
56,2.0,1,0.058814465032442906,0.047190756444474326,0.05336473176251263
57,3.0,1,0.07415940936544867,0.045296701111718275,0.04273815431675651
58,3.0,1,0.0639197143521077,0.049019416396576664,0.03827948545932663
59,3.0,1,0.07192566558770247,0.048872697344253695,0.04204519159158832
60,3.0,1,0.06472628975635475,0.048405615911594445,0.042170380399264684
61,3.0,1,0.060527449914282466,0.05393522406073099,0.04218783615707148
62,3.0,1,0.06666857221446452,0.052790889301786124,0.04213490277785049
63,3.0,1,0.0739672233888684,0.04806727764503505,0.03791434474371837
64,3.0,1,0.061873075944742506,0.05114772384690975,0.04075667661580734
65,3.0,1,0.06349032600770428,0.04745210377711287,0.04221735153893352
66,3.0,1,0.07177296258675203,0.04665694985084948,0.03599995936940827
67,3.0,1,0.06817683398306261,0.04919963783694573,0.041760178882707014
68,3.0,1,0.07082952119081273,0.05249236932448695,0.037383555011116676
69,3.0,1,0.06319696719222956,0.052840056305895076,0.04123109029157674
70,3.0,1,0.06881140656308882,0.04812651078579678,0.04121319696079529
71,3.0,1,0.06085895872236638,0.044619366955227384,0.03793019852533906
72,3.0,1,0.06238850254708993,0.052853439960408616,0.034352844121239456
73,3.0,1,0.07341019750156759,0.050405637394720086,0.03511439541435891
74,3.0,1,0.06325649386855164,0.0508466921170917,0.04180603371288804
75,3.0,1,0.06970298262131196,0.05079733529998756,0.04176709952630111
76,3.0,1,0.06066282722459372,0.05108435811378937,0.0395098797619705
77,3.0,1,0.07037011102589745,0.0479535384992646,0.03516517019849545
78,3.0,1,0.07386039171815782,0.04463225499909334,0.04225558573457754
