fid,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.03609047976184207,0.05192045920280854,0.43310111004042356
2,0.041414648788922,0.04365262965875783,0.41785529298895
3,0.03808879819532006,0.04851918588986298,0.4221727786906098
4,0.03741355967113108,0.054884832510149535,0.433895968804362
5,0.04575900443648008,0.06377115950202226,0.4587394052939336
6,0.42208433523206446,0.1777370895955722,0.5286148498286749
7,0.4276334927156416,0.14421504097716367,0.512334836215215
8,0.4393218537480067,0.12058089943619421,0.4931558644379144
9,0.05544592971993291,0.045583546245427514,0.425957062616858
10,0.04930256195927956,0.04221854105125447,0.4202449412928881
11,0.042562974604145494,0.04701521509362877,0.41854840377881114
12,0.03940300158090485,0.054251421666374186,0.42644769190849224
13,0.03833828337755927,0.06137440580369238,0.43646965442879143
14,0.056677868130164975,0.0789512696013797,0.46620302503853883
15,0.43077841391247595,0.26350366920742085,0.5667057196937683
16,0.43574959019278997,0.19167622822036665,0.5433184249147411
17,0.446365005631297,0.14644204743604938,0.5190445325660324
18,0.4666834090084384,0.1165028201946371,0.4993982450076672
19,0.5078176224551881,0.09163395280475718,0.48008442587624023
20,0.06360805111513859,0.05756100613787764,0.4418334080795643
21,0.05826298345434554,0.04990463843916035,0.4327846096337152
22,0.051735120339874804,0.05231795123041818,0.4282439924156405
23,0.04460143446327493,0.0589103850810559,0.4215130810652896
24,0.042753306535004476,0.07098587783300986,0.4270169804188221
25,0.04744667063319584,0.08357388657101425,0.4475896707401751
26,0.3486927641720265,0.4513871474062646,0.6083515109389027
27,0.39154023037607427,0.4026092373443809,0.6117769049992351
28,0.430723488472399,0.3164117380614132,0.5908983439716099
29,0.45574530373530464,0.22544626009201282,0.5601886840959496
30,0.48114492023607736,0.15128303241335697,0.5274102770608645
31,0.5188149084376155,0.11412924013478158,0.4995161348967887
32,0.5606631264447437,0.0824612823062514,0.47534200215962635
33,0.5992329326593948,0.055750617027339126,0.45637541577176943
34,0.6270366200567504,0.04519256363367132,0.43765658710213157
35,0.06762731159285176,0.07489841152634384,0.45609655866853027
36,0.06271133387144444,0.07048783472252844,0.4450584784878545
37,0.05584140716551068,0.07150133149495193,0.43540684059472773
38,0.05181370453319519,0.07787083923955586,0.4312620581092467
39,0.05898326551055242,0.09512142105386501,0.43429690580103214
40,0.07291629401771828,0.11507101793457841,0.45453090862342393
41,0.10412041622461882,0.1578525911225222,0.4967393887986974
42,0.24493701334942297,0.39997288133385467,0.613352576347353
43,0.3062222253603996,0.4589665735133384,0.643259889295766
44,0.35699887931058544,0.44214050602986266,0.6460009889546426
45,0.4088660778525243,0.3596508760856829,0.6218151286454858
46,0.46043014059652043,0.2589174063037102,0.5838175573811383
47,0.5189930998390996,0.16482242616981818,0.5404217258481504
48,0.5790499336794162,0.11135386060922187,0.502909284915054
49,0.6270373255115398,0.0741250276985068,0.47170793754656853
50,0.6553028658331145,0.04730273840703608,0.45043849705779193
51,0.6714562313763751,0.039990162971915634,0.4252579603624923
52,0.06854273704101797,0.10240602764809684,0.46731225916573016
53,0.06539146230525167,0.099277748068721,0.45562240393309306
54,0.07017602028254907,0.1008035952391567,0.4439979200857124
55,0.0847860883947857,0.11320756235836174,0.4509327506086706
56,0.10319230518718663,0.1363136078527775,0.4771708283987123
57,0.12620710998668,0.18490813367749362,0.5238553199236944
58,0.15392570966986355,0.27844496864221546,0.5834978762414006
59,0.19622170508699713,0.39314851412024276,0.63997011967069
60,0.24844901564059446,0.4595274997454271,0.675087181461368
61,0.30642909418046926,0.4760715125488345,0.6797396316482234
62,0.37249718039386087,0.3962400228689596,0.6572562983762269
63,0.4474517738425194,0.2817997863675981,0.6146764307477439
64,0.5308029007116714,0.1801957006616027,0.5608369730317371
65,0.6148048734557808,0.1145395568730195,0.5084182310092655
66,0.6795918979325613,0.06981126817267316,0.4687711979873086
67,0.6996024531401303,0.04235744943520059,0.4374580896623107
68,0.7100701920433589,0.0301859512188712,0.4126997043739866
69,0.0921829691716019,0.1449332911384544,0.5122280965468015
70,0.07817360335917926,0.13382727945225897,0.49867139217041107
71,0.07833897213343508,0.1202784611637271,0.4816085772154486
72,0.09188136853146754,0.11212937970243571,0.4709164063631355
73,0.1115974194717004,0.11719505956448255,0.47682682770742013
74,0.12422585607724038,0.1385197958049084,0.5045721201157327
75,0.1285798394078829,0.20066918633913458,0.5531228578341676
76,0.13221649522450676,0.2964419086137553,0.6121283413290353
77,0.15096704896258056,0.405135960586957,0.6661356783042325
78,0.19482457569285502,0.48859652558326994,0.7005129446003372
79,0.25796930393482864,0.4831463514739064,0.7075018790403268
80,0.3379611397432982,0.39932230954926035,0.685767116793132
81,0.4253863128251679,0.2876194240012446,0.6485287701300051
82,0.5223855084361655,0.19164087621033207,0.5776292283387122
83,0.6197426999369999,0.12206971663474393,0.5133775207648021
84,0.6990416472501222,0.06870566885239614,0.4604666445683897
85,0.7461201136343647,0.039367670921043,0.42198124458245695
86,0.7453173257018266,0.026637812645546616,0.3878295726334151
87,0.1755897336381131,0.15218195756875014,0.549820489710874
88,0.11824875519233546,0.15253070456182005,0.5439310570757578
89,0.09354885235806254,0.14120749293500973,0.53402426820754
90,0.09067393690589876,0.12543707702275456,0.5140338924463225
91,0.10691288210443825,0.10878942845651751,0.5006986155079782
92,0.12594607831598198,0.11123837683854172,0.5052401971026699
93,0.1301995093205782,0.13568611227372937,0.5347046840669557
94,0.11803931273701745,0.2093045480436318,0.5850343683056833
95,0.1055565971450061,0.3271603131977585,0.6441230934285332
96,0.1141292466388321,0.45304775573637085,0.6975519417812954
97,0.1565247324479267,0.5139788483438364,0.7323362832352408
98,0.2270047988108911,0.48393986344446777,0.7471869931634528
99,0.3123690147510751,0.39352623648557894,0.7231947119070494
100,0.4058934482411566,0.29506871832726594,0.6659416417132814
101,0.5094103919914328,0.20385606150546878,0.5853036030568715
102,0.6128595798760164,0.12212061526089799,0.510201540575695
103,0.6969572137852797,0.06423604950775152,0.44306198103626593
104,0.2539536065906672,0.11987113144750713,0.5670905593231438
105,0.1654588132553149,0.13608539284064491,0.5678006219083049
106,0.11591616989766404,0.13564327823291064,0.5599561897288423
107,0.096907151777484,0.12472381684471118,0.5408191242058785
108,0.10631447071525538,0.11345563400381427,0.520582452230752
109,0.11665677439704468,0.12112377601344258,0.5246771058368082
110,0.11061447939612049,0.1638216528492439,0.5579847967198008
111,0.09271854211891649,0.27445148762145233,0.6159382215388347
112,0.08014671288373643,0.4278787856735777,0.6830922222993895
113,0.09053354232864677,0.5527455735978616,0.7419690492752303
114,0.1329511108018654,0.5782450000914628,0.7788089373787453
115,0.20214127818866268,0.5112419253701175,0.7823247574155859
116,0.29069201597186844,0.40208271754666836,0.7473824911895989
117,0.3946779427512578,0.301717129036213,0.6768909266333334
118,0.5085664878384573,0.20132971703184355,0.5852075382544144
119,0.6157687045434697,0.11165192428892591,0.4982126454623328
120,0.6965756830102278,0.051477655627095546,0.4202597984468615
121,0.754923913541657,0.023254027348916226,0.3596965972822387
122,0.5276060164825822,0.04012587239074959,0.5516269118812013
123,0.44136848826294267,0.059253489809484874,0.560252258781832
124,0.335102392177348,0.08465961657756604,0.5688288642121986
125,0.22055352946989282,0.1072348348042693,0.5793928760400026
126,0.1385436010061258,0.12100104411617207,0.5721759601229548
127,0.09996405165611266,0.1265407022437381,0.5581651876139108
128,0.09371436230659182,0.13072899033516663,0.5439181017028116
129,0.09273151925195665,0.15129564805878826,0.5529157221850065
130,0.08174961063768267,0.22434203873452835,0.5926472865026112
131,0.06629951649964151,0.38025624087795185,0.6569113503371546
132,0.05944919915439971,0.5714135237409982,0.7287728099896895
133,0.07365034141726451,0.6891460736343119,0.7891387624401798
134,0.11430783249202271,0.6737955332517728,0.8232398880720897
135,0.1807995409817012,0.5647386894052667,0.8192111866685731
136,0.2760736520143373,0.4300287105654731,0.77260665764702
137,0.3955515683949764,0.3116060495902879,0.6883488836416141
138,0.522511404891351,0.1903212949066081,0.5828338900915007
139,0.6284158329196071,0.08510743255933864,0.484185062927976
140,0.702800640858707,0.03759777333434098,0.39416431008527036
141,0.7505399668075204,0.016448401405560018,0.3316052773512099
142,0.7858430050249082,0.011328631570015452,0.28631649378391183
143,0.6076484774333553,0.021477354931386975,0.5486456852603351
144,0.5228579428961352,0.03540569822817142,0.554892239921541
145,0.3981668488034249,0.0568687718511271,0.5629170618695613
146,0.2622174632639099,0.08206507417470503,0.5718202853881257
147,0.15678628395574223,0.11322153812077514,0.5744705377673306
148,0.09959250836112538,0.13402381710513853,0.5683104421998459
149,0.07780387160352548,0.15112094438568405,0.5598497695296617
150,0.06779812947510186,0.18271187521009605,0.5746017942007472
151,0.05703688673609825,0.28777958520476626,0.62024009822515
152,0.04697909591417893,0.48853013258926403,0.6895719952427457
153,0.04502816897768254,0.7102256051378131,0.7651299245838297
154,0.05924884777569814,0.820219091306476,0.8269917323411887
155,0.0954741234208374,0.7673472387082925,0.8587219725111813
156,0.1607020815222108,0.6176082685039167,0.8485426562082395
157,0.26465895554168056,0.4565679249994537,0.7930185736160565
158,0.398369789977126,0.31562183920542436,0.6985273542746928
159,0.5328406765059949,0.17938110234389298,0.5805456632195836
160,0.6336789298307965,0.07261715783986876,0.4723774678041656
161,0.694209449719619,0.02040504127390852,0.37591082569676165
162,0.7398488402893468,0.014230352997817056,0.30147841545843657
163,0.7847804839966804,0.01111384756083582,0.25201026993139825
164,0.8185892594641597,0.009178583111448951,0.21959776281281174
165,0.6741534051784842,0.01400344239118754,0.5408938058910148
166,0.6419603693076137,0.015614947601208393,0.5443699185119943
167,0.5573126409114934,0.023288717976308434,0.5493244774297895
168,0.4239274166067301,0.03700565850369777,0.5559378575676505
169,0.2759269987355288,0.065890430846976,0.5650096063098305
170,0.16251382392138508,0.10471718344584569,0.5704100766833051
171,0.09633176384630447,0.13345427956492562,0.5684405425270829
172,0.06576966598737455,0.15455597918029243,0.5670519996362348
173,0.05131836754873174,0.19342951443204823,0.5862240130074409
174,0.042924995472881686,0.31246361656863775,0.634727809513402
175,0.03777030410833279,0.5275597458726666,0.7049545160315739
176,0.03791367240818092,0.7579850341675874,0.7806580706688339
177,0.049965064073561945,0.8644989058544162,0.8420520780455869
178,0.08296237934284346,0.7969706674388191,0.8722251228924074
179,0.14815874415090188,0.626802405469645,0.8598210744669851
180,0.2566732108827462,0.45196758961513406,0.7999866665998663
181,0.39559115787576876,0.3047714927530929,0.7003250614964796
182,0.5302999595590685,0.17410357582699457,0.5777811946225888
183,0.6218039666134645,0.07464752719228925,0.46218125692260353
184,0.6705964888302853,0.02511651162006169,0.36373057834626293
185,0.7117157737225801,0.014867055999954215,0.29095964413436687
186,0.7596997252359657,0.01350192393819419,0.23816927273206087
187,0.8093208056298846,0.012739161956610538,0.2060179306664976
188,0.8446333666759035,0.012199039171451426,0.18524240219610127
189,0.680131434157278,0.011713653199723333,0.5327874912561104
190,0.6628161601864971,0.012014194571381745,0.5360838384940153
191,0.6354419955861238,0.012944146940213666,0.5393036475281507
192,0.5702770174145143,0.02006476908743765,0.5429731418761204
193,0.42331505143196146,0.03673590176253189,0.5483169613491692
194,0.27132584189284176,0.0659768813299147,0.5570161886310451
195,0.15661941084744962,0.09962533227797968,0.5632112935965723
196,0.0911018915672585,0.12782129349322463,0.5649197457355755
197,0.0583902755935193,0.14748673055398953,0.5715939256902788
198,0.04356108739920202,0.18804406143147473,0.5865426871336796
199,0.03765444763122541,0.2957345481618058,0.6339566257853594
200,0.035784446939107095,0.48721041746034616,0.699821890417309
201,0.036762509436226554,0.695227310970975,0.7701055035191557
202,0.047126073394761867,0.7967408299239239,0.8269780928902587
203,0.07917020182421691,0.7386299106773637,0.8555290083254342
204,0.14568151400036503,0.5798489400920407,0.8437933649353122
205,0.25508758961211675,0.4160722616139692,0.7849339206347842
206,0.393428895505524,0.2866851695922222,0.6857379925601143
207,0.5260391242587167,0.17847362286363055,0.5644831905421253
208,0.6158425963889017,0.09011877108098201,0.4447901320959927
209,0.6601930275187706,0.03604771141100573,0.3541890320986018
210,0.6865472300529621,0.020364527773652427,0.28374567059530076
211,0.7304487130760592,0.02040852880011537,0.23654458211127496
212,0.7805577701436133,0.021443168948756523,0.20451674214327595
213,0.8320813466896566,0.020307065985427083,0.1821966465270141
214,0.8751828064721489,0.016878549352618274,0.16474421083025642
215,0.8948947317928309,0.012202361511303127,0.15458351602200476
216,0.9021511885764965,0.01023295396194251,0.14728596003438962
217,0.9046740329756431,0.008452292748285958,0.14154558358824018
218,0.6723472018832017,0.01179125604894028,0.5296213071008311
219,0.6418077799534411,0.01485428355609764,0.532394441521864
220,0.545302197532304,0.019543219295008598,0.5358209405516505
221,0.40570852214379055,0.039485000675730055,0.5407997381166094
222,0.24837193366351096,0.06908487249273504,0.5485102685278247
223,0.13836333644463944,0.10058709230440947,0.5547690380529237
224,0.080473424055558,0.12494307163319514,0.5563722593091963
225,0.055263962561931196,0.14629653833138268,0.5631568469283887
226,0.04236625325810656,0.18827064468696691,0.5832397002248143
227,0.0390204521609556,0.26807888535846763,0.6194592318906184
228,0.039532325049108356,0.4011929792725585,0.6764850576983485
229,0.04196809593348223,0.554289670984751,0.7364638370835923
230,0.05254648749275857,0.645269008497291,0.7853262851513333
231,0.08620979209286327,0.6160512584160924,0.8110818941578484
232,0.1568388210914929,0.49522630594469935,0.8009985483578324
233,0.2703504751453131,0.3627848493923488,0.7467565021515963
234,0.41163616545638665,0.2597618206956249,0.6525476999780162
235,0.5462803196672987,0.17525445898804207,0.5370215696773452
236,0.6447504678820707,0.09814802163698151,0.4255852445584667
237,0.6965870394225061,0.04404665502120403,0.3372040430235743
238,0.7142300018374377,0.027388229966236792,0.2791310260128018
239,0.7272508651375603,0.032265256988898275,0.23605836879720343
240,0.7622510966901165,0.03718522043782008,0.20511288176015072
241,0.8120956681300161,0.031394809643988345,0.17896433062959974
242,0.8622574702096542,0.02388445838355369,0.16187298211232
243,0.8956963361969533,0.014488783383485129,0.1504314081976291
244,0.9029177169366003,0.010298479366789837,0.14159385032938435
245,0.9060406618776643,0.008352494536305238,0.13787402011018954
246,0.10827581934946473,0.10929377820383794,0.5422402373261118
247,0.06942866063505346,0.13249520913672805,0.5432848823686182
248,0.053270004080765286,0.15844424545560074,0.5485016743535142
249,0.04491889396484112,0.19679649074464714,0.5654201287494978
250,0.04344739021049599,0.24638051008015555,0.5957905857557025
251,0.045239806643613496,0.31742214699930277,0.6414699962143601
252,0.049001643739182796,0.4130762902513487,0.6891792715243719
253,0.06071022173049756,0.48713275684253415,0.7288298013594013
254,0.09768955622492963,0.4915143998531644,0.7511995339467882
255,0.17648240256447129,0.41639120957889025,0.7430188555197819
256,0.3008938180808801,0.3139235513264435,0.6942144549320175
257,0.45167824048819666,0.22338532632920416,0.6069262879729287
258,0.5940249976549604,0.1494361696797083,0.4987756933300069
259,0.7024456794719665,0.08357443390886876,0.39621627309581214
260,0.7615652789496865,0.04011382507689305,0.3178464820319698
261,0.774255375184826,0.030306130170098942,0.2677227958268625
262,0.7663604203554848,0.04117937784388163,0.23536287613003296
263,0.7678707771642768,0.05073783451615295,0.20353725358656022
264,0.8045123971999463,0.04643987841163461,0.17763728861823078
265,0.8580275740250123,0.03208970187535038,0.1588561288398869
266,0.8967380108686458,0.016567553017310863,0.14631081911958996
267,0.9065746290692175,0.009406979176296865,0.13928275994067837
268,0.9085529565352988,0.008036211719736541,0.13471430485886318
269,0.05921811612275648,0.14857990749369562,0.5253136484733744
270,0.051956932835662974,0.16915575049290618,0.5291032109422025
271,0.047523816830210355,0.2005467172898733,0.5427091576440377
272,0.046701688720086613,0.22849887751233441,0.5676820921607844
273,0.048030308326203475,0.25637337019885825,0.601180890236009
274,0.05155611576984997,0.31120532102837695,0.63822851591269
275,0.06301590919643205,0.3787488940320336,0.6706632275636183
276,0.10179258796431159,0.4212940791860968,0.6904864486196203
277,0.18977224563229111,0.39001020119454866,0.6839356471731324
278,0.3297708114283294,0.3016556601401589,0.6400004665148399
279,0.4965068322461132,0.19927179165930387,0.5593645563003729
280,0.6489574872519119,0.11362589901037011,0.4577786341480772
281,0.7631292812344543,0.05550594471646955,0.3623996672625018
282,0.8259986060212959,0.027312694203434823,0.29170431471471836
283,0.8383595732334544,0.02712939439908423,0.2502793745462746
284,0.8214802062501615,0.04189276641614909,0.22577601888348145
285,0.808096914632987,0.052652040511366675,0.19902222914519746
286,0.8329995769361875,0.04753866639450458,0.17521671389150212
287,0.8717350437785475,0.029913495519085773,0.15518968449321321
288,0.9052764099640609,0.016756919069756283,0.14306045344838583
289,0.9177550799687749,0.008686402120015407,0.13564294656884315
290,0.9175792895451589,0.007468434211196764,0.1302655614392975
291,0.0531325219604895,0.17083368594535794,0.5003927106038516
292,0.050242966689232664,0.18154313624507526,0.5050471286465368
293,0.04744695809478108,0.19893658861466051,0.5170170939490627
294,0.04531439503807432,0.21232906832920248,0.5367447747653904
295,0.043816930675461045,0.2285935606765251,0.5606855490638786
296,0.0455757778779004,0.27147119880011333,0.5915458612087676
297,0.056151668803458434,0.3397794134567567,0.621230846080553
