rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
0,1.0,1,0.046880727183452854,0.023493255381106182,0.3420354922598222
1,1.0,1,0.046804017962350064,0.02238476516122699,0.3684621241335209
2,1.0,1,0.04842111289335751,0.027844182353544168,0.36893390489795147
3,1.0,1,0.051651128278787053,0.022714936487069876,0.33066914167596795
4,1.0,1,0.04945171095538344,0.02500780109414791,0.3216558964141205
5,1.0,1,0.042801369210968755,0.026766739405850143,0.3788813663719519
6,1.0,1,0.0513568741277837,0.02679310367886799,0.3247793193160617
7,1.0,1,0.04943701186832247,0.02812504397179331,0.3087043856970898
8,1.0,1,0.04924715312525009,0.027766643147021704,0.35857306300249
9,1.0,1,0.0468074501106206,0.02270470186588462,0.31610873735554207
10,1.0,1,0.042699365094630175,0.026970998797421535,0.3579481106708486
11,1.0,1,0.04336004942185749,0.02686424947271933,0.3275185320539133
12,1.0,1,0.04346174345758371,0.028173416329123527,0.3830844668349591
13,1.0,1,0.04714530578253715,0.022870549883560853,0.3262738949895161
14,1.0,1,0.04545346196843825,0.025982365009345997,0.30888308104251666
15,1.0,1,0.0422586578366493,0.025258972987570284,0.3604189659193205
16,2.0,1,0.04044679911144698,0.034748688647239324,0.3267319860823789
17,2.0,1,0.03408145925804027,0.039869702590092905,0.3816498637507572
18,2.0,1,0.034121660556194935,0.0341733990296149,0.34243511856943354
19,2.0,1,0.036919029852609926,0.039929897026256066,0.3371629411652193
20,2.0,1,0.035426787860883796,0.03577794399640766,0.36480778384495954
21,2.0,1,0.03814062817376246,0.03419883604247873,0.3427034124481579
22,2.0,1,0.035455370158218896,0.03392343920335249,0.31870910056497065
23,2.0,1,0.04057710245386554,0.032050573362131594,0.31215261685906975
24,2.0,1,0.03742270972524821,0.03896997942665948,0.35250873334549054
25,2.0,1,0.03978338841556116,0.03849618435698061,0.3744842526322355
26,2.0,1,0.03807594055293193,0.037176993590339706,0.3405679133367701
27,2.0,1,0.03390614692737658,0.03421696296790216,0.35827348146020604
28,2.0,1,0.03473414728934009,0.03962073230099236,0.3683493922919831
29,2.0,1,0.0359080651382869,0.03977191042389293,0.38037425090278704
30,2.0,1,0.03814315566296269,0.03417897233284231,0.32647334737281436
31,2.0,1,0.036119986851968613,0.0401910941495059,0.3641218791248146
32,3.0,1,0.043863939008437505,0.028021867897246193,0.3335772221278563
33,3.0,1,0.03845109857676396,0.03267099341847311,0.33498703265585256
34,3.0,1,0.041939057334309936,0.03324799312206713,0.3711449534479418
35,3.0,1,0.043935316405626076,0.03367824195225893,0.3169913777406195
36,3.0,1,0.042066629935469606,0.031598255509622426,0.3320651777530931
37,3.0,1,0.03841530349981645,0.033544886420807,0.3650441403597046
38,3.0,1,0.04584326174044774,0.033439351748322,0.3477779736633509
39,3.0,1,0.04171866942479931,0.027513921351928088,0.37696612275614133
40,3.0,1,0.04536851339159046,0.030119823122223607,0.34788644225348486
41,3.0,1,0.04561553077423232,0.03292602207978126,0.33174264581443486
42,3.0,1,0.0397751101596495,0.03289733381891776,0.3343377235480494
43,3.0,1,0.04546605871410533,0.028406816168517677,0.3471340913594607
44,3.0,1,0.03834217244887185,0.030139924121732626,0.38245028704629874
45,3.0,1,0.040651211975787714,0.03315639071700643,0.3683547560729135
46,3.0,1,0.04091552733665987,0.03218236555982187,0.33849724518581925
47,4.0,1,0.05003082231427045,0.0231825590816762,0.3182982482029854
