fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9862813692145932,0.07969723985871609,0.03413287690726361,0.04545071670837935,0.007708932897894134,0.09184561051660141
2,0.9914838772813028,0.06515334181699976,0.045889530359288444,0.0346257784465487,0.04471898093489639,0.09887187624864029
3,0.9903188674333331,0.0714398717386034,0.03930920228563016,0.04038629242305123,0.028763694070337062,0.08979025701117957
4,0.9883158915600695,0.08101628089051047,0.031774998596450804,0.047812644064605454,0.008847791477118004,0.07581362684833715
5,0.9868971740681414,0.08737275818062279,0.028466451204122067,0.052247268777696955,0.005447745303723934,0.08721095483217964
6,0.16203994136965474,0.30315866651846685,0.3913401432704905,0.14890405415809269,0.0077977993369463365,0.024706879617497436
7,0.14494749622295922,0.2823880207252482,0.3511112436168934,0.11965828702154051,0.004297724425542102,0.02057885534808061
8,0.12362976254473523,0.26997812510039776,0.3747419422816106,0.1089586339818689,0.0024150796547285952,0.013776794770312815
9,0.9796560764705363,0.06461791107393257,0.05881602377120999,0.03497205884362065,0.08536563804480125,0.16701502181125527
10,0.9882668076101708,0.06546081718664105,0.05024782594719451,0.03582266904940562,0.06883432832574005,0.13904337996861732
11,0.9898470832622028,0.07065936709621953,0.04355276545490055,0.04041701701125326,0.05015377923748538,0.10801622844592004
12,0.9885496989795007,0.07955276458288815,0.036287621741969193,0.049221162325042186,0.028789993243257206,0.09537634232735377
13,0.9880425961463881,0.08759020469121226,0.02906902005348716,0.056132882922861484,0.010763603801834758,0.08555755969467475
14,0.9861318076818104,0.09462567657728016,0.025087883747785724,0.05914634314812516,0.006131234384749256,0.08928384363212548
15,0.17997781938310475,0.36085484963121955,0.4492789341231987,0.24005787825957636,0.02240124791626607,0.0228303916185317
16,0.16869523859183247,0.32098884079217055,0.4272966476993084,0.1718207522428887,0.009813755568023353,0.018106260040524427
17,0.14768436956590936,0.2918524382194927,0.4108246866805375,0.1326656079938315,0.004422781647212042,0.018397651870891183
18,0.11894994362665476,0.26798040202567613,0.4203452577103011,0.10883081190249305,0.0020866902895557093,0.012503658771875073
19,0.09507368926595451,0.24672967200723864,0.4524471155448523,0.08887834495776945,0.0007533980760855192,0.009078441210948198
20,0.9581415343056084,0.07222097376784321,0.07019455930075273,0.044680459701609686,0.12106635471073948,0.17752277364501093
21,0.9690385765896247,0.07018912581731566,0.06318169290707347,0.040725072593529275,0.10561749759186856,0.18228403423413173
22,0.982124736977901,0.07245333840985614,0.050461090892463416,0.04225168546782509,0.08179246150025231,0.14642126986195975
23,0.9824084529470452,0.08326477329179222,0.041784457169933245,0.05379744907825949,0.051061348583998564,0.13730274267152318
24,0.9753107651664247,0.09898090798859185,0.03614433059397073,0.07064911166634345,0.026018098885976695,0.11400075817020544
25,0.959967837000917,0.11332776037178517,0.03764512160728007,0.08255128875742802,0.013423392238345863,0.11856811176242749
26,0.2733874975102364,0.4997635454358443,0.38739236463732835,0.47871849607778105,0.11929777453251779,0.07044631281505183
27,0.2164865893475473,0.4805871195075289,0.4296494386394976,0.4240339741212123,0.07174770540493225,0.0345520783008618
28,0.18856832023724593,0.42450847505717204,0.4535257606803096,0.3094184149341886,0.030949560434320792,0.026836998853120426
29,0.1724552666133706,0.36623503361655674,0.46257082461742727,0.21006165896104526,0.011180294742339045,0.02252049913810992
