rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.9679893602429062,0.07899097436916087,0.03915366865570539,0.023234440628821962,0.011939360034652565,0.07953557959492898
1,1.0,1,0.9906819028802281,0.08600026366317806,0.044957004388327476,0.023268631879119425,0.011605986425041183,0.08806717555399933
2,1.0,1,0.8892874741000235,0.08485636750980599,0.03942039222258896,0.021889484036496095,0.01025782047287341,0.09437302836252623
3,1.0,1,0.8809880838370391,0.08337889841867306,0.047520025378743905,0.027946202286715304,0.012040024849859611,0.0900158438704974
4,1.0,1,0.9129084388372236,0.07299836673882769,0.04659821043830811,0.023695939458295043,0.011240921037348906,0.09055366985478527
5,1.0,1,0.9925083579509723,0.0830846158269957,0.045047834178824665,0.026823504078401898,0.011385105819561344,0.08841534174371267
6,1.0,1,0.9540433078838707,0.07655516081908123,0.04138936288005873,0.026700861700135713,0.01178554158147273,0.08421456169798221
7,1.0,1,0.9604514930252838,0.0742442818807508,0.04467304419842769,0.02562697286994734,0.01168824208645138,0.09201568180836944
8,1.0,1,0.9883013595559742,0.08491228385939201,0.039247098325429,0.02823707770834541,0.010489330553602289,0.09144151611587603
9,1.0,1,0.9086607354278773,0.08142735711952959,0.04358427578706796,0.027973771742612834,0.012147188352357086,0.09052335649035402
10,2.0,1,0.9221301832675483,0.05936179992807573,0.03263120496535605,0.03392806053304068,0.04694905743038831,0.09739489148676926
11,2.0,1,0.8373007274581019,0.062117754328207424,0.031005067279470968,0.03806293380880249,0.04740108537803479,0.09430484168485667
12,2.0,1,0.8501579810016442,0.06357277157058237,0.03269294581846405,0.03602493573664648,0.04603980812225185,0.10348125951738837
13,2.0,1,0.8987107657780353,0.06901931584631783,0.03155341483555511,0.03928316825691374,0.04283375798688782,0.09971753365293629
14,2.0,1,0.976277907259116,0.06744693941800928,0.03521858619361569,0.04011366103401754,0.042556190152685774,0.09384075005633663
15,2.0,1,0.8609061743326301,0.06554466772023643,0.03519426944795784,0.03944873500779277,0.0480588321507366,0.09032346962883263
16,2.0,1,0.9194261362900112,0.05930357627155457,0.03302610385211452,0.03523074071615697,0.04401841173713672,0.09590842136975788
17,2.0,1,0.8500561244056182,0.06781749819285866,0.03475852077491211,0.037759596902566035,0.04454516085523035,0.08786305751702701
18,2.0,1,0.9149110401213337,0.06733229587651801,0.03450367262959516,0.03857327458049274,0.04556760388705065,0.08507314920930191
19,2.0,1,0.9426287122778471,0.059592777199660905,0.03221601832610648,0.033263916073593656,0.04437147846386495,0.09110355574843329
20,3.0,1,0.8446351560371811,0.06932866494944571,0.03943945985093534,0.03191154038873322,0.024318888159711918,0.08839786369628198
21,3.0,1,0.8393863544454779,0.066272568209299,0.03877062979324798,0.027434986018122203,0.025427977244148994,0.08010354727344043
22,3.0,1,1.0,0.06811683978336583,0.04026588240865252,0.030486918123199563,0.02472800595188731,0.08938822048482668
23,3.0,1,0.8675336765019905,0.06569867881564719,0.037449254076944036,0.029059080961226506,0.02818480512577344,0.0835997164784052
24,3.0,1,0.8276968167896837,0.07396430757873457,0.03497589201767836,0.029468469442484328,0.02655110569088353,0.08479119337089232
25,3.0,1,0.948797582825919,0.07186633660333547,0.04006753495397056,0.030206639836962434,0.027304852106531868,0.08970054232238418
26,3.0,1,0.992874940331237,0.07485329010977775,0.03867949367512509,0.02784176445082804,0.028249588399613976,0.0918246868581757
27,3.0,1,0.8967274476646641,0.0684021364640759,0.03984483570849387,0.0262761626051524,0.028298801673878316,0.08614187521281844
28,3.0,1,0.9533201865434688,0.06747112734101728,0.03427011291844266,0.03132985630251316,0.02498849807442481,0.08694938482009565
29,3.0,1,0.8618592318529505,0.07216801444900377,0.03996258533792232,0.03198459401803827,0.026234000728288614,0.08120959630691711
30,4.0,1,0.9340956132490584,0.07945267999404738,0.04796315420818799,0.020203090837126306,0.00975741824033921,0.07886619035415272
31,4.0,1,0.97552987299564,0.08735705438566618,0.04405240072902422,0.020707557362867116,0.009991703495450902,0.07357499860613105
32,4.0,1,0.9049523207625642,0.0841201345058777,0.046900218809476424,0.022720568365138614,0.009971775793702528,0.06803608011568818
33,4.0,1,0.9836632904080232,0.0818276468819783,0.04545468626057245,0.023380412462937407,0.010406164705463844,0.06843515829034842
34,4.0,1,0.9809027453277878,0.08219616467168814,0.04331588283514096,0.02040979313157125,0.011057787226062514,0.07850681066661755
35,4.0,1,0.982165305795188,0.0823160927725857,0.042673967562419444,0.021651250150935143,0.01062152895139111,0.07669017303776113
36,4.0,1,0.8653955725146278,0.08424183792254152,0.04481846304552828,0.02245075830179699,0.01056247760146333,0.07067396999636426
37,4.0,1,0.8958083882220962,0.07658827038657658,0.04723060234318498,0.021612595902022816,0.011218175612620571,0.07298541677705968
38,4.0,1,0.9794689054321333,0.08049714763041477,0.04785836603954881,0.022136840955471793,0.010384865138940335,0.07102324333088843
39,4.0,1,0.9673000153669856,0.07243771293148787,0.04236247811261412,0.023765678690471224,0.009900972254290976,0.07174110169649217
40,4.0,1,0.9310499662580698,0.07735422150187905,0.041631067223566916,0.022639487043651478,0.011067773321162912,0.07022225138755214
41,5.0,1,0.8201422223315464,0.08400790439679592,0.05350971001926365,0.020186763440190172,0.007862817555146067,0.07718163637282457
42,5.0,1,0.9062713138632928,0.09437444787632171,0.0491650450430618,0.01886996793655987,0.008043448857308025,0.08947795627137362
43,5.0,1,0.9177286940162848,0.08099286929260031,0.04648043930133275,0.019182286466712613,0.007943622653801576,0.08250123575588812
44,5.0,1,0.8927723751555906,0.08113300247922133,0.050439028316842216,0.019058983751972576,0.0080136689261894,0.07514733610312668
45,5.0,1,0.9050068451213632,0.07962848408841573,0.05369380005865834,0.017348266834195703,0.008119371890758483,0.08062740797237773
46,5.0,1,0.9566668873776119,0.07925987431250635,0.049619268403831636,0.02020338776002744,0.007482254992192789,0.07848811175710554
47,5.0,1,0.9097584384672848,0.09225626393068576,0.04986276288923512,0.017901979009464126,0.007536803339334913,0.08131215642486381
48,5.0,1,0.9654619942597584,0.08332230354701406,0.04770778683428597,0.017187216714879033,0.007313021007955631,0.08195075690259299
49,5.0,1,0.8337233184141741,0.09401667057801655,0.0496839051710396,0.018656574988995624,0.007797945945422631,0.08054698460528419
50,5.0,1,0.9686228033004434,0.0852133303727005,0.05425413787097192,0.02152204170508304,0.00772724528668464,0.07546458142948857
51,5.0,1,0.825267804773494,0.09170928367395573,0.04798023024787837,0.018163322796063395,0.007171851633649025,0.08358410226184268
52,5.0,1,0.9167836862580601,0.0781897534278577,0.05166931761930566,0.02215793855976933,0.007650407445547964,0.08052328593894595
53,6.0,1,0.1407430151880003,0.27871216373337465,0.13167458501701523,0.37960484166381514,0.00750283176765291,0.025802643570690856
54,6.0,1,0.1353530348454846,0.28909786222741946,0.1455415467441487,0.3792464622590446,0.0076793171833861055,0.02414530791063889
55,6.0,1,0.13026952921493273,0.3177035774370519,0.12892113809248618,0.3705741967582198,0.007940532118354765,0.024167439773978398
56,6.0,1,0.1285860181204087,0.3100110666490069,0.13263405316120244,0.3854064289091285,0.0080339004368965,0.025638724140043024
57,7.0,1,0.11343212127819748,0.2933156152406998,0.10445913795365824,0.295309489879559,0.004357314443979272,0.018256527364578883
58,7.0,1,0.11627640357573181,0.25923616848447295,0.11511027906600084,0.3008395262093729,0.0041526841442078985,0.02009970539128018
59,7.0,0,0.11870344774015651,0.3074643551443312,0.11365735456222328,0.3088494259526598,0.004807011105038968,0.02093343908336264
60,8.0,1,0.09678169636163128,0.26796365504903547,0.11018259972745005,0.34861563191620737,0.002398792001744602,0.013927887067835805
61,9.0,1,0.8457409510739045,0.05878306085229985,0.03596353793292368,0.04802456218234664,0.0870677032521343,0.14825888594730705
62,9.0,1,0.8421038529801921,0.05646277453765451,0.03528182330189456,0.050434195842124885,0.09258140167207046,0.1436845210058726
63,9.0,1,0.9157998029519524,0.0638484660814591,0.034698769866942064,0.04720198792471126,0.09388285440979534,0.16485999224900516
64,9.0,1,0.9491045865498524,0.06525772944670223,0.03220299144152237,0.04636865999648118,0.08963099011339226,0.1692701995420895
65,9.0,1,0.8962570004527799,0.06811536605862412,0.032310901706060866,0.04323611703761968,0.08854352987556628,0.147542932627504
66,9.0,1,0.8563475130399636,0.05930608533219171,0.03020023412359825,0.048511920687309834,0.08197804234538732,0.17314792548926405
67,9.0,1,0.9288154830156278,0.06598966578582274,0.03371806818973056,0.051700114196695623,0.09106688079213873,0.15814160373649755
68,9.0,1,0.9407150090132074,0.06360456967975892,0.03096177383514892,0.053235075898418936,0.0900928334506541,0.168742169202919
69,9.0,1,0.8471238677861188,0.05966341699967204,0.033513748932515006,0.05370655226114346,0.09023549303323844,0.1627790217532455
70,9.0,1,0.9739517200880851,0.06330529837769286,0.030883949126759666,0.051641929344969015,0.08841608519923073,0.170749372376452
71,10.0,1,0.9197642031230888,0.06659531703132267,0.032764911857531984,0.040460756543717294,0.07065462799634731,0.12163029690198315
72,10.0,1,0.8459980019826869,0.061344453359921496,0.03676129899320022,0.044648810014823556,0.0675203843597146,0.1430876167534902
73,10.0,1,0.8186424185702892,0.06326092740808344,0.03401198745550604,0.041309758652452344,0.06313786195455327,0.13373264252897363
74,10.0,1,0.8535198799854895,0.06059142118823491,0.03380096527265729,0.037982202785936975,0.07323077450272297,0.13091376597140147
75,10.0,1,0.9128563536114229,0.06624679906187568,0.03659515382154359,0.04268134639641633,0.06617062245861628,0.14103307452004105
76,10.0,1,0.8255005252746567,0.06471667675446886,0.033458407867217835,0.036789856628478244,0.07015192594475998,0.1312652754499477
