fid,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR
1,0.07824431295118686,0.03413287690726361,0.04619358299565549
2,0.06172441014587789,0.045889530359288444,0.03669096601925013
3,0.07003063369738388,0.03930920228563016,0.04114898125585094
4,0.08053141135315806,0.031774998596450804,0.04797101053563338
5,0.08590091042841211,0.028466451204122067,0.05303054329644009
6,0.29256385074726843,0.3913401432704905,0.1570640325622637
7,0.26967733362655605,0.3511112436168934,0.12761367016733355
8,0.2582864159040865,0.3747419422816106,0.11539341506428322
9,0.06251686632292482,0.05881602377120999,0.03600220445259425
10,0.06310757895727909,0.05024782594719451,0.03720955675760509
11,0.06755545873715897,0.04355276545490055,0.04251930427503434
12,0.07754427407975394,0.036287621741969193,0.0505109555316549
13,0.0870530068358188,0.02906902005348716,0.056395772360079074
14,0.09286199875184913,0.025087883747785724,0.0601708426576899
15,0.349809730400285,0.4492789341231987,0.250501659674241
16,0.3118845976260245,0.4272966476993084,0.17918243752194404
17,0.28348609255465285,0.4108246866805375,0.13770199204031972
18,0.25918634764953213,0.4203452577103011,0.11355155746742204
19,0.23718794957831169,0.4524471155448523,0.09452768663917552
20,0.0699456180789299,0.07019455930075273,0.04621230368224155
21,0.06808614640016268,0.06318169290707347,0.041979654270808145
22,0.07041432126383022,0.050461090892463416,0.043813654866177255
23,0.08079677129342373,0.041784457169933245,0.05552960156911104
24,0.09764837777817373,0.03614433059397073,0.07099082811492044
25,0.11155557207824615,0.03764512160728007,0.08375090540678107
26,0.4782257946780839,0.38739236463732835,0.4900594484164602
27,0.4659179835797438,0.4296494386394976,0.4278494879321602
28,0.4116781202567621,0.4535257606803096,0.31693622700535845
29,0.35530000322189825,0.46257082461742727,0.21778921850799038
30,0.3043292305578483,0.4866815910557682,0.14815233753853604
31,0.26399873166238097,0.5194118543645362,0.11218766209859656
32,0.22331846859439589,0.5486325273906876,0.08032236918682044
33,0.17244796395577316,0.5761211897555076,0.04849758965983924
34,0.1441820833039829,0.6058382879731476,0.03460149503322848
35,0.07844486333393265,0.07789834497973386,0.05948695819778222
36,0.0821834673440863,0.06625408779170043,0.06325084529739147
37,0.08537023170265684,0.053899541737994765,0.06620150117915552
38,0.09957970915660865,0.04611886055145346,0.07732011346435222
39,0.12553492559504356,0.04666083832044997,0.09584886096605488
40,0.15238979935232153,0.06429433548298587,0.11791397764688825
41,0.18781313501113966,0.09814475056427158,0.1524494852633337
42,0.4385901153075606,0.2686218273049677,0.41645898463208814
43,0.5119509390455972,0.3212211012191607,0.47515417750915473
44,0.540308988329879,0.37100815857459346,0.46132325928471385
45,0.5030567296369849,0.41022464709165507,0.3743479017787263
46,0.42045217077597963,0.45811513130353176,0.25803139187343044
47,0.3366945270471579,0.5289197833682703,0.1634880391821539
48,0.2682874590105825,0.6021823821854485,0.11122200658824963
49,0.2084587225231691,0.6465490699251926,0.06965153787795711
50,0.1554770335170285,0.6535510551551573,0.0403439236577682
51,0.1204356926862265,0.6552898185776878,0.024471295472615312
52,0.1110655812082426,0.0699622920888495,0.108338439338551
53,0.10882050737222702,0.06250931109977849,0.09874544734058478
54,0.12061124522710168,0.06172904965464132,0.10208450697669266
55,0.14930193678516626,0.07649541630512012,0.11412844731053612
56,0.182529940827148,0.1037635672794157,0.13587691195392418
57,0.22384861693911343,0.1303326997269951,0.17940310184402816
58,0.31407114057017077,0.16071275330779092,0.26510127769223496
59,0.45115999932251877,0.19529817556030163,0.39142444788723196
60,0.5683044263326972,0.23520594458820265,0.48104889547328955
61,0.6139385953891618,0.296830857012733,0.47952669863527914
62,0.5709799224181423,0.36211164176708405,0.40311585469833916
63,0.4746653065670621,0.4384806625375578,0.2808233261623983
64,0.37102909533992906,0.5370415331347634,0.17798089722621876
65,0.2786444542686774,0.6389718457925152,0.11455267839992624
66,0.19704414289706335,0.7132731567074362,0.0626742476629006
67,0.1389460204695166,0.7419571521371807,0.03252289735388324
68,0.10391545830728113,0.7558795525896436,0.019991529272733767
69,0.1732035733358405,0.08280937243996227,0.16244626748948807
70,0.14317875387909262,0.07543594683520954,0.14416684011395448
71,0.12949434614734678,0.07401629638291536,0.12171231608507038
72,0.13363507154970036,0.08915378414308865,0.11188824251075473
73,0.15700698239025793,0.11855651652428481,0.11662030002759251
74,0.19011046733053127,0.14399865758551092,0.1364306464898763
75,0.24175118138512566,0.14372105581222017,0.18908697533129462
76,0.33802283465533894,0.12935750205427612,0.27977479239731945
77,0.4863800626978051,0.12953227042336599,0.40206395056442124
78,0.612848891086335,0.17071496464893043,0.4931869961998668
79,0.6375588178587496,0.2503981339067166,0.48463481287518584
80,0.5789607280315434,0.3365365114495093,0.400955990573572
81,0.48524079145452437,0.42353286013280367,0.2849514462932935
82,0.39213839979454146,0.5216199961472961,0.1901682667590779
83,0.2894671360801638,0.6345296805908951,0.11947981077188717
