fid,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.0475346319131609,0.04619358299565549,0.3930690368298387
2,0.06765290688281062,0.03669096601925013,0.3860803998668914
3,0.05075856503057799,0.04114898125585094,0.3916980315831515
4,0.043408109958096616,0.04797101053563338,0.3954176037487794
5,0.050154728962913966,0.05303054329644009,0.40100976990316345
6,0.3174396303473046,0.1570640325622637,0.47446126528181515
7,0.29154537613367937,0.12761367016733355,0.447994340823223
8,0.26712168929648045,0.11539341506428322,0.4281066980615639
9,0.19121867702392686,0.03600220445259425,0.37141868792511257
10,0.12233701819666283,0.03720955675760509,0.37799621982933096
11,0.05913568827146674,0.04251930427503434,0.38721720863816095
12,0.04253201061794389,0.0505109555316549,0.39482177985535166
13,0.03904406351785083,0.056395772360079074,0.4013527763275848
14,0.0497748694377925,0.0601708426576899,0.41030274071016176
15,0.4012649692047587,0.250501659674241,0.5458405835369547
16,0.3619576203418553,0.17918243752194404,0.49300580194134447
17,0.3348988135873669,0.13770199204031972,0.455498227649946
18,0.3124537142559072,0.11355155746742204,0.4292490366319377
19,0.30724623056366807,0.09452768663917552,0.4175544485593323
20,0.2505947781867849,0.04621230368224155,0.37663245750161245
21,0.19786206708554455,0.041979654270808145,0.37508027993360343
22,0.11754364202536838,0.043813654866177255,0.38122218650758927
23,0.04985344400838486,0.05552960156911104,0.39487765332566876
24,0.03791632176120059,0.07099082811492044,0.4079995129890723
25,0.035702365773101284,0.08375090540678107,0.417508361852941
26,0.40797031076365703,0.4900594484164602,0.6524972626546223
27,0.44768188262919817,0.4278494879321602,0.6370454483163678
28,0.4370097651546277,0.31693622700535845,0.5957584700656181
29,0.4373951136942915,0.21778921850799038,0.5415980017760965
30,0.4522015010698204,0.14815233753853604,0.4895347982019902
31,0.4443136772919888,0.11218766209859656,0.4524805364485689
32,0.4252225517254974,0.08032236918682044,0.4279793306278425
33,0.43693591390685016,0.04849758965983924,0.40860031819618053
34,0.4824193021353501,0.03460149503322848,0.3953840917167814
35,0.2143242640516082,0.05948695819778222,0.412128788462921
36,0.18112508591594173,0.06325084529739147,0.39107070636868346
37,0.09054029726324032,0.06620150117915552,0.39549142915232227
38,0.0488212509087771,0.07732011346435222,0.411721821744002
39,0.04626875810113016,0.09584886096605488,0.4295935560075046
40,0.06358140621088788,0.11791397764688825,0.4447701481115359
41,0.11017117652530266,0.1524494852633337,0.476156600358962
42,0.29282857642116833,0.41645898463208814,0.6435091823814335
43,0.3505089981483166,0.47515417750915473,0.6861453975009042
44,0.3901526932070556,0.46132325928471385,0.6855963133120065
45,0.41938770939211495,0.3743479017787263,0.6548663054003986
46,0.45850812495198384,0.25803139187343044,0.596926074049229
47,0.5324434491559102,0.1634880391821539,0.5343273116169088
48,0.584979736619863,0.11122200658824963,0.48014464169636395
49,0.5893522535533562,0.06965153787795711,0.439335554956826
50,0.5792239328861355,0.0403439236577682,0.40756189064865495
51,0.5812741902856616,0.024471295472615312,0.38905651092184934
52,0.12317495364323902,0.108338439338551,0.4363271929624023
53,0.07415291392917009,0.09874544734058478,0.4250626888082996
54,0.061838414946748056,0.10208450697669266,0.429451736410107
55,0.07692878531386314,0.11412844731053612,0.44448013177370127
56,0.11005736621077274,0.13587691195392418,0.46267211939963837
57,0.13992628915347077,0.17940310184402816,0.49879233110595067
58,0.17300429197371697,0.26510127769223496,0.5719778668492471
59,0.20848868084272892,0.39142444788723196,0.6568458173512342
60,0.2515874063530527,0.48104889547328955,0.7125824930995946
61,0.3036264107320284,0.47952669863527914,0.7324240247151435
62,0.3637477832740994,0.40311585469833916,0.7054317880554735
63,0.4347071342442447,0.2808233261623983,0.6477814926222031
64,0.540637926056737,0.17798089722621876,0.5769637671681338
65,0.6427002555001038,0.11455267839992624,0.5049559541653269
66,0.7081911272591027,0.0626742476629006,0.4437213379543436
67,0.7089211710544705,0.03252289735388324,0.3975623926251101
68,0.6765097277839014,0.019991529272733767,0.3798720539184201
69,0.0944998264960855,0.16244626748948807,0.5606646561720728
70,0.08175557796679485,0.14416684011395448,0.5028045053975733
71,0.07802022520527736,0.12171231608507038,0.46153631055927713
72,0.09246945029749705,0.11188824251075473,0.44783102731804736
73,0.12622581681796918,0.11662030002759251,0.45426595815810245
74,0.15142861563265128,0.1364306464898763,0.47272901158950015
75,0.1524542957455492,0.18908697533129462,0.5117905859237595
76,0.13911332660420386,0.27977479239731945,0.5869967953279541
77,0.13839407584609978,0.40206395056442124,0.6734511897747999
78,0.17121052019648425,0.4931869961998668,0.7319990366128085
79,0.2505084195945828,0.48463481287518584,0.7500025922671221
80,0.3410282740691919,0.400955990573572,0.724810213124426
81,0.42774722832447576,0.2849514462932935,0.6746614215832168
82,0.5299595273416953,0.1901682667590779,0.6024451161508404
83,0.6260446329282416,0.11947981077188717,0.5158515535743795
84,0.7129222763583508,0.0598698611649435,0.43791306429669485
85,0.769895495510415,0.027661990673648888,0.38214208458831134
86,0.7851747567320119,0.0201737716396444,0.3536487058610003
87,0.16971092038638513,0.17415750585907921,0.6362265779138099
88,0.09691465033003463,0.16252577780039318,0.6166622660473783
89,0.0755654664879153,0.14944916249844084,0.5568476554303123
90,0.08694034022582989,0.12574177882521398,0.4975752606377969
91,0.11957533931384101,0.10790910308136702,0.468444253268751
92,0.15140493038593542,0.11071590130980957,0.46533808802768445
93,0.1585279713529297,0.13283366872336752,0.4887049094221154
94,0.13343767813790378,0.20431923396968538,0.5421548300417111
95,0.09986697988926381,0.3239335236091437,0.6232783012948095
96,0.09454516927501998,0.45255621488885234,0.7051488371993695
97,0.1400268371631765,0.5188017825589959,0.750608667266661
98,0.22684498080191734,0.4854812384626765,0.7556392761965947
99,0.3224575169940188,0.39505862275587467,0.7321254970137904
100,0.42121480559589275,0.29415579420528304,0.6887956756325603
101,0.5308458979688447,0.2052497860135568,0.6123557296592649
102,0.6191231109907207,0.11929060313400479,0.5086020717568485
103,0.6905561725688842,0.052877213106770085,0.41469978214032444
104,0.2574085023419352,0.13472354657003438,0.636974921380194
105,0.14417404693156557,0.13951349165639348,0.6337643426298727
106,0.08903392077103771,0.13601468375696513,0.5898872464488052
107,0.09153354997307693,0.12365341461936091,0.533569393885639
108,0.12065852928353539,0.11059577264998915,0.4982837666961844
109,0.13897100972374868,0.11836927327036667,0.49400650802925655
110,0.12749346422595176,0.157837839469028,0.5275405907177815
111,0.09256635226938298,0.26874686630157013,0.5970220851662824
112,0.06701947381162306,0.42811860257774653,0.6865993104627021
113,0.07989878889686682,0.5547987068674962,0.7624465949356776
114,0.12695131991282585,0.5817979706064615,0.7919168925584329
115,0.20135826430717388,0.5088858505060488,0.7848435206387548
116,0.2903157926976805,0.40094421794839735,0.7556207563450674
117,0.4033243433253812,0.3000788469219551,0.7025759836886987
118,0.5451717447722004,0.20415294472941925,0.6067228636033464
119,0.6442347397304782,0.10296688144153865,0.4784854979891642
120,0.6965394341599441,0.03457958300793836,0.36909240199366156
121,0.7480856881923303,0.01642141411046694,0.29174693538551477
122,0.6390448082071624,0.02870482430220485,0.5241185881266108
123,0.5504109331059168,0.04726447375156247,0.551395906366359
124,0.3709770644896626,0.08500955745171387,0.5985131997372857
125,0.2111035140082702,0.10744852688234667,0.6236565233799595
126,0.11585415157701161,0.12154681510319472,0.604601873864118
127,0.0896333351312604,0.127932969402237,0.5616139404132662
128,0.09957221721561546,0.12993675525031761,0.5284116796056217
129,0.10085217981936362,0.15086896995038018,0.5292151981703104
130,0.08163849356556623,0.2195414850186848,0.5747952512881462
131,0.055172128324320856,0.3789499239190299,0.6590297852841444
132,0.05035376197757918,0.5759903107524287,0.7584366819080085
133,0.06983392855319652,0.6948307966878653,0.8331214888832014
134,0.108009476638846,0.680257712313786,0.8565185170557912
135,0.17024025984925337,0.5643916672571836,0.8426881644902426
136,0.25867944450501723,0.43040617996578173,0.8000775500673722
137,0.3956611973316003,0.3099838474264581,0.7210420343961677
138,0.5677954545169955,0.19101434973722464,0.5938013009780425
139,0.6860184803286067,0.08100166493494337,0.443283293455862
140,0.7302776284750544,0.02152690976471385,0.32612019214684895
141,0.7749110921462309,0.012713292529445667,0.25120893222758484
142,0.8424744417501489,0.010931540197327894,0.19875157829482928
143,0.7116242726699078,0.017037834560243797,0.4913431434566818
144,0.6079330349870367,0.026598708420375494,0.5173943175888939
145,0.44185782429096704,0.05290765848421937,0.5647683967346511
146,0.26213640603645194,0.0814128402044212,0.6085084454888889
147,0.1395423428172184,0.111877714453285,0.6114738046157916
148,0.08884347409810042,0.1352368922225036,0.5777514787051485
149,0.07722751392675431,0.14899120947860683,0.5477250597418728
150,0.06893575789514104,0.18191017687351924,0.5534296801092196
151,0.054270042632947664,0.2825438731139642,0.6097532827753116
152,0.04310639794819214,0.490048900030439,0.7045007317923985
153,0.04195952470909842,0.7195495910163101,0.8092256921445771
154,0.054332556297621855,0.8311475340952773,0.887155645784151
155,0.08838426675853282,0.7753713066956429,0.9174031570211768
156,0.14948307845427142,0.6182157724603091,0.9042846422421744
157,0.24902626854779986,0.45917622269679087,0.8465591351999574
158,0.40705274659256296,0.31677628095440546,0.7362682911475974
159,0.5851207550503309,0.179008792252757,0.5789340353641027
160,0.6918671363519301,0.06813790863992358,0.4182577612321875
161,0.7185346707860701,0.018565607327782237,0.30180327178908406
162,0.7544563687830764,0.01244176026179152,0.23809071738347384
163,0.8234119466049754,0.01058852015488967,0.19464296502193684
164,0.8750683096970499,0.007493933307511235,0.16438151536800055
165,0.7667067017034613,0.011322215851595551,0.47991142419545046
166,0.714686770789615,0.014086567529960497,0.48560447648162663
167,0.6189045670676485,0.018159063550634555,0.49894551766665357
168,0.4426598427466668,0.03555494143817268,0.5516104492548622
169,0.2706190201259939,0.06575792311084991,0.5985394486509041
170,0.14888107275135473,0.10470697081169345,0.6055715400772552
171,0.08954221065079465,0.13697212067206546,0.5726988762697052
172,0.06279105176248043,0.15375987538796224,0.5456868108418763
173,0.049800396269103174,0.19149178244905166,0.5581001382589875
174,0.04418235132058454,0.3084103247040008,0.6207614950727764
175,0.04100301864320729,0.5326435495111236,0.7164514960067473
176,0.03606631323624557,0.7727237872387416,0.819371915972487
177,0.0392510461524061,0.8806378921281841,0.8993839819752909
178,0.06843633312751414,0.8069436376981395,0.9376053166216977
179,0.1310074086090415,0.6274833841479283,0.9296541383046801
180,0.2366334157219178,0.45159387572114223,0.8672011540939449
181,0.40307020966892015,0.3033501273975718,0.742397345634995
182,0.5692759773778929,0.17187014906978457,0.5728257991301976
183,0.6518108631323395,0.07060366005076577,0.4144189849762115
184,0.6557119179030694,0.023296616934165973,0.30971604950849013
185,0.6844486290781613,0.014530209324286851,0.2533406792358156
186,0.769459580122589,0.012467020969833292,0.2081675282529136
187,0.8552883309456393,0.009035115597945396,0.1675398041399925
188,0.9270599723995131,0.00633693685544273,0.13042567362818488
189,0.7694908524465699,0.008255958462430374,0.48174819221690046
190,0.7484969717812444,0.009248957141411886,0.48294239952577617
191,0.7026442610072536,0.012182578592116208,0.48654328596851737
192,0.5865624058404821,0.015422338906606622,0.5066304598254686
193,0.4165242392546618,0.030302639171463173,0.5518195482897243
194,0.25352463002471387,0.06224392663026656,0.5902628212667637
195,0.1392312958212269,0.09961122361692601,0.5934623451195455
196,0.08484437952574847,0.1280839471389505,0.5579524669282542
197,0.055092119444851866,0.1456518985709834,0.536546383012021
198,0.03940662564376183,0.1847372182568767,0.5576671134779798
199,0.037275067806924474,0.2910332600745915,0.6210122492973587
200,0.03858370426397701,0.4866058839661985,0.7067771124738264
201,0.035913915385505125,0.7011737059804812,0.798134566546182
202,0.03834815281447416,0.8067339970197552,0.873030506734444
203,0.06496844751040162,0.7463869809205,0.9139487121718033
204,0.12524421541015274,0.5821286294943071,0.9093955054487742
205,0.22762524723791497,0.41592805016785583,0.851499583036381
