fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
459,0.913073254227408,0.19832057391530492,0.0211648394874635,0.2052633207843528,0.09698738011780238,0.9158355606589973,0.5287554259759402
460,0.8636183020757444,0.2630452760600564,0.01660171422577861,0.26878633385367356,0.08837910088791413,0.8779551539737804,0.6049340012874412
461,0.7610616238124006,0.34474559024328527,0.04546101856879691,0.32933523709486084,0.0904774928549526,0.6861895392613657,0.6654642478330125
462,0.5740687168547601,0.3574249994624226,0.17621047235359222,0.3167727626561264,0.05882679664632361,0.4006398935807795,0.6379654030986739
463,0.38201954821914674,0.26636529144071414,0.34871278612453865,0.2170057126700268,0.03898172144823812,0.1453243551175932,0.5096805936409734
464,0.23871789881321817,0.1473012448289941,0.5129962511036241,0.11113272467457821,0.011080116078760643,0.026386635512492825,0.3713674174418104
465,0.19314651764208493,0.11164657684631554,0.5966651175076,0.06555341270364533,0.0011151129872915056,0.006593234469328879,0.30006924088499076
466,0.17935144058219812,0.112718848340443,0.6768863718160729,0.05810625522431489,0.00021310185405089833,0.007217216165183159,0.27135799206930955
467,0.15016297048403537,0.09513448980289023,0.7728103856402644,0.04448042505165391,0.00027091700360051634,0.006563726192056773,0.22838852182109753
468,0.09360508509610622,0.05145346706398153,0.8690655811879183,0.021997466500668854,0.00010965230997467089,0.002429569214946391,0.15943877211618038
469,0.05923925130971663,0.02149074653204039,0.9220358577016888,0.010181161648173509,0.0002080915776105255,0.0009802732247614328,0.1304230340897025
470,0.09670754006204495,0.03809024484195232,0.8748075390448868,0.01477409203320129,0.0009393173053983001,0.005152364359174032,0.17392330794895955
471,0.11725664368532568,0.04945676715897824,0.847825991922473,0.022411065322279128,0.0008528245396871606,0.006779952774412515,0.2299025702345954
472,0.1275900756231078,0.0557898770839435,0.8356966647534745,0.02291306604548013,0.0013369249696806697,0.007266917166252686,0.21507432342422958
473,0.05136077600172465,0.029018812563980423,0.9288100657281244,0.015732536074315934,0.0002976549306013524,0.0015770967539464318,0.130393476164311
474,0.04171458340487076,0.008992101462175746,0.9279543932395246,0.003594597537694419,1.1258441611458301e-18,4.298515732941569e-18,0.05565277553216224
475,0.05851176304695368,0.01419085115260247,0.8974541305023377,0.004109146216169309,0.0,0.0,0.07235740637683895
476,0.06817431341872425,0.01758269295949547,0.8786826124862203,0.004695300531356945,0.0,0.0,0.0845725386150806
477,0.9420983202189952,0.13776652075013282,0.029263996062101363,0.12524707261122658,0.2597676340604557,0.6729607621894026,0.4374730551725908
478,0.9531432194496277,0.14339549039363833,0.021747478144411136,0.13557075300328764,0.23185317796659455,0.673664796194996,0.45546649954398644
