rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK
0,1.0,1,0.07689228684619893,0.04456528751005171,0.023881754820472244
1,1.0,1,0.07664781576703426,0.04682294080033817,0.02341182537576362
2,1.0,1,0.08055438988542753,0.043229430776151524,0.025740512581638755
3,1.0,1,0.07020156573907854,0.04538863861911541,0.024551609921488957
4,1.0,1,0.0818600155906154,0.04326286526907174,0.022638383367068016
5,1.0,1,0.07746507110891296,0.04923500825566575,0.025478636003552557
6,1.0,1,0.08146017865891732,0.044225621281375964,0.027819236230093802
7,1.0,1,0.07116933084141908,0.045034034946021796,0.02455474926254881
8,1.0,1,0.07147262161271388,0.04611716085278354,0.023302330726241736
9,1.0,1,0.07141213384370725,0.05150671757766263,0.02581798162645456
10,1.0,1,0.0810037300834181,0.05009923900854126,0.022541951111246544
11,1.0,1,0.07435850435536373,0.04607121664206092,0.02538122059294679
12,1.0,1,0.07351883991389496,0.05041317238219475,0.028389668421124722
13,1.0,1,0.08391266423512372,0.04332319131855994,0.025229954271539144
14,1.0,1,0.06996263760659378,0.04257829822867434,0.027002443363029035
15,1.0,1,0.08360708860458689,0.04872932067435814,0.0223746664549209
16,1.0,1,0.08209563777553153,0.04355118988359952,0.025163367230199976
17,1.0,1,0.07562736112139165,0.05152209363265037,0.024416126762519037
18,1.0,1,0.07781076372465222,0.042213333430661894,0.02532870842311947
19,1.0,1,0.07168674308405346,0.0427989621857277,0.027106072740589966
20,1.0,1,0.0825666060432288,0.04961416975851184,0.02814651565983403
21,2.0,1,0.060840401641030675,0.03804611445570869,0.03429613414623462
22,2.0,1,0.05703775895258353,0.03822440979711173,0.033672179721299454
23,2.0,1,0.06271055461569243,0.03815015520252384,0.03746349851321129
24,2.0,1,0.06373775202577193,0.03767331347365765,0.03672191825754191
25,2.0,1,0.05363005337472409,0.03587800909179032,0.035308598764317155
26,2.0,1,0.06082490199343617,0.03574529496594121,0.03292660040997956
27,2.0,1,0.06003024043727079,0.040255345494764574,0.03839682303565169
28,2.0,1,0.06208966502810953,0.039876626481058074,0.03230611064504076
29,2.0,1,0.05711690552983647,0.039453039725198,0.03395271670287559
30,2.0,1,0.058651347189589975,0.03400884831721075,0.03746723731162962
31,2.0,1,0.05841243130411418,0.038148015849547995,0.03517666278058288
32,2.0,1,0.06304934809341158,0.03506832673315561,0.036130558261433354
33,2.0,1,0.05543758940533176,0.03995909072530498,0.03406830731813083
34,2.0,1,0.060741080701936415,0.034451530035800246,0.03829684649701567
35,2.0,1,0.05716275810576,0.0382875563452724,0.036569420779136594
36,2.0,1,0.06093176418369698,0.03682543269144193,0.034110817716191386
37,2.0,1,0.057789043610992644,0.03501037494374953,0.039316071700342826
38,2.0,1,0.062028430170652904,0.0357334645632976,0.03969042878134965
39,2.0,1,0.06210463129534074,0.03912872545346326,0.03770186546734863
40,2.0,1,0.06337322438883423,0.03446116912846995,0.03720833176530843
41,3.0,1,0.06615167351539944,0.04494266091216844,0.028698911992063956
