rfuid,fid,Target,BUILT_AREA_SURR,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR
0,1.0,1,0.8141892834574177,0.057063154353067976,0.04828316682336671
1,1.0,1,0.7599795705278621,0.0567962825397499,0.040567092495085263
2,1.0,1,0.7833136630981461,0.059597722781492245,0.038916963888242576
3,1.0,1,0.6408614972424941,0.058088013205822416,0.04171200058284045
4,1.0,1,0.7823031716574196,0.06189415206739328,0.039536431837801096
5,1.0,1,0.7127600412479951,0.060950578192242984,0.04964271790478026
6,1.0,1,0.8336549580969198,0.055682742796652224,0.04159886439126637
7,1.0,1,0.5910953097450157,0.062013299716286545,0.04890727842886866
8,1.0,1,0.7854603316505583,0.06004498379432848,0.046986532772504176
9,2.0,1,0.6837193355931116,0.049418303668672066,0.03341115138751388
10,2.0,1,0.8417580325195211,0.0493754932528347,0.03530574321886511
11,2.0,1,0.7570137898625,0.055174320526582395,0.03654310039517442
12,2.0,1,0.7315325649742707,0.04500328552545686,0.041438710426584584
13,2.0,1,0.7430258060054127,0.05222544435558512,0.03881598527186407
14,2.0,1,0.9026541410301884,0.04768943200891862,0.03989629878137378
15,2.0,1,0.673862802905044,0.05023874035380035,0.032541048300707726
16,2.0,1,0.8018076858244753,0.04525779547877357,0.03708906100869618
17,2.0,1,0.8613414022530216,0.05403998144812505,0.0355139272664439
18,3.0,1,0.5985623146838063,0.059331115712660906,0.03873966207383443
19,3.0,1,0.6633642218335039,0.056462470000017154,0.039610481611369826
20,3.0,1,0.9444665168839564,0.05594435820667066,0.03942718673935299
21,3.0,1,0.7600011627193769,0.057173822198263384,0.03527477198928354
22,3.0,1,0.7795200848087653,0.051839112188484186,0.04063521900727826
23,3.0,1,0.8658707415213988,0.051115486202876745,0.03634339881609869
24,3.0,1,0.8013343428386059,0.05088671263946058,0.041031128684074124
25,3.0,1,0.8355180029157876,0.05715269229408603,0.043637487877074055
26,3.0,1,0.7064657910249005,0.06043330592085846,0.043478345864142745
27,3.0,1,0.6944858416461903,0.058803332552197045,0.036828790764623025
28,4.0,1,0.8252876556107595,0.0598338448414633,0.04402071388856034
29,4.0,1,0.7706280744411403,0.059201459682223644,0.04951086459096031
30,4.0,1,0.9028924757559801,0.06116994452033532,0.043864629981831646
31,4.0,1,0.7975547551925581,0.05690676352029716,0.04581927366416703
32,4.0,1,0.7865999387763619,0.06350746223303651,0.0479195985424299
33,4.0,1,0.860020537231893,0.05865478085873728,0.047729309511706765
34,4.0,1,0.6969810108135631,0.056488156331193654,0.045532942338867136
35,4.0,1,0.7473945248875092,0.057501019810547574,0.0402553313691187
36,4.0,1,0.5916714073207293,0.06410303596856762,0.05086791418548792
37,4.0,1,0.8542939428542214,0.059810901077139475,0.050458217648587364
38,5.0,1,0.9056895885690572,0.06913167141832838,0.07220106880230585
39,5.0,1,0.6959886826472597,0.07031837743196573,0.06749975945455214
40,5.0,1,0.8993313077786337,0.07395554670930377,0.06678954914035043
41,5.0,1,0.7893991207333769,0.07612865058327085,0.0605536035511518
42,5.0,1,0.6819384277285757,0.08133224338697366,0.07045910413091754
43,5.0,1,0.5838213564116311,0.07141251372377444,0.06789229303563747
44,5.0,1,0.812038328200611,0.0739197334242085,0.06388440863659818
45,5.0,1,0.7943204323158116,0.07122686935249888,0.06704442182148551
46,5.0,1,0.7324944027263635,0.07306349470355147,0.06267755617008657
47,5.0,1,0.8793864011857977,0.07654649082487167,0.070403385191591
48,6.0,1,0.5351729195511769,0.18696936424818328,0.4065401326619423
49,6.0,0,0.7659288949580478,0.1862685106949363,0.38183557521502814
50,7.0,1,0.6580221514149109,0.1757040963580099,0.4544354511712059
51,7.0,1,0.5966698927595466,0.16486331155021716,0.41092646759116813
52,7.0,0,0.7578933173431323,0.1602951268480877,0.4503400558643815
53,7.0,0,0.5713573668326778,0.1767029313458575,0.42100494923332243
54,7.0,0,0.6662530128256703,0.1535113355375313,0.42759893261916115
55,7.0,0,0.8331305372286475,0.15576073507241334,0.40592420017998493
56,8.0,1,0.6245793708009133,0.1425419851444346,0.42345326024342395
57,8.0,1,0.8170146010365621,0.14403992919003378,0.43056876380433096
58,8.0,1,0.8208712799952603,0.14770110183865326,0.48489362765398386
59,8.0,0,0.8231950499580015,0.1273433252162096,0.4646434661836925
60,8.0,0,0.5447287320436323,0.13208527239939188,0.5156136698020204
61,8.0,0,0.581532252746134,0.14523364218709683,0.4264039999015085
62,8.0,0,0.8266312842925567,0.12838322995096116,0.4387373208235422
63,8.0,0,0.7192300044887372,0.14758362192408583,0.5090699206080378
64,8.0,0,0.7361505606578058,0.14777765971418408,0.47295010830822803
65,8.0,0,0.5957051959886115,0.12766386966942397,0.47070458407330507
66,8.0,0,0.5554840541397726,0.14069899926318108,0.5003447606790576
67,8.0,0,0.7193152868652201,0.1358853998823608,0.4973501475668173
68,8.0,0,0.54907736278734,0.1312057328808687,0.5119315494050818
69,9.0,1,0.9580554060258056,0.04604908419023191,0.03909129379505357
70,9.0,1,0.80803998199729,0.051639972672865284,0.047800777037131176
71,9.0,1,0.9472679928042153,0.05256224419650993,0.03953974028035798
72,9.0,1,0.6229591326969033,0.05476460646642336,0.04114783573513961
73,9.0,1,0.68550040935341,0.04794534305425481,0.04255111640314615
74,9.0,1,0.6162859060939585,0.04932751596237197,0.03875570572110038
75,9.0,1,0.867793593040246,0.05504310396053693,0.03897228077827518
76,9.0,1,0.6298681228106184,0.04579795196029146,0.0444156964984173
77,9.0,1,0.9776581009992383,0.05122466067666095,0.03986934571871079
78,10.0,1,0.7808689510524068,0.05399719541946481,0.04542296512130389
