fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.8934372229428177,0.07371326790173686,0.081934063,0.03959870294714681,0.39680193511007955
2,8.547,45.177,0.902973135599739,0.05054711287593816,0.084290042,0.024787974896780855,0.4012346837940466
3,8.547,45.243,0.9000359729422482,0.07332752299783828,0.059548283,0.04874505266452755,0.4041784697575748
4,8.547,45.309,0.9061104949697276,0.07825567252157122,0.031261267,0.04132998199733206,0.37156450097164834
5,8.547,45.375,0.9351635627340228,0.098471028268474,0.039646036,0.06636075486902668,0.3941540513010002
6,8.547,45.771,0.605889252375763,0.2758375039470284,0.181390203,0.13753769047318082,0.43646266079297374
7,8.547,45.837,0.554603241491203,0.24654925262993893,0.0,0.09702646493799508,0.36552981619148694
8,8.547,45.903,0.4144970649379325,0.23962243319263857,0.0,0.1089870928697137,0.3360045213292075
9,8.613,45.045,0.8969467681559683,0.05912828683977411,0.30536027,0.03581187936202383,0.3446437968823063
10,8.613,45.111,0.8908135619006682,0.061042480058022534,0.076245213,0.036877985343161224,0.36723481832599375
11,8.613,45.177,0.8881383500938219,0.058972213046709875,0.04942713,0.03620083570499736,0.36241135884961767
12,8.613,45.243,0.8812102595214276,0.07335716992265554,0.042786537,0.0457740549936657,0.3896536106212116
13,8.613,45.309,0.9379489650419328,0.0757802756204338,0.012837739,0.04055932632564046,0.36771526624338396
14,8.613,45.375,0.9809144511488675,0.09481292779930957,0.030247261,0.05964360224075433,0.3954606578886763
15,8.613,45.705,0.8339800895831511,0.31799955762378107,0.236224644,0.2053015891762102,0.5311482915663536
16,8.613,45.771,0.7232266233215974,0.33805206062472504,0.489839019,0.20916169107514526,0.5533923586285218
17,8.613,45.837,0.5888742966411292,0.2863387874766246,0.236199988,0.13355228859175408,0.46161894803098985
18,8.613,45.903,0.4190458044573118,0.27768508808549414,0.345114207,0.13685873322026912,0.43958542016583024
19,8.613,45.969,0.365350685152256,0.22534490684141767,0.004301202,0.07944405901288408,0.3752565575493133
20,8.679,44.979,0.8474747035117981,0.05862535551962705,1.0,0.03321273804281259,0.3074651322327063
21,8.679,45.045,0.8593996589434629,0.06923185181031176,0.068179794,0.03721182767680273,0.35957034594641263
22,8.679,45.111,0.8621608430699145,0.0648063190038384,0.0300387339999999,0.0326756238232839,0.3760637642182384
23,8.679,45.177,0.8915886920121879,0.08445335701383522,0.045922948,0.06117236477827058,0.40223600924451164
24,8.679,45.243,0.9203434297469548,0.10071436167129787,0.03527941,0.07470698307757596,0.42063084805956624
25,8.679,45.309,0.9934681153169512,0.11678048971821171,0.016256328,0.09782224872440189,0.42759393386947403
26,8.679,45.573,1.0550118533775807,0.4738027072864026,0.609258539,0.5751153290761154,0.5864624959199599
27,8.679,45.639,0.9985893041291716,0.45600016501017376,0.626525243,0.4626361474077572,0.6161284265718582
28,8.679,45.705,0.9522248933942052,0.39772420447057516,0.543564436,0.34282266227441394,0.5180928718702713
29,8.679,45.771,0.893115505238972,0.32923730485147434,0.478363383,0.18000334998653159,0.49804142389844125
30,8.679,45.837,0.7243807316382561,0.27616926351018806,0.449565004,0.11937886202623525,0.39804430973453464
31,8.679,45.903,0.4754804220126175,0.267685942889284,0.725253433,0.11473863698595332,0.43110332012417063
32,8.679,45.969,0.3325379115594752,0.22329120356438187,0.305525446,0.07928519985619459,0.44140743217040845
33,8.679,46.035,0.2051693787518042,0.19026803002939763,0.0,0.05456362186181991,0.4405007304488558
34,8.679,46.101,0.13108710361745,0.11038905015419666,0.0,0.011932240419960166,0.3630866770452064
35,8.745,44.979,0.7916299202849822,0.07407543913419647,0.427614387,0.053048201815041524,0.3686581246725588
36,8.745,45.045,0.8325335834308304,0.0813449132261228,0.097185933,0.06223962702400192,0.40732197590262376
37,8.745,45.111,0.8566630192691326,0.07295382705236961,0.035198964,0.044088130982583414,0.36444631068434297
38,8.745,45.177,0.8719188422346991,0.09108935614617113,0.026881709,0.07633908522057607,0.41248968318473456
39,8.745,45.243,0.9733187811397468,0.1183181459844039,0.028086956,0.07774791634379721,0.41163825617572153
40,8.745,45.309,1.054311973145253,0.14727752108740097,0.039115861,0.11925458757961933,0.44040064535710444
41,8.745,45.375,1.1233498962084378,0.16334713104499915,0.020582411,0.13319928053787328,0.4662473594057773
42,8.745,45.507,1.2630107058919653,0.3613268522449617,0.409404487,0.3291256922168684,0.6381495128232878
43,8.745,45.573,1.2621112073360417,0.5259878220762483,0.420758075,0.5383496617307953,0.6980650669096646
44,8.745,45.639,1.1970185194645055,0.5550856978009195,0.300874284,0.38706506619621933,0.7740393273155155
45,8.745,45.705,1.115395476775262,0.5252138156562252,0.557162154,0.42370612919593387,0.7170407112831662
46,8.745,45.771,0.9956357537861256,0.43880091744819966,0.464089161,0.24225603400180537,0.6567512545431873
47,8.745,45.837,0.824294952589527,0.3294191470164823,0.481159615,0.16419996164625336,0.5651667354263264
48,8.745,45.903,0.5341212150515002,0.285849091420709,0.802809005,0.11968575192275026,0.5142181014819439
49,8.745,45.969,0.3754057537553729,0.18439388066141402,0.641200631,0.04682017563044613,0.4003468569864099
50,8.745,46.035,0.311389225173095,0.16408777740596261,0.514326742,0.04644799497312793,0.4143589490050542
51,8.745,46.101,0.1880452854805179,0.08339519503280446,0.605383509,0.009350499983295962,0.33165951761565077
52,8.811,45.045,0.8326121553385872,0.12379180235141671,0.118285563,0.13296420265742445,0.404351355625848
53,8.811,45.111,0.838366946947166,0.10100508474350023,0.03866662,0.09571384471692357,0.3870722304697797
54,8.811,45.177,0.8941931624071807,0.12094883323355915,0.110466954,0.11704616015298139,0.44390090645423474
55,8.811,45.243,0.9768495339459686,0.1694549836982932,0.065380854,0.1308663417090576,0.49588049340639107
56,8.811,45.309,1.0655005653523129,0.19443196264646231,0.055457888,0.13977243452315363,0.472113836984456
57,8.811,45.375,1.168796314773103,0.24498245059280307,0.147558629,0.19481272523095142,0.5054413492018611
58,8.811,45.441,1.2963528091434229,0.284202331618785,0.367596199,0.2512906150786895,0.5100996114599664
59,8.811,45.507,1.367553283819542,0.44283729610817213,0.09580181,0.3795219160993192,0.6756129066431424
60,8.811,45.573,1.3724188692285544,0.6210735152677122,0.260904662,0.5523826028581954,0.7611305581357286
61,8.811,45.639,1.3486903755431805,0.6457803371575525,0.19984599,0.5084759043089896,0.7450080100686005
62,8.811,45.705,1.2296356493035814,0.6280997872946193,0.312840751,0.47428683681061967,0.7508899519568285
63,8.811,45.771,1.067954506327952,0.4757425083439795,0.337627145,0.2635056117609524,0.6363709121795053
