rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA
0,1.0,1,0.07967546646258318,0.05427194694291147,0.043006868747338646
1,1.0,1,0.07754627361522441,0.053893842588225084,0.041979514770323745
2,1.0,1,0.08354866305462187,0.055863933241371996,0.043787580515195046
3,1.0,1,0.08198453960194153,0.0547765844435296,0.04188362947073926
4,1.0,1,0.07597817814838359,0.05452649096848597,0.041221117100318345
5,1.0,1,0.07603221667086595,0.057839100997182466,0.04463749458899975
6,1.0,1,0.07737713143368269,0.05305094410582725,0.04181471008767139
7,1.0,1,0.08115802903901484,0.0546578057910393,0.04120044340540984
8,2.0,1,0.0623887222540399,0.04363180758790726,0.060308207915970816
9,2.0,1,0.06505468194995537,0.04470675089205171,0.057939645758190154
10,2.0,1,0.06392224376734094,0.04386485270321922,0.06064079129784621
11,2.0,1,0.062103655964634456,0.0449960469212307,0.06285193968444149
12,2.0,1,0.0617590109736038,0.048420588900419025,0.05944098915893389
13,2.0,1,0.06002696240852681,0.043625874833907945,0.0600704591629211
14,2.0,1,0.06312485221244392,0.0454556565147679,0.05859687378924455
15,2.0,1,0.06395597857986816,0.04749014173148308,0.05746336580739703
16,2.0,1,0.05951833629151143,0.046274986385761045,0.05810528130736744
17,3.0,1,0.07341364771710651,0.05054454103007475,0.043178503231197735
18,3.0,1,0.07001042953965875,0.051014181335121866,0.04335950945323036
19,3.0,1,0.07384063551041563,0.0490202530234043,0.045003322901904855
20,3.0,1,0.07097868051420107,0.05012538699309786,0.04410688534500563
21,3.0,1,0.07226916835944666,0.05325364410161914,0.044455029159834784
22,3.0,1,0.07226972852938533,0.05361281404672266,0.04249396677335178
23,3.0,1,0.07136266704536866,0.054007851195550634,0.04466488140023036
24,3.0,1,0.07137812965564598,0.05137203049008344,0.046716752530887924
25,3.0,1,0.07331663961544523,0.05144223054161674,0.046069040375567666
26,4.0,1,0.08522146247047595,0.060527657753735004,0.03678985610403886
27,4.0,1,0.07828789495156778,0.0597178595462021,0.03917644967211854
28,4.0,1,0.08015643023062141,0.05657852753209954,0.038492517709476454
29,4.0,1,0.08447161489676248,0.05980458254405594,0.04015112343574272
30,4.0,1,0.08187696170260737,0.0572180806667177,0.03709189284562367
31,4.0,1,0.08583487650131684,0.056359467904786,0.038217554645407055
32,4.0,1,0.07892167726598112,0.057947213842943365,0.03923266397534663
33,4.0,1,0.08418012411894764,0.05968261259645159,0.0367757106798095
34,4.0,1,0.08572710587111453,0.05660606994466202,0.0402126196179997
35,5.0,1,0.08375006366728288,0.0663283628524862,0.04381842558780287
36,5.0,1,0.09048202552469731,0.0675443790009117,0.04380397385153109
37,5.0,1,0.08913093477249363,0.07077898404092595,0.0413372390847774
38,5.0,1,0.08517315810768072,0.06568928684709407,0.044229660786541614
39,5.0,1,0.08415630880778822,0.06966028190601228,0.043980764250139276
40,5.0,1,0.08554462945704853,0.06617051109299867,0.04355788779508855
41,5.0,1,0.08978283151940149,0.0713443988423425,0.04094473065338464
42,5.0,1,0.08779787164929276,0.06483783600542721,0.04231921070235719
43,5.0,1,0.08358087225843731,0.06814589281392368,0.04375601005988111
44,6.0,1,0.3025442077493454,0.20051093906413356,0.31350288697859263
45,6.0,1,0.29864335252601054,0.19777176262473933,0.2958637435593765
46,6.0,0,0.3209970004944022,0.1885603694305362,0.2928164510843936
47,7.0,1,0.2890795083727158,0.16179331092128507,0.2626642084769843
48,7.0,0,0.2941588109523794,0.16307132934049876,0.265442410034349
49,8.0,1,0.25977669313171925,0.1253749464120183,0.2571979461845742
50,8.0,0,0.2792694884592098,0.13643262702750938,0.2524858212544641
51,8.0,0,0.2671724189140884,0.13767728255886408,0.24125300916881076
52,8.0,0,0.2597286937496626,0.1366910749390874,0.26148854590899395
53,9.0,1,0.06248372052957054,0.04630224459594823,0.1806253575397819
54,9.0,1,0.06631006803998604,0.04924445729550078,0.183376201603963
55,9.0,1,0.06226470626152131,0.04601950406533718,0.18474734869571252
56,9.0,1,0.06485664533110712,0.047324656154634756,0.17889363738991207
57,9.0,1,0.060398816168098224,0.046414699537846583,0.18621800139952227
58,9.0,1,0.06164898707023081,0.04629555241517716,0.19509962083167814
59,9.0,1,0.06494984107229747,0.05032940566584206,0.1892361236085485
60,9.0,1,0.06451939885556648,0.04889194298671366,0.18979637476576156
61,9.0,1,0.06567976147931348,0.048399824037595914,0.18319337333059096
62,10.0,1,0.0645250242648492,0.043454713894925195,0.10784316176435256
63,10.0,1,0.06409111316813154,0.04550537068925374,0.11363430329111597
64,10.0,1,0.06291338082195329,0.04428385318257733,0.11269103551400969
65,10.0,1,0.06131798221483172,0.04303069788441072,0.11334864935303433
66,10.0,1,0.0666098662391558,0.04604330976224486,0.11491697783560327
67,10.0,1,0.06351732192441772,0.04640579061364994,0.11281151713761525
68,10.0,1,0.06238301153891521,0.04452696453630698,0.10956914046826757
69,10.0,1,0.06596718189812913,0.045384495366624616,0.11425263524813933
