fid,BUILT_AREA_SURR,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR
1,0.07969723985871609,0.03359571606961185,0.04619358299565549
2,0.06515334181699976,0.0436781603617747,0.03669096601925013
3,0.0714398717386034,0.03837935115601782,0.04114898125585094
4,0.08101628089051047,0.03183935986436231,0.04797101053563338
5,0.08737275818062279,0.028615327664422045,0.05303054329644009
6,0.30315866651846685,0.4001563689636287,0.1570640325622637
7,0.2823880207252482,0.3643214152357567,0.12761367016733355
8,0.26997812510039776,0.3878052462997605,0.11539341506428322
9,0.06461791107393257,0.05630732767723394,0.03600220445259425
10,0.06546081718664105,0.04862148073902189,0.03720955675760509
11,0.07065936709621953,0.042325766699759945,0.04251930427503434
12,0.07955276458288815,0.03609641696426682,0.0505109555316549
13,0.08759020469121226,0.030075692997463016,0.056395772360079074
14,0.09462567657728016,0.02598569999981645,0.0601708426576899
15,0.36085484963121955,0.4479746052898151,0.250501659674241
16,0.32098884079217055,0.4324499167482863,0.17918243752194404
17,0.2918524382194927,0.4199121251109683,0.13770199204031972
18,0.26798040202567613,0.43114111324556104,0.11355155746742204
19,0.24672967200723864,0.46504967909978123,0.09452768663917552
20,0.07222097376784321,0.06777300897349449,0.04621230368224155
21,0.07018912581731566,0.0613019374825673,0.041979654270808145
22,0.07245333840985614,0.05032439063788874,0.043813654866177255
23,0.08326477329179222,0.04233099418247157,0.05552960156911104
24,0.09898090798859185,0.03679643264161478,0.07099082811492044
25,0.11332776037178517,0.0394491436429208,0.08375090540678107
26,0.4997635454358443,0.3762466002255477,0.4900594484164602
27,0.4805871195075289,0.4222270785752467,0.4278494879321602
28,0.42450847505717204,0.44694154543695036,0.31693622700535845
29,0.36623503361655674,0.4615303436078552,0.21778921850799038
30,0.3113512050316911,0.48790177928682277,0.14815233753853604
31,0.27003211755293155,0.5203413048703219,0.11218766209859656
32,0.22790658136332811,0.5583130412688956,0.08032236918682044
33,0.1765522192813391,0.5922613735488038,0.04849758965983924
34,0.1507848648724787,0.6166907022197747,0.03460149503322848
35,0.08152503462333563,0.07458774352086615,0.05948695819778222
36,0.08498352658802881,0.06365144758717008,0.06325084529739147
37,0.08842803679566903,0.05383426889198772,0.06620150117915552
38,0.10257355195341981,0.04661226250205217,0.07732011346435222
39,0.1267273439554956,0.04760072520125046,0.09584886096605488
40,0.15478838092496983,0.06708606682604587,0.11791397764688825
41,0.19721446129051567,0.09891902431864345,0.1524494852633337
42,0.46008349704279394,0.25984624127631784,0.41645898463208814
43,0.5277652734242914,0.3150139751191915,0.47515417750915473
44,0.5487706888300253,0.36694574796738105,0.46132325928471385
45,0.5132369605623136,0.40667528779752515,0.3743479017787263
46,0.4325878003414898,0.45871938747465313,0.25803139187343044
47,0.34449448293850926,0.5280241869675643,0.1634880391821539
48,0.2768398145094671,0.5948150879480828,0.11122200658824963
49,0.2126846519170371,0.6482331689455608,0.06965153787795711
50,0.1607204905814911,0.6612416878976095,0.0403439236577682
51,0.12990682553710642,0.6600899076952198,0.024471295472615312
52,0.11359531687241983,0.06655342136873892,0.108338439338551
53,0.1107956034531657,0.06191030743770055,0.09874544734058478
54,0.12576093450341794,0.06264880078334457,0.10208450697669266
55,0.15112939149812438,0.07886702453047317,0.11412844731053612
56,0.18280251549844112,0.10602801496120617,0.13587691195392418
57,0.23280774839788085,0.12777536976784035,0.17940310184402816
58,0.32833360245281895,0.15834561171574507,0.26510127769223496
59,0.46877519654051536,0.19450665118213414,0.39142444788723196
60,0.5786452218376554,0.23682744581877416,0.48104889547328955
61,0.612231751569157,0.3014886497662267,0.47952669863527914
62,0.5755733523343083,0.3656977828651106,0.40311585469833916
63,0.47897378427685056,0.44433986082400495,0.2808233261623983
64,0.3759178305795923,0.5387587296986408,0.17798089722621876
65,0.28953369134769424,0.6302812455930598,0.11455267839992624
66,0.20472728608515983,0.7051937702194193,0.0626742476629006
67,0.1461211217311799,0.7337659037444725,0.03252289735388324
68,0.11413140163007228,0.7469647090155677,0.019991529272733767
69,0.17740030520788422,0.08184251696208335,0.16244626748948807
70,0.1456154438652904,0.07317955599484549,0.14416684011395448
71,0.1300261691812836,0.07443472308406464,0.12171231608507038
72,0.1365426962380594,0.09148910068360623,0.11188824251075473
73,0.15958414280609345,0.11884698965822582,0.11662030002759251
74,0.19115109554575893,0.14030840477500053,0.1364306464898763
75,0.24746833902095394,0.13956160272159224,0.18908697533129462
76,0.34925685800224726,0.12945810979082614,0.27977479239731945
77,0.4964261749818519,0.13494753122954323,0.40206395056442124
78,0.61622764048421,0.17600357305321276,0.4931869961998668
79,0.6405548045163347,0.25249176785201755,0.48463481287518584
80,0.5896305841100093,0.335462922820603,0.400955990573572
81,0.49318692689609855,0.42483569172970276,0.2849514462932935
82,0.3977899191535016,0.5219616891932732,0.1901682667590779
83,0.30089923530094276,0.6297543009463815,0.11947981077188717
84,0.20206335415193324,0.7289429322894213,0.0598698611649435
85,0.13488387631641735,0.7844205626368105,0.027661990673648888
86,0.11327368727829937,0.7852768219145416,0.0201737716396444
87,0.2307216009274969,0.1360248578185857,0.17415750585907921
88,0.1958019963300915,0.1077883553519461,0.16252577780039318
89,0.1643019440193022,0.08022316421333012,0.14944916249844084
90,0.14012847873925557,0.08427278419785751,0.12574177882521398
91,0.13621604476223168,0.1124828001456956,0.10790910308136702
92,0.15713130117557472,0.13803938120751988,0.11071590130980957
93,0.18852553938182845,0.14425680088585288,0.13283366872336752
94,0.25909175041009314,0.12379326362610439,0.20431923396968538
95,0.3834546339130147,0.09671320098187254,0.3239335236091437
96,0.5341084049284713,0.09663889753384246,0.45255621488885234
97,0.6346768742345916,0.14134154986403802,0.5188017825589959
98,0.6364647685008403,0.22165425829959232,0.4854812384626765
99,0.5734389623975159,0.30940330345943556,0.39505862275587467
100,0.49004775146432067,0.4000744123489698,0.29415579420528304
101,0.4053526836404831,0.4989126518554224,0.2052497860135568
102,0.29392527163357984,0.61478111968967,0.11929060313400479
103,0.1848797459651731,0.7152932516720202,0.052877213106770085
104,0.1926858705714479,0.23421089114402593,0.13472354657003438
105,0.18468753741712216,0.15819950830622145,0.13951349165639348
106,0.16767702595569023,0.09867620809875871,0.13601468375696513
107,0.15164850747120062,0.08988351490418493,0.12365341461936091
108,0.14583043164057674,0.11393670172032522,0.11059577264998915
109,0.16287143824400738,0.12853985316785987,0.11836927327036667
110,0.2028977912047138,0.11911339074528211,0.157837839469028
111,0.30303425025116904,0.0918731410789606,0.26874686630157013
112,0.45707365738740646,0.07007686121500292,0.42811860257774653
113,0.6064734227782751,0.08083904015331161,0.5547987068674962
114,0.6766372783124492,0.12801170271682433,0.5817979706064615
115,0.6488880148692007,0.20188574712750135,0.5088858505060488
116,0.570299933156173,0.2893083312560542,0.40094421794839735
117,0.48137845736732315,0.38747307500690287,0.3000788469219551
118,0.38293266886338734,0.49999555833319376,0.20415294472941925
119,0.25352645427470444,0.6191678219555006,0.10296688144153865
120,0.1415895452817961,0.7094906419986018,0.03457958300793836
121,0.09429076959809662,0.7541227411843519,0.01642141411046694
122,0.07082190238288112,0.5826304476173934,0.02870482430220485
123,0.09554017765532852,0.4992652353181609,0.04726447375156247
124,0.13763304714078073,0.34873435505237044,0.08500955745171387
125,0.15696483143264886,0.21725875347171644,0.10744852688234667
126,0.16653800680271932,0.12337297795990933,0.12154681510319472
127,0.17035468963548056,0.0900474537091593,0.127932969402237
128,0.17294880861047573,0.09632470640157104,0.12993675525031761
129,0.19042506420563643,0.09708625900535864,0.15086896995038018
130,0.2500251567548147,0.08060428570302419,0.2195414850186848
131,0.39164711596869034,0.05822866930266168,0.3789499239190299
132,0.5807833125650492,0.050857105460634766,0.5759903107524287
133,0.7313269828971234,0.06763621715991362,0.6948307966878653
134,0.7748359256562308,0.10792952100870427,0.680257712313786
135,0.7174887236391153,0.17208570868370712,0.5643916672571836
136,0.6152283882764173,0.26484056465117384,0.43040617996578173
137,0.48836106090435244,0.3898624172167069,0.3099838474264581
138,0.34679778890583957,0.5279524996397367,0.19101434973722464
139,0.2037830747293487,0.6480443508566766,0.08100166493494337
140,0.10663333493085947,0.725936644605654,0.02152690976471385
141,0.0759777165802428,0.7689991904183253,0.012713292529445667
142,0.06048542571508289,0.8179524278992072,0.010931540197327894
143,0.053023372891636215,0.6469341702068576,0.017037834560243797
144,0.06855682966149308,0.5580198651547489,0.026598708420375494
145,0.10172804318016246,0.4114096443460825,0.05290765848421937
146,0.134199116717955,0.2599698703628203,0.0814128402044212
147,0.16422507152995072,0.14522949678119162,0.111877714453285
148,0.18578561179134884,0.08881382622695261,0.1352368922225036
149,0.195164863022209,0.0739313703712479,0.14899120947860683
150,0.2157293234785253,0.06524000588112085,0.18191017687351924
151,0.29833350718416135,0.052147544598713486,0.2825438731139642
152,0.4796868400956793,0.040644492797326306,0.490048900030439
153,0.702297993133379,0.040132067869988915,0.7195495910163101
154,0.8603910830554806,0.05303363028066116,0.8311475340952773
155,0.8822958832725362,0.0869395463395501,0.7753713066956429
156,0.7935522384251035,0.14649305577253224,0.6182157724603091
157,0.6583470905287595,0.24922426083410398,0.45917622269679087
158,0.49035862735567337,0.40116088818153905,0.31677628095440546
159,0.31541985199451106,0.553134364786465,0.179008792252757
160,0.17398356955870223,0.6551778726546857,0.06813790863992358
161,0.0963552540406388,0.7059421841389659,0.018565607327782237
162,0.07275103425608694,0.745250726482943,0.01244176026179152
163,0.05634702920002357,0.8071147296303314,0.01058852015488967
164,0.038875577204012156,0.8740066977929556,0.007493933307511235
165,0.03740143295408687,0.7611794385552612,0.011322215851595551
166,0.04491620426420074,0.6954934690412952,0.014086567529960497
167,0.05564513035418287,0.5866758104631298,0.018159063550634555
168,0.08385073561419949,0.4332947954498861,0.03555494143817268
169,0.12235245464686446,0.2728253090112954,0.06575792311084991
170,0.16120801249551756,0.15244349885906208,0.10470697081169345
171,0.19013261947182622,0.08808132048493059,0.13697212067206546
172,0.19913024607421048,0.06035356746908715,0.15375987538796224
173,0.22058050296001203,0.04790568784961788,0.19149178244905166
174,0.3118731076474178,0.04118025938635104,0.3084103247040008
175,0.5047447952797813,0.036884623211029546,0.5326435495111236
176,0.7384882131194749,0.03468431931750129,0.7727237872387416
177,0.8982350782026207,0.04158098324171268,0.8806378921281841
178,0.9130619590133581,0.07326930474434486,0.8069436376981395
179,0.8088922158275853,0.13428748011419328,0.6274833841479283
