fid,left,bottom,right,top,lng_cen,lat_cen,X_UTM,Y_UTM,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,urban,agricultural
270,9.438,45.144,9.504,45.21,9.471,45.177,537007.5312,5002721.054,38.02328934,77.02267759,271.2647095,2.106020696,2,4,13188.41016,2,0.691074811,0.121763693,8.55E-05,0.005655019,0.112880339,0.046604501,0.001551451,0.020384695,17,0.046715109,0.099793619,0.057571588,7,0,0,0,0,1,0,0,1,0.362641516,0,0.043477546,0.260717396,0.131763585,0,0.201399957,0,0,0,0.052599342,0.736390788,1.262384208,0,0.663847094,1.151024139,0.005096085,0.157798026,0.157798026,0.447094407,0,1
271,9.438,45.21,9.504,45.276,9.471,45.243,536964.7549,5010053.087,37.97977771,71.2502653,0,0.352693367,2,4,10442.76953,2,0.813455484,0.026120764,0.000176084,0.006214152,0.064850125,0.075818545,0.002025317,0.011339529,9,0.02073252,0.326193088,0.031539669,7,0,0,0,0,1,0,0,4,0,0,0.260137858,0.658446707,0,0,0.081415434,0,0,0,0.105319205,1.079521853,0.684574834,0.332804642,0.812683437,1.050180502,0.017452671,0.658245032,0.052659603,0.737234436,0,1
272,9.438,45.276,9.504,45.342,9.471,45.309,536921.9292,5017385.204,37.93621431,76.78254911,52.3887291,0.428037625,1,4,29273.34375,2,0.599616377,0.079721617,0,0.029545748,0.113320625,0.126144128,0.025735501,0.025916005,9,0.011314336,0.261381619,0.018763928,7,0,0,0,0,0.99770269,0,0.00229731,4,0,0,0.2112929,0.602919612,0,0,0.13202511,0,0.053762378,0,0.15816022,1.318001833,1.50252209,0.056280518,0.889730134,1.561371157,0.009084195,0.369040513,0,0.421760587,1,0
273,9.438,45.342,9.504,45.408,9.471,45.375,536879.0541,5024717.406,37.89259922,78.4067534,6.370853424,0.489736376,2,4,11184.86523,2,0.745307921,0.113548598,0.001948412,0.021667379,0.054910616,0.048567555,0.005734842,0.008314677,9,0.035178535,0.318148975,0.004259816,7,0,0,0,0,1,0,0,4,0,0,0,0.495446596,0,0,0.342478635,0,0.162074768,0,0.079171133,0.950053592,1.18756699,0,0.576999993,1.167871121,0.017808455,0.475026796,0.290294153,0.923663214,0,1
274,9.438,45.408,9.504,45.474,9.471,45.441,536836.1298,5032049.692,37.84893249,93.42144024,270,0.42942848,2,4,5402.084961,2,0.761041918,0.148048991,0.001287578,0.028005711,0.02790293,0.027179943,1.48E-05,0.006518146,7,0.037118187,0.29295197,0.002989746,7,0,0,0,0,0.998861264,0.001138736,0,4,0,0,0.00021467,0.616598963,0,0,0.185095281,0,0.198091086,0,0,0.686941435,0.819045557,0,0.419825275,0.851947494,0.018717731,0.264208244,0.105683298,0.449154015,0,1
275,9.438,45.474,9.504,45.54,9.471,45.507,536793.1563,5039382.063,37.80521416,118.5940225,270,0.378074122,1,4,20143.8457,2,0.661869064,0.053000099,0.000212136,0.039994277,0.097693077,0.111676415,0.008842042,0.02671289,9,0.023400279,0.250294394,0,7,0,0,0,0,1,0,0,9,0,0,0.310501,0.272219376,0,0,0.009058001,0,0.408221623,0,0.264513777,1.110957865,1.375471642,0.57597078,0.7738752,1.243464405,0.018011587,0.396770666,0.132256889,0.767089954,0,1
276,9.438,45.54,9.504,45.606,9.471,45.573,536750.1337,5046714.518,37.76144429,163.4090562,260.9342651,0.716878414,1,4,38765.39844,2,0.625858615,0.057245954,0.000913739,0.002340443,0.148450559,0.129851904,0.012241286,0.023097499,17,0.119158095,0.181944039,0,7,0,0,0,0,0.99894948,0.00105052,0,3,0,0,0.68232314,0.015413652,0,0,0,0,0.302263208,0,0.238338341,1.165209669,1.085763555,0.284195441,0.891002435,1.312502451,0.011599261,0.397230569,0.105928152,0.741497062,0,1
277,9.438,45.606,9.504,45.672,9.471,45.639,536707.0619,5054047.058,37.71762294,220.3604432,270,2.500647853,1,2,29671.33594,2,0.56259369,0.132428259,0.000122918,0.014233096,0.156482105,0.094137784,0.007809553,0.032192595,17,0.089059131,0.168962042,0,7,0,0,0,0,0.980526919,0.019473081,0,3,0,0,0.867553509,0.132446491,0,0,0,0,0,0,0.159076833,0.927948192,1.69681955,0,0.486222201,1.627354268,0.006312808,0.424204888,0.238615249,1.272614663,1,0
278,9.438,45.672,9.504,45.738,9.471,45.705,536663.9411,5061379.683,37.67375015,298.9929113,0,9.580408348,1,5,34661.85938,3,0.251602747,0.369755138,0.002758174,0.020534251,0.21012759,0.085920654,0.023576729,0.035724717,17,0.019278937,0.047264841,0,7,0,0,0.083596971,0,0.916403029,0,0,4,0.008424544,0,0.461011609,0.530563847,0,0,0,0,0,0,0.106174723,1.061747233,1.459902446,0,0.663377807,1.497782357,0.005436893,0.424698893,0.106174723,1.698795574,1,0
279,9.438,45.738,9.504,45.804,9.471,45.771,536620.7713,5068712.392,37.62982599,505.7979426,0,18.52557893,1,2,20506.18945,3,0.190858586,0.571265107,0.021937638,0.009357236,0.14442786,0.050706094,0.001326936,0.010120543,4,0.001779765,0.010146831,0,7,0,0,0.162443828,0,0.837556172,0,0,3,0,0,0.794359128,0.205640872,0,0,0,0,0,0,0.159447987,1.062986579,0.823814599,0,1.017831536,1.345667207,0.001511831,0.77066527,0.106298658,3.188959737,0,0
