fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
1,0.9794176804661872,0.07861482874601958,0.034207333146173524,0.10274606139569188,0.008856474482424544,0.09421480477339333
2,0.9896099065115594,0.06040595394915357,0.045889530359288604,0.08713723547444545,0.041273933031424535,0.10539006791328986
3,0.9871718644630322,0.07078143474825463,0.03959935716825076,0.09254891544756252,0.03050458033517214,0.09191462502033282
4,0.9863725512000081,0.07928934831608067,0.03178845980438932,0.10460804432288387,0.010207764076735371,0.082710404501575
5,0.987040019192066,0.08749529788956317,0.0281308577270617,0.11069052146697622,0.005949763336791482,0.09038090278299282
6,0.16764545455284408,0.28790869807191155,0.3796609781051312,0.4060314153320946,0.008192764487080662,0.024824357947110017
7,0.1410062400010143,0.2671357899859025,0.35111124361689117,0.3951096280255274,0.004546122236075948,0.019993380314910165
8,0.10965559977116589,0.252352447842732,0.3451740809815585,0.38191670555773105,0.002592668319149741,0.012789864166370067
9,0.9776433438394093,0.06219638761584219,0.05881602377120993,0.08528815085972395,0.08967354224363172,0.16640311074759118
10,0.9874561236972575,0.06101096272456966,0.050447043228276874,0.08397586706967462,0.06855533733196036,0.14137001151212594
11,0.9923999011841564,0.06316112234494363,0.043552765454900576,0.08892269888091729,0.04759851403602649,0.1090665342200441
12,0.9897799984109149,0.07527788201250558,0.03620308142438877,0.09862615974896408,0.030262994090183667,0.08762636230401469
13,0.990205405835267,0.08329092180756317,0.029069020053487157,0.10975717487719024,0.011405466700596945,0.08305956015397917
14,0.9894355889390262,0.09203364844093528,0.025087883747785387,0.11924984605420375,0.006476729284900856,0.09157378588705158
15,0.17921165284526944,0.34683215840289067,0.4492789341231993,0.42385200570120507,0.022672888217752478,0.02261116768922107
16,0.17430463678236052,0.3202026709798484,0.4267831467858465,0.41987916238352596,0.01017883829667064,0.021469927395236125
17,0.15059915095055063,0.28547635167211644,0.4226039196611927,0.4046135188337375,0.004461536596768347,0.01879907948379849
18,0.11399329669158659,0.266216550549037,0.41588016166353176,0.38271205398631963,0.0023887611667256854,0.011198739992472178
19,0.09065133638049731,0.23705675585308575,0.4524471155448522,0.36089097917861823,0.0008946860010251562,0.008236580915467017
20,0.950101433132315,0.06694231171277669,0.07577047315244094,0.08851233190669307,0.12275546762408161,0.17364039120998584
21,0.9702166811893589,0.06760403490326333,0.06304073295902986,0.08852964427865122,0.11182742417416008,0.17748028892881434
22,0.9846951053497159,0.06836334970514234,0.050161695786754,0.09154105432736745,0.08239241922759573,0.14765798639839844
23,0.9882603714948178,0.08167445918464053,0.03866931017598951,0.09960271268033748,0.051025671100517804,0.12841705051570998
24,0.9787099160563935,0.0994708259168309,0.03339556319518812,0.114618382274613,0.027059981965482628,0.10956924239408423
25,0.9688878398014727,0.11298487302557067,0.03764512160727989,0.1300016638717974,0.013986324141313962,0.1149809766725143
26,0.2606211180249738,0.4781996516017012,0.3873923646373291,0.4587034255044096,0.1207531943052056,0.06583027283347832
27,0.2009111822340544,0.46437332614223253,0.43374941289833807,0.46080570964326095,0.0709703990184187,0.03135347892987424
28,0.18613540272066206,0.402418458566852,0.45352576068031086,0.4776019554592888,0.0319056025778721,0.02442021551212016
29,0.1789625907251819,0.345961961527381,0.4593452832198256,0.4640748467773414,0.011512245582907938,0.022069087509597306
30,0.15230512415585384,0.2896697822344314,0.4940624439916828,0.43152309272136746,0.00450714596567253,0.01876670520471975
31,0.11535014850420498,0.26671730207351096,0.5121800912995197,0.3911176635165605,0.0017971772675011786,0.011888385145151186
32,0.08374194225910275,0.22010719619807792,0.5486325273906876,0.3451350298513656,0.00020589150920701367,0.008204705030157158
33,0.05944851628242162,0.17983430493545588,0.5706994595816767,0.2799087259975756,0.0,0.002880670356452333
34,0.04182561890872522,0.13118847921817575,0.590936236940255,0.24283578469007466,0.0,0.0008901201728046684
35,0.9372466969456945,0.07659605022309787,0.07789834497973416,0.0939122259575259,0.12928337344873422,0.177823401735474
36,0.9542374254954995,0.08317907202342867,0.06625408779170035,0.09512498661737487,0.10757246539499217,0.1830664491380305
37,0.9702496898123258,0.07875762382689865,0.05526430437039378,0.0992004195766327,0.08023360466849418,0.16676716394670557
38,0.9706803218891406,0.09512894929152572,0.04429382519449648,0.11419947422925293,0.04985756573648815,0.1764696168858325
39,0.9456795234168389,0.12272610169918935,0.04553866606646918,0.14188946132176267,0.026160448727851487,0.16975020056147053
40,0.9091738548040992,0.14774847681215075,0.06429433548298562,0.17297657918975026,0.0220403624213056,0.1700840720440973
