rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
0,1.0,1,0.04585789107464245,0.02718771478064441,0.371535086525208
1,1.0,1,0.05149568028914273,0.024511085451459375,0.31271904767291603
2,1.0,1,0.051480192472275144,0.023967930891605694,0.3276866050660453
3,1.0,1,0.0452362516487149,0.023642498005834962,0.3113360469500167
4,1.0,1,0.05170109014947271,0.02571702712409429,0.3333876281864867
5,1.0,1,0.04764122253306077,0.025444723062238904,0.32773173089989416
6,1.0,1,0.0435167012759877,0.02218109704735297,0.3176401492617194
7,1.0,1,0.04524644132237893,0.026440408081563754,0.3690887375934058
8,1.0,1,0.05062381490249366,0.02376694301858228,0.3374155748105737
9,1.0,1,0.048843549932952264,0.023361656545047186,0.33832538121364314
10,1.0,1,0.04241748900470184,0.02551589082492173,0.32627220644908705
11,1.0,1,0.05160955478543931,0.02284571417575303,0.3499758399404198
12,1.0,1,0.04367846013401563,0.026014966392700192,0.3349470125550809
13,1.0,1,0.04458212010267145,0.026379606767588066,0.3438030387355221
14,1.0,1,0.05005957965321052,0.02392689702320505,0.35015392905762877
15,1.0,1,0.04220451290075824,0.02300691471052944,0.35682383140038815
16,1.0,1,0.043407676030970496,0.024396183068675446,0.3166720808463596
17,1.0,1,0.04835722212104081,0.02550850856679945,0.34110606940053756
18,1.0,1,0.04363552475716111,0.024061544148741437,0.3600649889585512
19,1.0,1,0.051340066840100215,0.02671889228551123,0.37544283757374436
20,1.0,1,0.044909095349073405,0.02718693769607559,0.3289561332724385
21,2.0,1,0.039485137702171116,0.03491750213676686,0.3382240692806149
22,2.0,1,0.038528305550858476,0.03929205189765919,0.3608766533802823
23,2.0,1,0.035191689262000767,0.03823497323957669,0.3671637588083396
24,2.0,1,0.03821907363310826,0.03436176264523844,0.3561927785299739
25,2.0,1,0.03879595171557753,0.037563005348808694,0.3256414582899545
26,2.0,1,0.0390999478375648,0.03336145673575538,0.36853051432329786
27,2.0,1,0.03744249781766163,0.032708780550177015,0.31028430808200963
28,2.0,1,0.03536395074204346,0.03651095200472881,0.3762430405309163
29,2.0,1,0.0391515234210707,0.03636787766675562,0.31384058360147893
30,2.0,1,0.03737734313991804,0.0326723790624902,0.3192314629028698
31,2.0,1,0.037031172854527235,0.03240285988106882,0.32905960644081883
32,2.0,1,0.03825784332508455,0.036296166402619796,0.3688816396637975
33,2.0,1,0.037331304651065794,0.03270382702858141,0.3598330057797346
34,2.0,1,0.03434804506306053,0.04052972561762087,0.3820257379090364
35,2.0,1,0.034865479661154955,0.04014746094885373,0.3616795634594637
36,2.0,1,0.03457472841406542,0.03613118020524763,0.3678930786318409
37,2.0,1,0.040301149472997864,0.033209608317458554,0.376391803340963
38,2.0,1,0.03486825447739219,0.03570513218768323,0.3089659863669049
39,2.0,1,0.03550093217932888,0.03974368527375192,0.3555715259290141
40,2.0,1,0.04057773174983838,0.040245104698958346,0.3643078408415859
