rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR,ROADS_SURR
0,1.0,1,0.05149874367832171,0.027288352915131212,0.44791310666288975
1,1.0,1,0.04849732813794301,0.025159798593213305,0.4454027290529795
2,1.0,1,0.0595589639088539,0.02625105480078628,0.5048850319007553
3,1.0,1,0.05745717169630214,0.02414782795045975,0.43932123373155235
4,1.0,1,0.053122033743684814,0.02709660327431456,0.4713082790486485
5,1.0,1,0.04958886318485428,0.02760093403057282,0.45160033469120464
6,1.0,1,0.052189352884914324,0.024635239726692636,0.44604922073114056
7,1.0,1,0.05581234245519337,0.025013643791193935,0.4457541538909891
8,1.0,1,0.0489191467020347,0.027300407547232685,0.479040790228552
9,2.0,1,0.04172070445224181,0.031104101000517862,0.406198332831501
10,2.0,1,0.04624530492924688,0.02716528043103502,0.5035274402499941
11,2.0,1,0.04480485295303227,0.03153787168790724,0.47646327084487117
12,2.0,1,0.04847494909100669,0.030324689980960617,0.4808465742568245
13,2.0,1,0.04141134973908963,0.031475974582643826,0.48658819229195865
14,2.0,1,0.04819382953520426,0.027377876342309922,0.39067286073046564
15,2.0,1,0.043167435904537615,0.02960256119465665,0.425165107035836
16,2.0,1,0.04516494912759993,0.02863814197840577,0.5069101021606192
17,2.0,1,0.0466970216397222,0.0341911549089812,0.4700048505196189
18,3.0,1,0.04835283521561419,0.025143332971565378,0.4276294547145167
19,3.0,1,0.047495749971610685,0.029610591945973447,0.4253268428441885
20,3.0,1,0.047647656128730086,0.027597715773051715,0.46255754879741523
21,3.0,1,0.04931240661459338,0.02642613360458698,0.42178148518630054
22,3.0,1,0.0531607512420918,0.02942973770902617,0.43759853346142774
23,3.0,1,0.052610382445895235,0.02531248647546926,0.44236782993159235
24,3.0,1,0.04767184723282642,0.029859554922678205,0.424171409925348
25,3.0,1,0.05213838554855515,0.029290751642723805,0.44869728091972483
26,3.0,1,0.05197948679870802,0.024157191154003083,0.45064113961347135
27,3.0,1,0.05312068085938719,0.02409636542138652,0.407963931707916
28,4.0,1,0.06151646474181525,0.026103669781926072,0.5145696910000702
29,4.0,1,0.05239297344099778,0.026405829965238024,0.48599254479435505
30,4.0,1,0.05883054049292649,0.02436380773277059,0.4945382876549977
31,4.0,1,0.06204645195352459,0.02780264441295444,0.4335528628795109
32,4.0,1,0.06103358685086937,0.023016799627333183,0.4499861015838833
33,4.0,1,0.05147479770691891,0.02840468830657696,0.5147655936677428
34,4.0,1,0.06240654230875896,0.023033442978221637,0.5192607031622771
35,4.0,1,0.05608141211549916,0.024166367914060526,0.4484777192860538
36,4.0,1,0.05136555017857371,0.026848166814929304,0.4110569723489276
37,4.0,1,0.055391497539901316,0.028674092805368756,0.5249269486435977
38,5.0,1,0.062021970871586195,0.027589810077579033,0.485467980923293
39,5.0,1,0.06805655312530735,0.026991449825151892,0.5516170525922753
40,5.0,1,0.06524925234347319,0.03095385848378344,0.5069734270341828
41,5.0,1,0.06089857703146124,0.029303768707524585,0.4890945418283797
42,5.0,1,0.06079458530739513,0.03233448947613283,0.46700847409126844
43,5.0,1,0.06753997837739852,0.027127510002450495,0.45917808473700716
44,5.0,1,0.06156558828438189,0.02795601890043287,0.507556413983872
45,5.0,1,0.06583414494840907,0.031696094429447284,0.5086377595223246
46,5.0,1,0.06778487603134652,0.03222499091412879,0.5338815191672298
47,5.0,1,0.06557992418142886,0.03273286866514268,0.4411020802310413
48,6.0,1,0.20659723101259703,0.4246890196474437,0.616438893219439
49,6.0,0,0.20275457446416023,0.37498110120905165,0.4970866057455079
50,7.0,1,0.16207335445614748,0.4245842670269087,0.5112647493483862
51,7.0,1,0.14996771436653625,0.4351876322790649,0.5167689677685939
52,7.0,0,0.16524196394105528,0.37935609926410285,0.48473571577336105
53,7.0,0,0.1603247928918238,0.4180690308318127,0.5339733558142982
54,7.0,0,0.14482849088950758,0.4111683071284625,0.5208420986796911
55,7.0,0,0.1425725267843642,0.3929340284708186,0.515948579815931
56,8.0,1,0.12538280172119412,0.43732089510904704,0.5102507758019206
