rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
0,1.0,1,0.05663641650828336,0.02634033868271736,0.31444371914145697
1,1.0,1,0.04751315985409749,0.02509327028370248,0.33113946785550824
2,1.0,1,0.053453835962137965,0.022180217169075596,0.3352185792487369
3,1.0,1,0.05382291781475294,0.02305951817679596,0.31638533515627987
4,1.0,1,0.056145389399135014,0.025442856866880727,0.3668974612925782
5,1.0,1,0.04809130622687432,0.02634268714792465,0.31559945839501086
6,1.0,1,0.048939907650773676,0.022250251666995735,0.35236448487954497
7,1.0,1,0.057629739108842566,0.022224201165658087,0.32881189649194953
8,1.0,1,0.05704783015635163,0.025411239609355728,0.3246766636974756
9,1.0,1,0.05204336464705762,0.026180379466662882,0.3389503929294191
10,2.0,1,0.04248829301252305,0.03640815588103833,0.33964393627304834
11,2.0,1,0.041001076813943896,0.03346727503248193,0.3820391774018458
12,2.0,1,0.04082286447715238,0.03281864511329677,0.3440895788778309
13,2.0,1,0.04807992144310649,0.037193976084233256,0.348551758304906
14,2.0,1,0.04221546029811741,0.03484188740665668,0.37042852524786973
15,2.0,1,0.04549756951901056,0.035590369233363096,0.3200939913018315
16,2.0,1,0.04319186265639291,0.03459907765836966,0.37686230985471
17,2.0,1,0.044086677072064005,0.03981709062261106,0.3758101632548833
18,2.0,1,0.048338567249693654,0.035211508078076534,0.31129569631477017
19,2.0,1,0.047279100993092606,0.03502017542940888,0.3214462239053062
20,3.0,1,0.046582172039320725,0.033001917436137874,0.33013966771031766
21,3.0,1,0.046326125073553805,0.03256299312220475,0.3484268443714288
22,3.0,1,0.0483256600932317,0.02970831017438154,0.36669279126223925
23,3.0,1,0.04712992559133091,0.027722487888339066,0.3512352934194281
24,3.0,1,0.050466011543074084,0.030929516740061436,0.3309175621601707
25,3.0,1,0.04861191340361163,0.03312868409297617,0.38141269445799725
26,3.0,1,0.052955776228306085,0.03279185315618404,0.32790437104531056
27,3.0,1,0.04805882707163626,0.03217707464454494,0.32660900032826884
28,3.0,1,0.048083647278676846,0.02918105021381506,0.3168870515683363
29,3.0,1,0.05367539408951123,0.03225545018265145,0.31556625272467187
30,4.0,1,0.06163151575047317,0.022857637392060634,0.3752471228523416
31,4.0,1,0.05303036596561602,0.021115225342404585,0.3346677876051748
32,4.0,1,0.05195117786569964,0.02053613323104799,0.3552167893223593
33,4.0,1,0.05893276688123963,0.020253932282879996,0.35419638221293415
34,4.0,1,0.05186774480963714,0.021277502207823613,0.34305754720041237
35,4.0,1,0.057601490929854324,0.023091225288501112,0.35843138993430074
36,4.0,1,0.05115183619428787,0.025089587151972594,0.3173587696613101
37,4.0,1,0.05619627926307006,0.02373195137476318,0.3209392008654946
38,4.0,1,0.05374690231063227,0.025630578625332683,0.33171174763456274
39,4.0,1,0.057754237159811955,0.02088608047915559,0.35124760179001296
40,4.0,1,0.05399348389479246,0.024115641820087755,0.37678363387327235
41,5.0,1,0.062245700154482074,0.021365789820437898,0.3097434926788882
42,5.0,1,0.06965982531840764,0.017736938105537465,0.3152608892482723
43,5.0,1,0.0691111166196421,0.017865438050809177,0.360100785540418
44,5.0,1,0.06472647553605056,0.02055542579163408,0.3211669575380171
45,5.0,1,0.06657376147763287,0.021946112107782235,0.3619790278582015
46,5.0,1,0.0682390112408081,0.021184808518893317,0.32768934636159863
47,5.0,1,0.061146566797183104,0.020647558502621607,0.3186562293558911
48,5.0,1,0.06414853621422066,0.017781778428071427,0.31314101450910076
49,5.0,1,0.07167459125795668,0.017535367965374696,0.371572224214099
50,5.0,1,0.06411444520204086,0.021313671858014575,0.38251049148625726
51,5.0,1,0.06404133801748321,0.017269282945553858,0.3291743772000562
52,5.0,1,0.06628023809549512,0.021181158784370133,0.3748417451370718
53,6.0,1,0.18848964085215475,0.34591826646101026,0.3793950428661282
54,6.0,1,0.1990946702515351,0.3347702571202184,0.4451723788005059
55,6.0,1,0.1869189189465124,0.35883959983493374,0.39750059231808993
56,6.0,1,0.19409664006357846,0.3286673044081683,0.3976087928345065
57,7.0,1,0.16074561554415223,0.31801414075376405,0.3499357475336826
58,7.0,1,0.155298362749727,0.3046058929675519,0.38537831651792365
59,7.0,0,0.1582321588701861,0.33370438486229015,0.3737211131689166
60,8.0,1,0.1202224663537455,0.3726480437896668,0.36855937617463425
61,9.0,1,0.050138883628884995,0.052718439631107325,0.3038905072253698
62,9.0,1,0.042228789959342414,0.05366968819947653,0.2904252670382498
63,9.0,1,0.0424698954593981,0.0515935693773632,0.2895859547466053
64,9.0,1,0.042987924674067875,0.0445007821209906,0.2919328277546169
