fid,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR
1,0.07824431295118686,0.0475346319131609,0.05192045920280854
2,0.06172441014587789,0.06765290688281062,0.04365262965875783
3,0.07003063369738388,0.05075856503057799,0.04851918588986298
4,0.08053141135315806,0.043408109958096616,0.054884832510149535
5,0.08590091042841211,0.050154728962913966,0.06377115950202226
6,0.29256385074726843,0.3174396303473046,0.1777370895955722
7,0.26967733362655605,0.29154537613367937,0.14421504097716367
8,0.2582864159040865,0.26712168929648045,0.12058089943619421
9,0.06251686632292482,0.19121867702392686,0.045583546245427514
10,0.06310757895727909,0.12233701819666283,0.04221854105125447
11,0.06755545873715897,0.05913568827146674,0.04701521509362877
12,0.07754427407975394,0.04253201061794389,0.054251421666374186
13,0.0870530068358188,0.03904406351785083,0.06137440580369238
14,0.09286199875184913,0.0497748694377925,0.0789512696013797
15,0.349809730400285,0.4012649692047587,0.26350366920742085
16,0.3118845976260245,0.3619576203418553,0.19167622822036665
17,0.28348609255465285,0.3348988135873669,0.14644204743604938
18,0.25918634764953213,0.3124537142559072,0.1165028201946371
19,0.23718794957831169,0.30724623056366807,0.09163395280475718
20,0.0699456180789299,0.2505947781867849,0.05756100613787764
21,0.06808614640016268,0.19786206708554455,0.04990463843916035
22,0.07041432126383022,0.11754364202536838,0.05231795123041818
23,0.08079677129342373,0.04985344400838486,0.0589103850810559
24,0.09764837777817373,0.03791632176120059,0.07098587783300986
25,0.11155557207824615,0.035702365773101284,0.08357388657101425
26,0.4782257946780839,0.40797031076365703,0.4513871474062646
27,0.4659179835797438,0.44768188262919817,0.4026092373443809
28,0.4116781202567621,0.4370097651546277,0.3164117380614132
29,0.35530000322189825,0.4373951136942915,0.22544626009201282
30,0.3043292305578483,0.4522015010698204,0.15128303241335697
31,0.26399873166238097,0.4443136772919888,0.11412924013478158
32,0.22331846859439589,0.4252225517254974,0.0824612823062514
33,0.17244796395577316,0.43693591390685016,0.055750617027339126
34,0.1441820833039829,0.4824193021353501,0.04519256363367132
35,0.07844486333393265,0.2143242640516082,0.07489841152634384
36,0.0821834673440863,0.18112508591594173,0.07048783472252844
37,0.08537023170265684,0.09054029726324032,0.07150133149495193
38,0.09957970915660865,0.0488212509087771,0.07787083923955586
39,0.12553492559504356,0.04626875810113016,0.09512142105386501
40,0.15238979935232153,0.06358140621088788,0.11507101793457841
41,0.18781313501113966,0.11017117652530266,0.1578525911225222
42,0.4385901153075606,0.29282857642116833,0.39997288133385467
43,0.5119509390455972,0.3505089981483166,0.4589665735133384
44,0.540308988329879,0.3901526932070556,0.44214050602986266
45,0.5030567296369849,0.41938770939211495,0.3596508760856829
46,0.42045217077597963,0.45850812495198384,0.2589174063037102
47,0.3366945270471579,0.5324434491559102,0.16482242616981818
