fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
682,0.8148148148148148,4.0,1.3209707314856325,3.0,1.076346521951256,3.0,31.0,0.0,16.0,0.0,15.0,0.0
683,0.7777777777777778,4.0,1.119197360502136,3.0,0.8704868359461058,3.0,29.0,0.0,13.0,0.0,12.0,0.0
684,0.7037037037037037,4.0,0.9379746588566156,3.0,0.6600562414176184,3.0,26.0,0.0,9.0,0.0,9.0,0.0
685,0.5185185185185185,3.0,0.7322555855212023,2.0,0.3796880813813641,3.0,18.0,0.0,6.0,0.0,5.0,0.0
686,0.4444444444444444,3.0,0.5394490666675321,2.0,0.23975514074112536,2.0,14.0,0.0,1.0,1.0,3.0,0.0
687,0.2962962962962963,2.0,0.38335033316197364,2.0,0.11358528389984404,2.0,8.0,0.0,1.0,4.0,4.0,6.0
688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,22.0,0.0,98.0
689,0.8888888888888888,4.0,1.2342619151815488,3.0,1.0971217023835989,3.0,34.0,0.0,15.0,0.0,15.0,0.0
690,0.8888888888888888,4.0,1.2781569019148855,3.0,1.136139468368787,3.0,34.0,0.0,15.0,0.0,16.0,0.0
691,0.8888888888888888,4.0,1.372486258950874,3.0,1.2199877857341102,4.0,34.0,0.0,17.0,0.0,17.0,0.0
692,0.9259259259259259,4.0,1.45788113880506,3.0,1.3498899433380187,4.0,36.0,0.0,19.0,0.0,19.0,0.0
693,0.9259259259259259,4.0,1.4742217227409904,3.0,1.3650201136490652,4.0,36.0,0.0,19.0,0.0,19.0,0.0
694,0.9259259259259259,4.0,1.5345820326167776,3.0,1.4209092894599793,4.0,36.0,0.0,20.0,0.0,20.0,0.0
695,0.9259259259259259,4.0,1.5500973297420495,3.0,1.4352753053167124,4.0,36.0,0.0,20.0,0.0,20.0,0.0
696,0.8518518518518519,4.0,1.5081827614394718,3.0,1.2847482782632538,4.0,33.0,0.0,20.0,0.0,18.0,0.0
697,0.7037037037037037,4.0,0.9725303035920279,3.0,0.6843731766017974,3.0,26.0,0.0,10.0,0.0,9.0,0.0
698,0.5555555555555556,3.0,0.8022473608666101,3.0,0.4456929782592278,3.0,19.0,0.0,7.0,0.0,6.0,0.0
699,0.48148148148148145,3.0,0.6399229604491049,2.0,0.3081110550310505,3.0,16.0,0.0,3.0,1.0,4.0,0.0
700,0.4074074074074074,3.0,0.4678486434809578,2.0,0.19060500289964946,2.0,13.0,0.0,1.0,1.0,2.0,0.0
701,0.8148148148148148,4.0,1.1998932902730095,3.0,0.977690829111341,3.0,31.0,0.0,14.0,0.0,13.0,0.0
702,0.8518518518518519,4.0,1.2541997369864564,3.0,1.0683923685440184,3.0,33.0,0.0,15.0,0.0,15.0,0.0
703,0.8888888888888888,4.0,1.2872925991126274,3.0,1.1442600881001133,3.0,34.0,0.0,16.0,0.0,16.0,0.0
704,0.8888888888888888,4.0,1.3840627573148414,3.0,1.230278006502081,4.0,34.0,0.0,17.0,0.0,17.0,0.0
705,0.9259259259259259,4.0,1.4696475266946825,3.0,1.360784746939521,4.0,36.0,0.0,19.0,0.0,19.0,0.0
706,0.9259259259259259,4.0,1.4695088320020924,3.0,1.3606563259278632,4.0,36.0,0.0,19.0,0.0,19.0,0.0
707,0.9259259259259259,4.0,1.541271411707998,3.0,1.427103158988887,4.0,36.0,0.0,20.0,0.0,20.0,0.0
708,0.5555555555555556,3.0,0.7840230680904237,3.0,0.4355683711613465,3.0,19.0,0.0,6.0,0.0,5.0,0.0
709,0.48148148148148145,3.0,0.6989848317314702,2.0,0.3365482523151523,3.0,16.0,0.0,4.0,1.0,4.0,0.0
710,0.48148148148148145,3.0,0.5382876320914491,2.0,0.25917552656254955,3.0,16.0,0.0,1.0,1.0,3.0,0.0
711,0.8148148148148148,4.0,1.2024631166558237,3.0,0.97978476171956,3.0,31.0,0.0,14.0,0.0,13.0,0.0
712,0.8148148148148148,4.0,1.2664742840178953,3.0,1.0319420091997664,3.0,31.0,0.0,15.0,0.0,14.0,0.0
713,0.8518518518518519,4.0,1.2988527839434627,3.0,1.106430149285172,3.0,33.0,0.0,16.0,0.0,15.0,0.0
714,0.8888888888888888,4.0,1.3852611049672565,3.0,1.231343204415339,4.0,34.0,0.0,17.0,0.0,17.0,0.0
715,0.9259259259259259,4.0,1.4663478031785777,3.0,1.357729447387572,4.0,36.0,0.0,19.0,0.0,19.0,0.0
716,0.9259259259259259,4.0,1.4674556403830805,3.0,1.3587552225769264,4.0,36.0,0.0,19.0,0.0,19.0,0.0
717,0.9259259259259259,4.0,1.5361767842938137,3.0,1.4223859113831607,4.0,36.0,0.0,20.0,0.0,20.0,0.0
718,0.5555555555555556,3.0,0.5925078840280209,2.0,0.32917104668223385,3.0,19.0,0.0,2.0,1.0,4.0,0.0
719,0.8148148148148148,4.0,1.1780936049317585,3.0,0.9599281225369883,3.0,31.0,0.0,14.0,0.0,13.0,0.0
720,0.8148148148148148,4.0,1.2316307795751285,3.0,1.0035510055797343,3.0,31.0,0.0,15.0,0.0,14.0,0.0
721,0.8518518518518519,4.0,1.2679981385629886,3.0,1.080146562479583,3.0,33.0,0.0,15.0,0.0,15.0,0.0
722,0.8888888888888888,4.0,1.3582975783398878,3.0,1.2073756251910113,4.0,34.0,0.0,17.0,0.0,17.0,0.0
723,0.8888888888888888,4.0,1.4164762645994615,3.0,1.259090012977299,4.0,34.0,0.0,18.0,0.0,17.0,0.0
724,0.9259259259259259,4.0,1.4529562314573856,3.0,1.3453298439420238,4.0,36.0,0.0,19.0,0.0,19.0,0.0
725,0.8148148148148148,4.0,1.1731326298453781,3.0,0.9558858465406784,3.0,31.0,0.0,14.0,0.0,13.0,0.0
726,0.8148148148148148,4.0,1.2028605588143706,3.0,0.980108603478376,3.0,31.0,0.0,14.0,0.0,13.0,0.0
727,0.8518518518518519,4.0,1.248077356984962,3.0,1.0631770078020046,3.0,33.0,0.0,15.0,0.0,15.0,0.0
728,0.8888888888888888,4.0,1.3374277050652168,3.0,1.1888246267246372,4.0,34.0,0.0,17.0,0.0,16.0,0.0
729,0.8888888888888888,4.0,1.3801654245886612,3.0,1.2268137107454766,4.0,34.0,0.0,17.0,0.0,17.0,0.0
730,0.8148148148148148,4.0,1.184195014627936,3.0,0.9648996415486886,3.0,31.0,0.0,14.0,0.0,13.0,0.0
731,0.8518518518518519,4.0,1.2330127879496395,3.0,1.0503442267719152,3.0,33.0,0.0,15.0,0.0,14.0,0.0
732,0.8888888888888888,4.0,1.3058884251906502,3.0,1.1607897112805778,4.0,34.0,0.0,16.0,0.0,16.0,0.0
733,0.8888888888888888,4.0,1.3563055476396364,3.0,1.2056049312352324,4.0,34.0,0.0,17.0,0.0,17.0,0.0
734,0.8148148148148148,4.0,1.1079428467907384,3.0,0.9027682455331942,3.0,31.0,0.0,12.0,0.0,12.0,0.0
735,0.8148148148148148,4.0,1.1517397558213616,3.0,0.9384546158544427,3.0,31.0,0.0,13.0,0.0,13.0,0.0
736,0.8518518518518519,4.0,1.2008167548921522,3.0,1.0229179763896112,3.0,33.0,0.0,14.0,0.0,14.0,0.0
737,0.8888888888888888,4.0,1.254932689199588,3.0,1.115495723732967,3.0,34.0,0.0,15.0,0.0,15.0,0.0
738,0.7777777777777778,4.0,1.0785064258283281,3.0,0.8388383311998108,3.0,29.0,0.0,12.0,0.0,11.0,0.0
739,0.8148148148148148,4.0,1.1092828848936467,3.0,0.9038601284318603,3.0,31.0,0.0,12.0,0.0,12.0,0.0
740,0.8518518518518519,4.0,1.1642630508644718,3.0,0.9917796359215871,3.0,33.0,0.0,13.0,0.0,14.0,0.0
741,0.8518518518518519,4.0,1.239945742921004,3.0,1.0562500773030774,3.0,33.0,0.0,15.0,0.0,14.0,0.0
742,0.7777777777777778,4.0,1.0521565698259274,3.0,0.8183439987534992,3.0,29.0,0.0,11.0,0.0,11.0,0.0
743,0.7777777777777778,4.0,1.0932923003958188,3.0,0.8503384558634146,3.0,29.0,0.0,12.0,0.0,11.0,0.0
744,0.8518518518518519,4.0,1.133786404877148,3.0,0.965818048599052,3.0,33.0,0.0,13.0,0.0,13.0,0.0
745,0.7777777777777778,4.0,1.0728302802799299,3.0,0.8344235513288344,3.0,29.0,0.0,12.0,0.0,11.0,0.0
746,0.8148148148148148,4.0,1.1161207319668522,3.0,0.9094317075285462,3.0,31.0,0.0,13.0,0.0,12.0,0.0
747,0.7777777777777778,4.0,1.05360610139712,3.0,0.8194714121977601,3.0,29.0,0.0,11.0,0.0,11.0,0.0
748,0.7777777777777778,4.0,1.039463158000842,3.0,0.808471345111766,3.0,29.0,0.0,11.0,0.0,11.0,0.0
