Features,Final Score
aod_047,6
dsf2,6
press,6
soil_moist,6
temp_2m,6
ndvi,6
farms,5
pm10_int,5
o3_s5p,5
farm_pigs,5
soil_text4,5
no2_int,5
clim_zone,5
nh3_cams,5
siarl9,5
nh3_int,5
nox_int,5
temp_int,5
pm10_cams,5
soil7,4
no2_cams,4
area,4
pm25_cams,4
farm_poultry,4
co_cams,4
n_wind,3
prec,3
nmvocs_cams,3
co_int,3
int_sec,3
co_s5p,3
int_prim,3
dsf3,2
so2_int,2
dsf12,2
uvai,2
o3_int,2
dust_cams,2
no_cams,2
prec_int,2
e_wind,2
sec_road,1
soil_text9,1
soil_text7,1
wind_speed_int,1
soil_text10,1
aq_zone,1
int_prim_sec,1
prim_road,1
rad_glob_int,1
highway,1
air_hum_int,1
farm_sheep,1
pop,1
soil_text3,1
soil_text5,1
dsf4,1
dsf13,0
soil_text,0
siarl12,0
soil2,0
soil9,0
soil_text1,0
soil8,0
soil5,0
soil_text2,0
dsf14,0
so2_cams,0
soil_text6,0
dsf11,0
soil,0
siarl2,0
dsf5,0
soil1,0
soil4,0
o3_cams,0
