Features,Final Score
press,6
aod_055,6
nh3_cams,5
no_cams,5
soil_moist,5
soil_text4,5
siarl9,5
no2_int,5
co_s5p,5
dsf2,5
aod_047,5
temp_2m,5
o3_s5p,5
pm10_int,5
soil_text7,4
pm10_cams,4
nox_int,4
temp_int,4
co_int,4
area,4
no2_cams,4
siarl12,4
so2_cams,4
dust_cams,4
pm25_cams,4
co_cams,4
nmvocs_cams,4
farms,3
nh3_int,3
e_wind,3
clim_zone,3
ndvi,2
o3_int,2
sec_road,2
o3_cams,2
dsf3,2
soil_text9,2
rad_glob_int,2
prec,2
highway,2
int_prim,2
siarl2,2
farm_sheep,2
dsf11,1
uvai,1
wind_speed_int,1
so2_s5p,1
aq_zone,1
soil_text6,1
no2_s5p,1
air_hum_int,1
soil_text10,1
int_sec,1
dsf4,1
farm_poultry,1
ch2o_s5p,1
dsf12,1
prim_road,1
so2_int,1
pop,1
n_wind,1
int_prim_sec,1
dsf13,1
soil1,0
soil_text2,0
prec_int,0
dsf5,0
soil2,0
soil,0
soil9,0
soil5,0
soil8,0
soil_text3,0
soil4,0
soil_text,0
dsf14,0
farm_pigs,0
soil7,0
soil_text5,0
soil_text1,0
