Features,Final Score
temp_int,6
n_wind,6
soil7,6
siarl9,6
nh3_cams,5
co_s5p,5
pm10_int,5
soil_text4,5
no2_int,5
pm25_cams,5
dsf12,5
temp_2m,5
farms,5
aod_047,5
co_int,5
soil_moist,5
pm10_cams,5
so2_cams,4
nox_int,4
no2_cams,4
co_cams,4
no_cams,4
nmvocs_cams,4
soil,4
press,4
so2_int,4
area,3
dsf2,3
dsf14,3
dust_cams,3
int_prim_sec,3
soil_text7,2
prim_road,2
clim_zone,2
soil4,2
rad_glob_int,2
prec,2
e_wind,2
soil8,2
dsf3,2
wind_speed_int,2
pop,1
dsf4,1
prec_int,1
siarl12,1
dsf13,1
nh3_int,1
air_hum_int,1
o3_cams,1
highway,1
soil2,1
soil1,1
soil5,1
aq_zone,1
dsf11,1
o3_int,1
siarl2,1
soil_text3,1
o3_s5p,1
soil_text9,1
dsf5,1
farm_pigs,0
farm_poultry,0
sec_road,0
int_prim,0
soil_text10,0
farm_sheep,0
soil_text,0
soil_text1,0
int_sec,0
ndvi,0
soil9,0
uvai,0
soil_text2,0
soil_text5,0
soil_text6,0
