Features,Final Score
int_prim_sec,6
clim_zone,6
temp_2m,6
dsf2,6
soil_text4,6
temp_int,5
so2_cams,5
nh3_cams,5
no_cams,5
prim_road,5
int_prim,5
pop,5
co_cams,5
pm10_cams,5
no2_cams,5
aod_047,5
nmvocs_cams,5
press,5
no2_int,5
nox_int,5
air_hum_int,5
pm10_int,5
sec_road,4
soil_text5,4
soil8,4
farm_poultry,4
int_sec,4
farm_pigs,4
soil_text7,3
nh3_int,3
highway,3
dsf3,2
o3_cams,2
soil4,2
o3_int,2
soil7,2
soil_text9,2
aq_zone,2
rad_glob_int,1
dusafSum,1
ndvi,1
soil_text,1
soil,1
soilSum,1
soil1,1
soil2,1
soil5,1
soil9,1
soilTextSum,1
soil_text1,1
soil_text2,1
soil_text3,1
soil_text6,1
soil_text8,1
soil_text10,1
wind_dir_int,1
farm_sheep,0
