Features,Final Score
dsf2,6
farms,6
temp_2m,6
no2_int,6
siarl12,5
siarl9,5
soil_text4,5
rad_glob_int,5
so2_cams,5
nox_int,5
temp_int,5
nh3_cams,5
pm25_cams,5
dust_cams,5
pm10_int,5
co_s5p,5
pm10_cams,5
press,4
co_int,4
area,4
ch2o_s5p,4
soil_text7,4
so2_int,4
uvai,4
no2_cams,4
dsf4,3
farm_sheep,3
soil_text5,3
siarl2,3
dsf3,3
ndvi,2
o3_int,2
o3_s5p,2
e_wind,2
dsf5,2
prec,2
no_cams,2
clim_zone,2
aod_047,2
prec_int,2
co_cams,2
nh3_int,1
soil2,1
air_hum_int,1
soil_text10,1
aq_zone,1
soil_text9,1
soil1,1
soil_text3,1
pop,1
soil8,1
soil,1
farm_poultry,1
o3_cams,1
dsf11,1
farm_pigs,1
dsf13,1
int_prim_sec,1
dsf14,1
n_wind,1
dsf12,1
nmvocs_cams,1
sec_road,1
soil_text6,0
soil_text,0
soil_text1,0
wind_speed_int,0
soil9,0
soil5,0
highway,0
soil_text2,0
soil4,0
soil7,0
prim_road,0
int_sec,0
int_prim,0
soil_moist,0
