Features,Average Scores
pm10_int,0.593
soil_text4,0.502
pm25_cams,0.414
co_cams,0.403
nmvocs_cams,0.398
pm10_cams,0.392
temp_2m,0.371
no2_cams,0.37
temp_int,0.361
no2_int,0.361
aod_047,0.355
nh3_cams,0.349
press,0.333
nox_int,0.313
soil7,0.312
dsf2,0.294
int_prim_sec,0.222
prim_road,0.218
sec_road,0.187
soil,0.183
int_sec,0.173
soilTextSum,0.158
pop,0.158
nh3_int,0.148
highway,0.143
soil_text7,0.138
farm_pigs,0.13
ndvi,0.115
farm_poultry,0.114
int_prim,0.096
rad_glob_int,0.076
soilSum,0.059
clim_zone,0.042
soil_text5,0.02
o3_int,0.018
farm_sheep,-0.003
aq_zone,-0.011
soil_text6,-0.014
soil_text10,-0.031
soil_text3,-0.052
soil_text,-0.076
air_hum_int,-0.094
soil1,-0.109
soil2,-0.132
soil_text2,-0.16
soil5,-0.186
o3_cams,-0.189
soil9,-0.201
soil_text1,-0.21
dsf3,-0.256
soil4,-0.275
soil8,-0.293
soil_text9,-0.343
wind_dir_int,-0.378
