Features,Average Scores
rad_glob_int,0.268
soil_text4,0.244
nox_int,0.221
soil_text7,0.162
no2_int,0.152
air_hum_int,0.144
soil9,0.131
soilTextSum,0.13
soil_text,0.11
soilSum,0.106
dsf2,0.098
soil7,0.096
nmvocs_cams,0.09
ndvi,0.083
pm10_int,0.06
no2_cams,0.059
dsf3,0.055
soil5,0.039
nh3_cams,0.033
pop,0.033
soil_text5,0.031
prim_road,0.013
highway,0.003
pm25_cams,0.001
soil_text9,-0.006
co_cams,-0.011
aq_zone,-0.011
soil_text1,-0.022
int_prim_sec,-0.025
aod_055,-0.027
soil4,-0.029
temp_2m,-0.038
wind_dir_int,-0.046
soil,-0.048
soil_text6,-0.049
soil_text2,-0.056
pm10_cams,-0.078
temp_int,-0.085
aod_047,-0.085
press,-0.085
sec_road,-0.088
soil_text10,-0.097
farm_sheep,-0.107
soil1,-0.127
soil2,-0.133
int_sec,-0.146
clim_zone,-0.175
farm_pigs,-0.176
farm_poultry,-0.177
nh3_int,-0.195
soil_text3,-0.197
int_prim,-0.243
o3_cams,-0.279
soil8,-0.281
o3_int,-0.363
