Features,Average Scores
pm10_int,0.834
dsf2,0.696
pm25_cams,0.68
aod_047,0.663
press,0.647
pm10_cams,0.641
aod_055,0.635
temp_2m,0.609
co_cams,0.586
temp_int,0.55
no2_cams,0.534
nmvocs_cams,0.51
no2_int,0.475
nox_int,0.432
soil_text7,0.42
no_cams,0.41
clim_zone,0.374
nh3_cams,0.361
soil_text4,0.334
int_prim_sec,0.322
rad_glob_int,0.302
soil_text5,0.284
sec_road,0.282
air_hum_int,0.254
highway,0.254
prim_road,0.228
nh3_int,0.218
int_sec,0.192
farm_poultry,0.175
soilSum,0.172
soilTextSum,0.12
soil_text1,0.098
pop,0.097
soil5,0.095
soil4,0.088
int_prim,0.082
soil7,0.034
soil_text10,0.02
farm_pigs,-0.016
soil_text6,-0.038
soil,-0.083
soil_text2,-0.105
soil1,-0.116
soil8,-0.123
soil2,-0.127
soil_text3,-0.133
soil9,-0.148
soil_text,-0.2
aq_zone,-0.218
farm_sheep,-0.362
o3_cams,-0.365
o3_int,-0.367
wind_dir_int,-0.398
ndvi,-0.457
soil_text9,-0.534
dsf3,-0.639
