Features,Average Scores
pm10_int,0.829
nh3_int,0.799
nh3_cams,0.705
pm10_cams,0.656
pm25_cams,0.621
co_cams,0.527
aod_047,0.46
nox_int,0.45
clim_zone,0.416
temp_int,0.383
dsf2,0.376
no2_int,0.376
farm_poultry,0.375
press,0.374
ndvi,0.362
temp_2m,0.32
no2_cams,0.315
soil_text4,0.293
farm_pigs,0.268
nmvocs_cams,0.256
soilTextSum,0.166
int_sec,0.163
soil_text5,0.159
soil7,0.159
soil,0.132
air_hum_int,0.128
rad_glob_int,0.124
int_prim,0.117
sec_road,0.109
no_cams,0.085
soil_text3,0.082
int_prim_sec,0.066
soil_text10,0.063
farm_sheep,0.025
highway,0.022
prim_road,0.014
soilSum,0.005
wind_dir_int,-0.022
pop,-0.029
soil_text7,-0.061
soil8,-0.065
soil1,-0.078
soil_text2,-0.083
soil_text6,-0.092
soil2,-0.093
aq_zone,-0.094
soil4,-0.114
soil_text1,-0.117
soil5,-0.159
soil_text,-0.222
soil9,-0.241
o3_cams,-0.266
soil_text9,-0.325
dsf3,-0.331
o3_int,-0.499
