Features,Average Scores
dsf2,0.506
pm10_int,0.506
temp_2m,0.456
pm25_cams,0.438
press,0.426
pm10_cams,0.394
soil_text7,0.384
nh3_cams,0.383
temp_int,0.353
rad_glob_int,0.32
no2_int,0.319
soil_text5,0.312
nox_int,0.282
soil_text4,0.216
co_cams,0.209
no2_cams,0.208
aod_047,0.207
clim_zone,0.18
nh3_int,0.165
soilSum,0.145
soil4,0.138
nmvocs_cams,0.137
int_prim_sec,0.132
soil5,0.132
soilTextSum,0.101
prim_road,0.071
highway,0.033
soil_text1,0.031
sec_road,0.03
soil_text6,0.014
farm_poultry,0.01
soil9,-0.012
soil7,-0.024
soil_text10,-0.043
int_sec,-0.043
soil_text2,-0.051
pop,-0.061
soil8,-0.088
o3_cams,-0.138
soil_text,-0.139
soil1,-0.139
soil2,-0.144
farm_pigs,-0.151
soil,-0.153
int_prim,-0.181
aq_zone,-0.226
soil_text3,-0.284
air_hum_int,-0.289
farm_sheep,-0.366
ndvi,-0.377
soil_text9,-0.384
dsf3,-0.458
wind_dir_int,-0.464
o3_int,-0.552
