,Features,Final Borda Count
15,pm25_cams,56
24,pm10_int,56
22,nox_int,55
23,o3_int,53
21,no2_int,51
8,e_wind,47
14,pm10_cams,44
18,so2_cams,43
12,no_cams,42
10,aod_047,41
9,aod_055,40
19,o3_cams,33
17,nmvocs_cams,30
1,int_sec,29
7,n_wind,29
20,nh3_int,28
2,sec_road,27
25,so2_int,26
11,nh3_cams,24
13,co_cams,24
3,farm_sheep,22
26,air_hum_int,22
27,rad_glob_int,22
16,no2_cams,21
0,pop,13
5,temp_2m,12
28,temp_int,12
29,wind_speed_int,12
4,ndvi,9
6,press,7
