,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
51,o3_int,266,249,257,312,310,253
36,o3_s5p,201,154,330,243,319,231
26,n_wind,305,210,240,253,203,230
52,pm10_int,328,324,101,209,326,228
12,soil_text4,216,316,286,135,302,223
47,co_int,109,281,333,212,235,214
49,no2_int,258,227,270,177,221,213
57,temp_int,195,318,130,213,272,208
40,dust_cams,51,168,346,328,286,206
42,pm25_cams,307,213,209,184,185,205
32,aod_047,276,292,121,243,182,204
50,nox_int,287,208,287,146,182,201
34,co_s5p,202,195,303,138,271,199
21,farm_sheep,166,96,263,297,253,193
43,no2_cams,222,276,241,198,79,180
8,siarl2,191,283,156,123,234,179
56,rad_glob_int,168,125,319,113,329,178
23,temp_2m,104,240,268,235,134,176
44,nmvocs_cams,205,257,220,73,202,175
28,soil_moist,282,326,141,63,163,169
31,aod_055,280,0,145,221,238,169
24,prec,128,102,171,231,303,167
48,nh3_int,326,141,323,82,123,167
19,farm_pigs,170,51,186,286,198,165
27,e_wind,141,137,277,274,105,161
58,wind_speed_int,170,262,280,33,152,159
33,uvai,233,123,292,124,128,156
39,co_cams,221,244,169,150,88,153
10,soil7,187,297,94,71,236,153
13,int_prim,101,68,188,255,218,149
9,siarl9,302,277,98,132,117,149
35,ch2o_s5p,132,143,134,153,248,148
29,no2_s5p,118,219,168,173,136,147
20,farm_poultry,183,84,232,177,180,147
30,so2_s5p,117,127,153,200,198,145
54,air_hum_int,161,204,207,170,105,140
45,so2_cams,224,106,196,141,131,140
53,so2_int,206,127,248,116,116,135
46,o3_cams,148,175,108,140,200,135
41,pm10_cams,322,169,165,107,35,132
18,farms,209,143,122,177,114,131
38,no_cams,104,222,79,207,162,130
37,nh3_cams,324,275,62,104,108,130
4,dsf11,72,80,107,242,189,112
15,int_sec,137,87,85,218,149,109
22,ndvi,158,186,166,102,73,106
1,dsf2,80,48,47,250,159,93
6,dsf13,60,91,129,233,114,93
16,prim_road,95,121,151,70,170,92
5,dsf12,103,138,70,182,120,91
2,dsf3,144,85,136,118,129,91
7,dsf14,74,119,126,196,102,87
3,dsf5,106,113,90,117,172,85
0,pop,111,110,92,167,110,79
25,press,68,117,38,149,134,72
11,soil_text3,131,122,145,0,0,68
17,sec_road,33,55,73,194,131,68
14,int_prim_sec,48,140,110,61,128,66
55,prec_int,0,200,137,0,59,65
