,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
2,slope_mean,167,154,215,192,219,179
34,nox_int,128,216,207,208,91,152
23,co_cams,192,149,157,154,157,152
0,h_mean,141,121,135,197,234,149
33,no2_int,145,90,180,216,151,139
31,no2_st,201,136,147,105,168,137
29,o3_cams,149,149,140,148,140,137
4,soil_text3,88,166,225,158,148,136
22,no_cams,149,146,137,165,136,136
18,e_wind,169,148,78,181,151,131
39,rad_glob_int,166,168,198,75,116,131
1,aspect_major,109,161,111,168,178,130
20,aod_047,201,54,120,162,208,128
19,aod_055,152,191,78,100,207,127
16,temp_2m,121,131,98,165,201,123
5,soil_text4,116,225,171,107,87,121
24,pm10_cams,186,103,145,58,178,113
10,prim_road,115,97,176,165,93,111
28,so2_cams,93,107,127,131,200,110
17,press,115,117,82,162,185,109
26,no2_cams,118,121,124,112,170,109
27,nmvocs_cams,130,89,167,109,108,100
36,pm10_int,67,126,126,80,223,98
9,highway,149,73,148,148,22,93
32,nh3_int,132,103,99,118,95,90
6,int_prim,81,134,94,133,112,87
35,o3_int,217,68,101,66,138,85
30,nox_st,136,63,138,65,139,80
25,pm25_cams,92,134,62,67,181,75
38,air_hum_int,96,169,93,67,38,68
21,nh3_cams,48,97,135,40,160,67
37,so2_int,125,91,117,67,68,67
11,sec_road,78,163,99,77,53,67
8,int_sec,60,175,71,96,61,65
13,farm_poultry,126,101,69,107,41,60
3,pop,98,84,114,93,61,57
12,farm_pigs,50,112,29,125,84,55
7,int_prim_sec,76,78,62,118,67,46
14,farm_sheep,56,45,87,122,81,46
15,ndvi,82,65,58,93,64,34
