,Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Borda Count Voting
0,h_mean,-0.23004330185050773,-0.5001443001443002,-0.34006734006734013,3.886623873201361,0.0018876485369349577,0,143
1,aspect_major,0.1316520396031173,0.10595201731543778,0.07639462788359207,1.4651341234861606,0.0018004889240603073,0,77
2,slope_mean,-0.1296345476890224,-0.25108225108225113,-0.14747474747474748,0.4112329362584547,0.0012506924703631235,0,70
3,pop,-0.2659702050088528,-0.3204184704184705,-0.2134680134680135,3.380961168010221,0.007165088469404217,0,117
4,soil7,0.2105107277034136,-0.05073980842854755,-0.029054219858831505,0.8591128126264759,0.002834237406784053,0,66
5,int_sec,-0.05083194602337421,-0.21291486291486297,-0.15151515151515152,0.9442179691481699,0.00042332336807643893,0,56
6,sec_road,-0.1761435820039461,-0.30367965367965377,-0.20134680134680139,1.7144122665094252,0.0003383811235902689,0,76
7,farm_sheep,0.3612968093845475,0.4193362193362194,0.29292929292929293,7.766289824676677,0.00033208772512645525,0,116
8,ndvi,0.16647880188610298,-0.02395382395382396,-0.04107744107744109,0.8404870266572184,0.0005224320289414784,0,44
9,temp_2m,0.0931069229329607,0.09285714285714287,0.05050505050505051,0.4125457581243875,0.0013050411453116488,0,58
10,press,0.18142722408155626,0.3842712842712844,0.25656565656565655,2.2953177031256065,0.001581896800520007,1,134
11,e_wind,0.1597518668525973,0.023448773448773455,-0.00202020202020202,1.536753555331348,0.00033890662697468526,1,64
12,aod_055,-0.3644857510474544,-0.476911976911977,-0.30101010101010106,10.734133482101619,0.0006036386128272626,1,153
13,aod_047,-0.3628519870700654,-0.47366522366522373,-0.30101010101010106,10.65214897390142,0.0013291174267444105,1,162
14,ch4_s5p,0.3131795902487394,0.5719336219336221,0.37508417508417513,6.894285967890718,0.0030348389000297146,1,174
15,nh3_cams,0.9061690425928876,0.7559884559884562,0.5865319865319866,192.82582018420536,0.8886695505674707,1,198
16,no_cams,-0.31372989346632174,-0.48961038961038966,-0.3292929292929293,5.149420887504316,0.001244148127269486,1,157
17,co_cams,-0.0456304623340572,-0.23239538239538243,-0.1447811447811448,0.32127397077564845,0.00078548176711383,0,64
18,pm10_cams,0.4942029469516984,0.24199134199134206,0.14343434343434344,9.92506467509453,0.0006060640383669882,0,117
19,pm25_cams,0.33497294883374557,0.0546897546897547,0.004713804713804714,3.458366522783248,0.000501389542899305,0,72
20,no2_cams,-0.2230595925919428,-0.353896103896104,-0.2484848484848485,3.0606988022767236,0.0007996075375525212,1,117
21,nmvocs_cams,-0.30029800267520346,-0.48946608946608955,-0.3306397306397307,5.498998517863812,0.0026237384774324695,1,160
22,so2_cams,-0.1968430115046541,-0.27655122655122666,-0.19191919191919193,2.1638837175566024,0.0012973903784312152,1,121
23,o3_cams,-0.07733376437176176,0.10274170274170277,0.09090909090909091,0.18316284058812174,0.0005557356838313935,1,68
24,no2_int,-0.2698806974792202,-0.4417748917748919,-0.30774410774410776,4.720504532535375,0.0008837905436786692,1,144
25,nox_int,-0.24592885679660204,-0.40786435786435793,-0.28484848484848485,3.8184058476151703,0.0005825039827902559,1,120
26,o3_int,-0.0817567183710812,0.07287157287157289,0.08552188552188554,0.4334240335256909,0.002173222659707909,1,79
27,pm10_int,0.3502381861638633,-0.004473304473304475,-0.03703703703703704,4.620887170512214,0.06242387024772129,1,109
28,pm25_int,0.21071987493381347,-0.11204906204906206,-0.06127946127946129,1.3890498364825652,0.006882263990043132,1,98
29,so2_int,-0.027096173978952517,-0.2187590187590188,-0.11111111111111113,0.2192528749393743,0.0017390813557103273,1,74
30,air_hum_int,0.48497442810752733,0.6292929292929295,0.43030303030303035,19.86996402041504,0.0011113045050261973,1,165
31,rad_glob_int,0.07466901813241938,-0.17554112554112555,-0.0787878787878788,0.08259962621145575,0.0009316546096739048,1,60
32,temp_int,-0.04117879953354482,0.09913419913419914,0.05050505050505051,0.7085970443988722,0.0009551594261833736,1,55
33,wind_speed_int,-0.3027639684056887,-0.14848484848484853,-0.14343434343434344,5.1523895408827824,0.00048622299340794615,0,82
