,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
26,nh3_cams,267,230,258,277,267,229
17,soil_moist,220,228,199,182,213,196
40,pm10_int,249,191,185,242,171,188
30,pm10_cams,245,247,73,264,174,177
33,nmvocs_cams,146,158,208,168,217,177
31,pm25_cams,234,248,103,252,153,176
34,so2_cams,191,159,180,245,169,171
43,air_hum_int,99,200,225,144,239,170
27,no_cams,110,129,209,261,221,168
45,temp_int,99,134,249,210,160,152
28,co_cams,230,179,193,131,142,152
41,pm25_int,235,173,86,224,150,150
4,dsf2,98,146,206,162,181,149
44,rad_glob_int,148,116,206,235,119,144
15,n_wind,201,237,59,180,132,141
37,no2_int,117,197,139,136,192,141
19,aod_055,173,181,99,72,234,136
18,no2_s5p,83,210,181,167,149,134
22,co_s5p,172,101,172,93,224,130
5,dsf11,105,129,206,161,139,128
32,no2_cams,122,55,184,191,150,125
39,o3_int,255,128,157,121,112,123
0,h_mean,127,131,140,125,176,123
24,o3_s5p,187,232,46,171,65,122
38,nox_int,143,136,89,102,197,121
10,sec_road,85,124,191,144,167,119
25,ch4_s5p,197,0,264,0,166,117
6,dsf12,111,101,181,147,157,117
11,ndvi,153,91,197,131,100,114
29,dust_cams,86,209,115,133,136,114
20,aod_047,132,158,82,72,187,111
46,wind_speed_int,144,133,112,140,92,110
16,e_wind,136,195,188,57,67,108
36,co_int,130,95,96,163,145,102
21,uvai,267,130,124,45,65,100
13,prec,135,95,63,60,236,92
3,pop,84,85,166,160,131,90
35,o3_cams,119,120,91,143,106,89
42,so2_int,84,136,106,102,88,78
23,ch2o_s5p,144,0,183,97,0,76
14,press,58,125,102,67,89,54
7,soil7,85,53,61,127,69,49
9,soil_text5,107,43,55,76,80,44
12,temp_2m,58,96,107,60,62,43
2,slope_mean,61,52,102,70,56,36
8,soil_text4,70,20,64,96,60,31
1,aspect_major,66,21,66,63,47,23
