,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
25,nh3_cams,242,225,262,253,272,226
39,pm10_int,246,207,218,236,236,212
29,pm10_cams,202,247,160,262,224,204
30,pm25_cams,237,244,158,247,166,193
17,soil_moist,220,194,221,136,218,185
38,o3_int,242,209,192,148,115,173
14,press,126,192,205,181,194,173
42,air_hum_int,149,206,221,99,249,172
40,pm25_int,218,152,124,237,197,171
0,h_mean,122,206,172,168,203,168
28,dust_cams,143,163,205,135,243,164
43,rad_glob_int,134,140,193,236,173,163
24,o3_s5p,206,87,146,237,219,163
21,uvai,184,121,190,160,168,159
12,temp_2m,133,172,166,156,194,155
4,dsf2,114,140,188,179,188,153
16,e_wind,75,90,240,169,173,142
32,nmvocs_cams,159,184,147,142,115,139
13,prec,185,169,125,171,93,137
15,n_wind,149,125,130,143,131,131
35,co_int,165,64,105,182,172,128
36,no2_int,134,120,112,113,157,114
27,co_cams,223,217,64,88,96,113
34,o3_cams,143,188,118,126,80,113
41,so2_int,127,200,58,156,81,109
26,no_cams,92,88,100,207,153,109
5,dsf11,68,92,149,132,133,107
22,co_s5p,43,181,236,106,66,104
44,temp_int,100,188,111,90,144,103
37,nox_int,179,74,95,86,151,92
20,aod_047,160,73,87,124,100,90
2,slope_mean,98,118,77,98,154,86
45,wind_speed_int,99,93,139,75,112,83
33,so2_cams,108,91,97,116,80,77
3,pop,51,69,120,119,117,77
10,sec_road,55,86,147,90,115,76
11,ndvi,104,42,147,46,98,69
31,no2_cams,107,105,79,97,59,65
6,dsf12,67,66,123,91,96,65
23,ch2o_s5p,120,0,89,141,0,60
18,no2_s5p,0,0,104,92,105,49
7,soil7,61,86,52,85,59,38
9,soil_text4,60,35,32,74,74,29
19,aod_055,0,0,0,126,0,28
1,aspect_major,17,24,60,67,59,24
8,soil_text3,0,0,0,64,50,14
