,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
38,dust_cams,199,199,333,303,233,243
50,pm10_int,296,293,128,274,322,239
47,no2_int,232,261,193,220,239,233
39,pm10_cams,292,235,163,228,210,222
21,temp_2m,149,257,156,287,223,212
49,o3_int,266,104,318,287,177,210
25,e_wind,134,122,291,278,287,210
32,co_s5p,115,217,285,193,308,209
40,pm25_cams,258,235,86,269,267,208
8,siarl9,268,259,85,213,241,205
23,press,145,221,153,253,278,205
55,temp_int,222,273,141,189,210,200
48,nox_int,262,200,253,198,160,200
11,soil_text4,163,281,267,150,189,197
42,nmvocs_cams,199,259,177,121,227,196
22,prec,183,148,204,254,216,194
30,aod_047,248,204,132,164,243,191
45,co_int,144,182,318,189,186,188
41,no2_cams,188,241,161,130,195,180
46,nh3_int,296,133,280,121,171,179
34,o3_s5p,199,71,272,151,240,179
44,o3_cams,146,177,299,124,196,179
35,nh3_cams,275,223,73,219,176,177
2,dsf3,184,156,130,216,210,166
51,so2_int,142,172,225,168,171,164
24,n_wind,187,236,216,129,82,163
26,soil_moist,190,208,136,135,194,160
54,rad_glob_int,111,118,289,184,185,156
43,so2_cams,64,184,116,208,229,151
1,dsf2,193,88,41,258,229,151
37,co_cams,212,221,41,117,198,150
31,uvai,174,108,247,204,72,149
16,farms,209,162,95,161,167,142
20,ndvi,165,88,139,184,198,139
56,wind_speed_int,90,158,296,73,110,132
19,farm_sheep,60,93,181,198,185,132
36,no_cams,111,174,91,101,219,124
52,air_hum_int,76,92,206,158,154,122
9,soil7,126,236,141,68,88,121
13,int_sec,119,88,220,41,102,101
17,farm_pigs,125,53,215,76,27,90
5,dsf12,94,141,96,47,145,85
6,dsf13,108,74,141,84,102,83
0,pop,84,133,131,36,125,82
18,farm_poultry,134,38,201,62,42,82
7,dsf14,61,137,147,49,70,80
4,dsf11,65,91,148,68,78,77
29,aod_055,0,0,96,0,266,74
12,int_prim_sec,42,132,64,93,136,72
10,soil_text3,112,59,206,0,0,72
15,sec_road,57,74,144,42,95,67
33,ch2o_s5p,0,0,143,135,56,65
53,prec_int,0,101,150,0,95,65
27,no2_s5p,0,0,165,0,85,53
14,prim_road,37,132,65,69,69,53
3,dsf5,57,44,112,89,76,52
28,so2_s5p,0,0,116,0,122,34
