,Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Borda Count Voting
0,pop,0.2534667939027399,0.5730647941961278,0.4079036414641718,265.4900278001336,0.0003190840749839833,26,231
1,dsf2,0.4997611880787161,0.5599945953249085,0.4129223059140712,1265.1157547307473,0.0001981764495407436,45,275
2,dsf3,-0.7311356209430235,-0.816276709873266,-0.6093451390385052,4514.879088717856,0.0010661481337689862,41,338
3,dsf4,0.03640565089779152,0.08427702395035856,0.06822870161842863,3.435556946143564,4.521064372003461e-06,44,94
4,dsf5,0.11059838631094719,0.09197619188420443,0.06768570154245447,53.34247505585472,9.3688657974039e-05,38,127
5,dsf11,0.3597435648717705,0.5216856699298886,0.36837216623952707,588.9907847847178,0.0001442025795703156,40,245
6,dsf12,0.38119743124256683,0.6520542111052495,0.4785924653189347,654.1055482466035,6.840010296354292e-05,37,261
7,dsf13,0.10667807500846177,0.26383219130388785,0.20670045013255411,36.22125466007391,2.4423038697682055e-05,36,155
8,dsf14,0.2596571710924022,0.4749539228112024,0.3592808752693662,290.91905161205216,6.531202835858294e-05,34,213
9,siarl2,0.2611819081416798,0.4859266971547169,0.3759926758588238,261.3226877179009,2.59093279319012e-06,47,216
10,siarl9,0.3602586712757161,0.6041903782999111,0.4746440207548516,561.7902337154086,1.4908124160215614e-05,48,256
11,siarl12,0.1478997958913095,0.25793064163504437,0.20851577376481475,83.83553642695668,1.3672256561013878e-07,53,172
12,soil1,0.020150850389825527,0.03461557992282433,0.02826075934125316,2.335507520720429,2.3285245546195727e-10,57,76
13,soil2,0.02828882162104159,0.04644166965855415,0.03788865500217279,3.4181592361677997,7.2258978539656e-11,46,68
14,soil4,0.14613949094651227,0.12186664283204994,0.09728989805207448,82.42242144362783,1.6005236231371287e-05,54,153
15,soil5,0.06356599562937498,0.09637291261393381,0.07850108332288622,14.13583246544508,3.857467971236813e-08,62,111
16,soil7,-0.05362510696157989,-0.016100643478490006,-0.013344879737440698,9.821813686468275,0.00015511825369040998,65,115
17,soil8,0.08386189186625094,0.13885631017138436,0.1126153397851608,25.22662300748898,9.212202317918086e-08,60,129
18,soil9,-0.2507033192487753,-0.25498517285997924,-0.20624493751356662,262.16986685254403,8.419082892679173e-05,63,219
19,soil_text1,0.07502713767007832,0.027448961095725363,0.022433655947831487,23.274285522836283,3.168050681263857e-05,32,85
20,soil_text2,0.041365938502790967,0.059856770051749615,0.04884853322169914,5.688200925081151,3.54128526209443e-09,68,103
21,soil_text3,0.15480900682252463,0.10654852834335965,0.07853745393290128,84.64508569498028,0.00027621768323759344,21,137
22,soil_text4,0.27185059821823665,0.32005724290522053,0.23319470409440593,317.38961411158937,0.0005760755801296559,70,257
23,soil_text5,0.13334279559018192,0.1866496608423703,0.15161426103989575,71.51870326283998,2.337445200489831e-06,64,164
24,soil_text6,0.08851746107795821,0.10594991221835223,0.08610252747998118,31.743501518726287,2.741664687821183e-07,58,126
25,soil_text7,0.11091830867503284,0.18076747169705398,0.1458818157709135,50.47551584067049,7.880453860376528e-07,52,142
26,soil_text8,0.014067236743482951,-0.020512805235312917,-0.01665980202315607,0.41954404718465627,1.1802384535614969e-06,35,52
27,soil_text9,-0.5636418247748608,-0.5869953153615577,-0.44674036739966033,1803.111542173572,0.00043901056496692533,25,274
28,soil_text10,0.06478428586324862,0.05795207010530557,0.04676893634629237,14.917968995719601,1.7180995063256847e-05,55,109
29,int_prim,0.16312484678444442,0.1976908346027427,0.15806124360657525,106.34042193630712,1.539951140405843e-06,42,158
30,int_prim_sec,0.21925911393251515,0.21516476440476187,0.16122425008798036,206.29094240768603,3.620528154381831e-05,49,190
31,int_sec,0.3028468614238456,0.4097142335815846,0.3050543290281458,385.1460281112865,2.6979075878722915e-05,51,228
32,highway,0.1467243965898704,0.2103408217209668,0.17030560632975486,93.12857412673243,5.871333622567833e-07,50,162
33,prim_road,0.18857812877060495,0.19247999621802653,0.14015190044880724,157.42490686306476,9.72240346315101e-05,43,180
34,sec_road,0.39655752267379274,0.5077021439240786,0.3625390960862437,705.7852836378066,9.590736038224995e-05,31,236
35,farms,0.26791107635784733,0.405838433465868,0.3156394274135334,305.38861412289015,1.7536732049674303e-05,72,242
