,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
2,slope_mean,98,144.0,156.0,161.0,155,134
27,no2_int,142,142.0,108.0,153.0,109,125
29,o3_int,186,97.0,106.0,108.0,173,124
1,aspect_major,145,152.0,121.0,63.0,107,115
6,farm_sheep,96,89.0,97.0,167.0,178,113
13,aod_047,113,152.0,120.0,128.0,91,112
16,no_cams,109,155.0,159.0,116.0,57,111
4,int_sec,110,127.0,85.0,118.0,140,107
28,nox_int,115,177.0,175.0,70.0,48,106
26,nh3_int,99,73.0,133.0,176.0,100,102
5,sec_road,85,127.0,85.0,107.0,133,98
7,ndvi,115,94.0,129.0,56.0,121,98
10,n_wind,169,76.0,81.0,139.0,99,97
3,pop,49,86.0,109.0,139.0,161,95
17,co_cams,147,148.0,73.0,96.0,51,93
30,pm10_int,92,68.0,116.0,74.0,195,93
25,no2_st,174,88.0,69.0,98.0,101,92
14,ch4_s5p,145,49.0,70.0,74.0,190,90
15,nh3_cams,18,104.0,141.0,119.0,102,89
12,aod_055,131,35.0,142.0,51.0,119,87
8,temp_2m,52,121.0,96.0,165.0,91,85
18,pm10_cams,159,118.0,82.0,54.0,70,80
19,pm25_cams,61,125.0,103.0,50.0,114,76
23,o3_cams,95,56.0,147.0,44.0,107,74
11,e_wind,138,41.0,67.0,42.0,161,71
21,nmvocs_cams,118,83.0,52.0,92.0,86,69
33,rad_glob_int,168,,,,192,67
0,h_mean,62,76.0,57.0,142.0,88,65
9,press,65,30.0,49.0,130.0,116,64
31,so2_int,66,76.0,50.0,74.0,105,60
20,no2_cams,60,129.0,104.0,41.0,36,57
32,air_hum_int,57,159.0,,,76,50
24,nox_st,78,104.0,45.0,58.0,50,49
22,so2_cams,53,65.0,41.0,63.0,31,27
