fid,X,Y,f,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.7777777777777778,0.6737326926319618,-0.006969482484620927,0.1731849767659528,0.12141218488853289
2,8.547,45.177,0.7407407407407407,0.6617651729167274,0.0012017522053958708,0.3173954870976332,0.011710646155788988
3,8.547,45.243,0.7407407407407407,0.6696413709264084,-0.003198888778090079,0.23446486588025964,0.09363840074601744
4,8.547,45.309,0.8148148148148148,0.6753567133067534,-0.00733529016286031,0.14099774529358672,0.12386593268470057
5,8.547,45.375,0.8148148148148148,0.6794663924989659,-0.012185909819740515,0.1166102945465185,0.13406807635697468
6,8.547,45.771,0.7037037037037037,0.24667230329989692,0.14709286583342457,0.06293953527921096,0.13230905266446602
7,8.547,45.837,0.5555555555555556,0.1900864388632699,0.1594425203508317,0.34112360012357673,0.12914123042366782
8,8.547,45.903,0.4444444444444444,0.1364425342624802,0.17527657308824285,1.0325517916021143,0.12581895970091
9,8.613,45.045,0.7407407407407407,0.655430038125991,-0.0001982051048324534,0.38532714903394977,-0.16217794465442298
10,8.613,45.111,0.7407407407407407,0.6548269424820228,0.00363975051288545,0.3557819371239687,-0.10965307983831105
11,8.613,45.177,0.7407407407407407,0.66082043223885,0.0043929769530528726,0.3252666063146275,-0.01242074564031977
12,8.613,45.243,0.7777777777777778,0.669944050288868,-0.0018627606983910219,0.23962329882950834,0.08958959142293031
13,8.613,45.309,0.8148148148148148,0.6789853453688874,-0.007975437725607224,0.11468501841049861,0.12719831068020673
14,8.613,45.375,0.8148148148148148,0.6830876446869703,-0.014295386319022049,0.06928825809825148,0.1367419734995041
15,8.613,45.705,0.7037037037037037,0.34858534529297447,0.13051674265365582,0.02528579339738847,0.1364021038051186
16,8.613,45.771,0.7037037037037037,0.2693269696277563,0.1396425133049934,0.04734384919086451,0.1327883516812392
17,8.613,45.837,0.6296296296296297,0.18967560161135513,0.15356775987084376,0.21486064727435922,0.12869020177444124
18,8.613,45.903,0.5185185185185185,0.12043267420201142,0.1781740172106864,1.244365584571647,0.1252624927509026
19,8.613,45.969,0.2962962962962963,0.06185333282701136,0.182300535944641,1.6076647890378095,0.120793888075395
20,8.679,44.979,0.7407407407407407,0.6575983140683164,-0.0022900541037970306,0.3879776964500533,-0.18585185200539295
21,8.679,45.045,0.7407407407407407,0.6564862017430069,-0.00015003515301369522,0.3869376265253319,-0.1729187650299548
22,8.679,45.111,0.7407407407407407,0.6572580142075262,0.004930055642399199,0.37041866755575237,-0.13167347670015586
23,8.679,45.177,0.7407407407407407,0.6622769079172686,0.006891562349582067,0.3454506178409732,-0.03602667436336948
24,8.679,45.243,0.7777777777777778,0.6729888216900135,0.0004946787134166028,0.27995635798069435,0.08418138142486914
25,8.679,45.309,0.8148148148148148,0.6852769873487227,-0.008677502148315187,0.17099160782251446,0.13094359280365708
26,8.679,45.573,0.8148148148148148,0.4901179888375278,0.05521818897337637,-0.010272421584609701,0.1407806505459104
27,8.679,45.639,0.8148148148148148,0.43862245183301735,0.13425500681120264,-0.004450750921768108,0.1395567124231975
28,8.679,45.705,0.8148148148148148,0.3812736853403928,0.14204714224373485,0.020870544499614722,0.13702589092050582
29,8.679,45.771,0.7407407407407407,0.30344477127855274,0.1277580319744745,0.06010106616246097,0.13309931871280556
30,8.679,45.837,0.6666666666666666,0.19082333300695165,0.1262815221146329,0.2244708618034732,0.128685276626004
31,8.679,45.903,0.5925925925925926,0.12635837622214335,0.15597720951282631,1.1287011560572253,0.12415751244656908
32,8.679,45.969,0.4074074074074074,0.07097655129439359,0.1478407741023811,1.4503695609604026,0.11855374315023091
33,8.679,46.035,0.1481481481481481,0.029432341216749675,0.11544903080705338,1.687254459337073,0.11567323832933149
34,8.679,46.101,0.037037037037037,0.024253939533327745,0.08672995320964304,1.700538703035976,0.11349779421236045
35,8.745,44.979,0.7777777777777778,0.6602236836746569,0.0024610975223032325,0.37696292256238084,-0.18951136707361843
36,8.745,45.045,0.7407407407407407,0.6617099356217941,0.002885221649149149,0.3864849214545242,-0.17762060841869431
37,8.745,45.111,0.7407407407407407,0.6623102379319681,0.007849015025699239,0.3859061981504118,-0.14832586294178557
38,8.745,45.177,0.7777777777777778,0.6640979820138261,0.00630213758992392,0.3696658765551603,-0.060213488040320826
39,8.745,45.243,0.7777777777777778,0.6861920024469157,-0.0034152266463830013,0.34625047742702897,0.07837871706600807
40,8.745,45.309,0.8148148148148148,0.7020659091853972,-0.0138871346159355,0.3150221496399755,0.13629607956762899
41,8.745,45.375,0.8518518518518519,0.7030415017556659,-0.02156833342471367,0.14345592019138848,0.14125393573348985
42,8.745,45.507,0.8518518518518519,0.5866342401598044,-0.04040470206567093,-0.005965253538276013,0.14143010932489203
43,8.745,45.573,0.8148148148148148,0.5187552077038137,-0.01137857687382783,-0.013038827273713416,0.14168497593415086
44,8.745,45.639,0.8148148148148148,0.46828594472393603,0.040999637003671055,-0.017422392963626507,0.14056426480295403
45,8.745,45.705,0.8148148148148148,0.4136223627347727,0.09364126022676202,-0.0015703817151847673,0.1380194284587516
46,8.745,45.771,0.8148148148148148,0.35144820933014514,0.0736931363567212,0.03588230513310447,0.133487227333408
47,8.745,45.837,0.6666666666666666,0.21745989310009947,0.06962988815560696,0.2179359326328093,0.12773376212411486
48,8.745,45.903,0.6296296296296297,0.15766453971135844,0.09370328124808566,0.8873007530784277,0.12088942132018789
49,8.745,45.969,0.4444444444444444,0.09513658974529694,0.09292472518371842,1.2340987959648,0.11719425393967177
50,8.745,46.035,0.2222222222222222,0.053381724962376434,0.06995363530334427,1.5869378388920379,0.11302467610223413
51,8.745,46.101,0.074074074074074,0.04182525700559199,0.05816688706584326,1.6872790854138673,0.11344423878556854
52,8.811,45.045,0.8148148148148148,0.6695814106071857,0.007589897638837245,0.3808722446877921,-0.18105848280896908
53,8.811,45.111,0.7777777777777778,0.6749845453705228,0.004208809368210038,0.3891482510357789,-0.15462867454732204
54,8.811,45.177,0.7777777777777778,0.6837702791380564,-0.004153264330476923,0.35963975400697246,-0.07681335688904135
55,8.811,45.243,0.8518518518518519,0.716919732379851,-0.01690172572235338,0.26421603127980836,0.07407179842823042
56,8.811,45.309,0.8888888888888888,0.730642497762007,-0.03134792767031623,0.12681680307583773,0.13674538050172866
57,8.811,45.375,0.8888888888888888,0.7236846149085763,-0.04779753675238323,0.0946874505119635,0.14153237137269276
58,8.811,45.441,0.8888888888888888,0.6820561374873142,-0.06469748952427576,0.017954238755619228,0.14114643017632272
59,8.811,45.507,0.8888888888888888,0.6138700279906666,-0.0698305059023454,-0.0031113038988074505,0.1414614039685616
60,8.811,45.573,0.8888888888888888,0.5459301887135438,-0.06076009593950418,-0.012373114144985407,0.1420847865658882
61,8.811,45.639,0.8148148148148148,0.4804727278980611,-0.04641943253583907,-0.01820577180370217,0.14112220011628485
62,8.811,45.705,0.8148148148148148,0.4401770214324078,-0.036444696248007724,-0.016695434755233086,0.1385706464726733
63,8.811,45.771,0.8148148148148148,0.3518201724355944,-0.025577369173266744,0.017625993533746012,0.1341166415391304
64,8.811,45.837,0.6666666666666666,0.20370639381888622,0.021917019771638045,0.16936392570475675,0.12661044340389543
65,8.811,45.903,0.6296296296296297,0.1475324653175129,0.04932643029892916,0.7312533356047104,0.11771274350395355
66,8.811,45.969,0.4814814814814814,0.11964564071377562,0.04939585475221578,0.9947036534685112,0.11473462503355561
67,8.811,46.035,0.2592592592592592,0.07740141610474396,0.03749138303238066,1.324031027916887,0.1108966572976323
68,8.811,46.101,0.1481481481481481,0.04712819459635631,0.033319331633171835,1.496258524623195,0.11537709754292326
69,8.877,44.979,0.7407407407407407,0.6581645467845622,0.017095246855621065,0.13758164920307855,-0.1890219591275921
70,8.877,45.045,0.8148148148148148,0.6778470539146583,0.0030795613400124095,0.26864127289479345,-0.18008412965033985
71,8.877,45.111,0.8148148148148148,0.6889696708506188,-0.00460886711236039,0.2965856423119667,-0.15942666383478699
72,8.877,45.177,0.8148148148148148,0.7049145564937599,-0.013910741364477312,0.23439179475512312,-0.07994330034530689
73,8.877,45.243,0.8888888888888888,0.7493256950727569,-0.03194425944275898,-0.012321199642591221,0.06448619163336666
74,8.877,45.309,0.8888888888888888,0.771470499203567,-0.05838055008993416,-0.06631755148882285,0.12861632750882515
75,8.877,45.375,0.8888888888888888,0.7328411561181816,-0.07468244490435767,0.017494345602990003,0.13919320463635154
76,8.877,45.441,0.8888888888888888,0.6857038656938007,-0.07914632554588177,-0.007553015593492595,0.14017719171840948
