fid,X,Y,I,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,1.227989821437358,0.16709381762357814,-0.5063552809923497,0.3047096941048256,0.10646884081668068
2,8.547,45.177,1.347173409758214,0.21798895475744273,-0.5207972049034901,0.2717951923775351,-0.028880944672443138
3,8.547,45.243,1.271010743895972,0.17862793542693878,-0.5159791947663037,0.29332078603494194,0.06666003290559747
4,8.547,45.309,1.2742057048684006,0.18479632827293224,-0.5138264424089318,0.3002032865466798,0.1047562488731223
5,8.547,45.375,1.32689355248547,0.1838698657002355,-0.5106742492663418,0.26925333723789024,0.11848483228171086
6,8.547,45.771,0.7730774585441209,-0.23434527493095256,0.1022944077821345,0.11844721723041188,0.1380752374774658
7,8.547,45.837,0.6466079200558954,-0.3781111519878735,-0.032899549356807785,0.34297823990125753,0.1340367079431507
8,8.547,45.903,0.5303801956336928,-0.45429667466931256,-0.1360074597997191,0.7251781906954213,0.1302783026241144
9,8.613,45.045,1.3832483857408968,0.2431564235942768,-0.531699271897818,0.23546755321927273,-0.23701377134185198
10,8.613,45.111,1.3954128831608767,0.25810608161538684,-0.5363026894670572,0.23216783714141553,-0.18196573607922228
11,8.613,45.177,1.3688111462069192,0.24575091385979464,-0.5338652298894488,0.24563237507454777,-0.061333382334633944
12,8.613,45.243,1.346084911505715,0.2270772626860007,-0.5273879343581573,0.27189573057760735,0.055775057555404906
13,8.613,45.309,1.3529681546924814,0.22422266840969707,-0.5230564111082046,0.2887666559287015,0.10176943708048639
14,8.613,45.375,1.4265743416081085,0.23776143782618464,-0.5259928503217796,0.2411531264388156,0.11680098157290726
15,8.613,45.705,1.1847807297893098,0.12191733146142396,0.09147188101293288,0.058134055115560516,0.1367589490945113
16,8.613,45.771,0.9729534173195312,-0.09732000362104148,0.029667048283072754,0.10163189274085585,0.13628420469488836
17,8.613,45.837,0.744533461996449,-0.29378703894461256,-0.10853557494776611,0.33923099628989434,0.13347834770170294
18,8.613,45.903,0.7460834849317342,-0.418319781022806,-0.19729954743349865,0.7756652942699946,0.12819865838289066
19,8.613,45.969,0.3983362635523583,-0.49711508969428087,-0.24259105994327151,0.8277884313349844,0.12130014129743205
20,8.679,44.979,1.3421657260603803,0.22194515274537094,-0.5242739043775322,0.23659116952946885,-0.2645968992959656
21,8.679,45.045,1.4101971856969928,0.24550239927502993,-0.5340983602630549,0.2271217356876975,-0.2516752127664369
22,8.679,45.111,1.436010415442262,0.28135406769326976,-0.5444423051824229,0.21220099283457983,-0.2076225762250322
23,8.679,45.177,1.4379974927606354,0.29164427380160385,-0.5483752927748996,0.2130072964728561,-0.09899751610521894
24,8.679,45.243,1.4404588489786074,0.2920109097421455,-0.5446045454036836,0.2355329555964191,0.04119725034971102
25,8.679,45.309,1.4694684337618638,0.30997303387926245,-0.5454809405619832,0.2477659173535759,0.09708241623951519
26,8.679,45.573,1.421394883821638,0.496368870140133,-0.5398815424428107,0.045956437236342185,0.12690902216120367
27,8.679,45.639,1.3140354036367217,0.4288622931349094,-0.39671053623052266,0.051208635696488744,0.1314190596615404
28,8.679,45.705,1.3569678770847913,0.32223108310169113,-0.08316064747846766,0.0600487334395145,0.13410845981988012
29,8.679,45.771,1.2047414350320562,0.15782926155525664,-0.08780740493067614,0.0829491170395073,0.1355025935175074
30,8.679,45.837,0.8910916779795978,-0.06846661952303609,-0.20188072256474576,0.2703418142171112,0.13321982727787596
31,8.679,45.903,0.8113086238618161,-0.2453731717829127,-0.2416725603630892,0.6742116009867956,0.12708122564968152
32,8.679,45.969,0.4433307527578154,-0.3739680682664299,-0.2652115534091848,0.7371164000576456,0.11674429385950308
33,8.679,46.035,0.3956543335359581,-0.4404451744594836,-0.25917415820031975,0.7168775624109947,0.10173931710103903
34,8.679,46.101,0.3749246083413743,-0.407980026194823,-0.25545160180165616,0.6858634358932328,0.07736298453395583
35,8.745,44.979,1.3295499295767912,0.20422642866571045,-0.5174910879799455,0.23088635502809549,-0.27092282733990514
36,8.745,45.045,1.4142292088849049,0.24005450749845425,-0.5340834036631963,0.21250725832549436,-0.2605077489219009
37,8.745,45.111,1.4633920875847708,0.2926400128043487,-0.5502650743653739,0.18179317784146815,-0.2314302197729125
38,8.745,45.177,1.5034486927684718,0.32725431335884236,-0.5601589179194402,0.15588786190566362,-0.13236517634250705
39,8.745,45.243,1.5313309530903754,0.3462045310260051,-0.5631996392852772,0.179739078342127,0.02413456735676311
40,8.745,45.309,1.5424949266928902,0.38865859377163325,-0.572266948892239,0.16433744320367374,0.0928220123668157
41,8.745,45.375,1.5904433666644802,0.4459500551469633,-0.588214702738719,0.07399900968681923,0.10676587904876716
42,8.745,45.507,1.6245161085734612,0.5406381103578202,-0.5924733281598225,0.03445439281638279,0.11716862459309908
43,8.745,45.573,1.6181470679510124,0.5357181839529341,-0.5595276633305115,0.04153470834819026,0.12325038508299317
44,8.745,45.639,1.5521417417141397,0.5065316319560788,-0.501264024073206,0.052531040634272136,0.12863801222294768
45,8.745,45.705,1.41708615345084,0.45916585901367446,-0.30890461294832466,0.0686941007773394,0.13270368888017858
46,8.745,45.771,1.3934475473330223,0.3372122086562821,-0.20962248282688628,0.083978504764013,0.13544972024315274
