fid,X,Y,Ex,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.6948956178444138,0.16303422638340156,-0.056131770728427184,0.2918975612522776,-0.08838641434133285
2,8.547,45.177,0.66886898933314,0.11351471698277274,-0.04631388395628244,0.33992290761074573,-0.2427282227036528
3,8.547,45.243,0.6666933132905543,0.13793171853572758,-0.052237796803867656,0.3180372232780109,-0.15148503822811876
4,8.547,45.309,0.7383122551605188,0.1730514566609181,-0.05732597443225604,0.27673899363159976,-0.045274071063353134
5,8.547,45.375,0.7619851251906851,0.19001562854864287,-0.06231229263195899,0.2535414677794503,0.23939034292899225
6,8.547,45.771,0.4263665109310924,-0.5324281020715845,0.03511366081539237,-0.02873433723601317,0.3134714951847539
7,8.547,45.837,0.3081129119395572,-0.6423982955238683,0.028112917432888736,-0.014083678843021752,0.2734551997154342
8,8.547,45.903,0.1842209177501922,-0.6976030286668857,0.02555744328802636,0.34528245863532525,0.20617659626729534
9,8.613,45.045,0.6644050134488654,0.06434315849665868,-0.03771314378735678,0.3682230685151644,-0.33344115778479677
10,8.613,45.111,0.6598618977041986,0.08386897192264865,-0.03930671562451473,0.359574217159527,-0.3125130897715672
11,8.613,45.177,0.6578802593287569,0.10180033718076412,-0.04292579923126823,0.35761195756131275,-0.24298384193734412
12,8.613,45.243,0.6853857574055549,0.13636781201293927,-0.051491876611004184,0.3262687020361393,-0.11820660519557241
13,8.613,45.309,0.7642547122563896,0.19012429831341077,-0.059086900030958005,0.24868583059375113,0.04309604929887985
14,8.613,45.375,0.7992636268620402,0.21940282406153438,-0.06653056541787064,0.20096235867711404,0.30734177030941096
15,8.613,45.705,0.5868748778548101,-0.3397196497762721,0.044129290310390215,0.017094707854042584,0.35021607704394003
16,8.613,45.771,0.5089372534485315,-0.4552579879306863,0.043073735985746195,0.015255194669020804,0.32623099633075137
17,8.613,45.837,0.3707727052925628,-0.6000515079107971,0.023442696116306713,-0.08400484667750993,0.27463073660475823
18,8.613,45.903,0.2172830097186061,-0.7077683411810601,0.019511835300869813,0.4725345037068858,0.18102112487831085
19,8.613,45.969,0.1082520548599277,-0.7770724587478444,0.016434534021699414,0.6467041453582489,0.10602368660636041
20,8.679,44.979,0.6277590396383689,0.035322057088582756,-0.04132133131483228,0.3862879986726778,-0.37289604700727774
21,8.679,45.045,0.6365923399581207,0.047651135940173533,-0.03585762561527418,0.37914115963314343,-0.34432655755449837
22,8.679,45.111,0.63863766153327,0.06903580140247337,-0.03407405386773041,0.3733891404033475,-0.30348672587762604
23,8.679,45.177,0.6604360681571763,0.09821902826444058,-0.03862643305685796,0.37012108968798196,-0.19313222314922013
24,8.679,45.243,0.7158226675809649,0.14839971909575717,-0.04948628613921674,0.33081698572268425,0.009590268974397227
25,8.679,45.309,0.8094925384064047,0.20121501056887525,-0.06134936172386926,0.2510707516238094,0.17667985641793288
26,8.679,45.573,0.8596392879372879,-0.008825004823845968,-0.07108257998927521,-0.0026552190359617578,0.3794151345404013
27,8.679,45.639,0.8136653589200656,-0.12283259528257626,0.008868683905914394,-0.004745045206338594,0.3704813960023573
28,8.679,45.705,0.7758869501730561,-0.2149435047689232,0.043060587417036,0.01138532998839926,0.3645511994890309
29,8.679,45.771,0.661567040917757,-0.3254867490537705,0.025948205133723708,0.04033625509261665,0.35852142213116234
30,8.679,45.837,0.4829204877588374,-0.5002766090971247,-0.012604533491408897,-0.01352822986700429,0.3238807986222625
31,8.679,45.903,0.281766176007477,-0.6607141638608838,-0.011112420722405307,0.47463449012185976,0.24527367185864934
32,8.679,45.969,0.1354784084131195,-0.7496954581732911,-0.007712388185808142,0.5827067345374011,0.11020958456739412
33,8.679,46.035,0.0303954635187858,-0.783798464587177,-0.011049837073873652,0.5865006485607512,0.031300730991197595
34,8.679,46.101,0.0048550779117574,-0.778067093475314,-0.0165371959815514,0.5605732328945685,0.035475746281464764
35,8.745,44.979,0.6157121602216529,0.013900078587876927,-0.054169468190327766,0.40380101679370567,-0.4506003897937052
36,8.745,45.045,0.6166915432820965,0.018626948339287963,-0.038714977746466164,0.39762519484138303,-0.37304804629592125
37,8.745,45.111,0.6345651994586167,0.04376167732644148,-0.029976780234655644,0.39238370207742646,-0.26214980741186417
38,8.745,45.177,0.678159099515877,0.09272885628644986,-0.03498075918168936,0.375048012458695,-0.05197295214408858
39,8.745,45.243,0.7570257186642475,0.1598912193837846,-0.04810003403842981,0.3271140808281181,0.12734852203333286
40,8.745,45.309,0.8590690151553914,0.2241490909890647,-0.06248253780443141,0.24554932128519352,0.30312642647551136
41,8.745,45.375,0.9569276893627432,0.2914149895202346,-0.08068194514821518,0.19104839811984364,0.4103279224327543
42,8.745,45.507,1.0758980087227852,0.20207269016783386,-0.16302107688567088,0.011098062457581144,0.3942261724400324
43,8.745,45.573,1.028386909681219,0.05113884610240233,-0.1522642818275342,-0.0008003069349330487,0.38455362899358564
44,8.745,45.639,0.9753484232673748,-0.0766088623759108,-0.0961100527537279,-0.009637689048252922,0.37944981632940245
45,8.745,45.705,0.908840758853917,-0.15216844971195334,-0.035234497170286566,-0.005289020491218882,0.3772606645904087
46,8.745,45.771,0.8112587623442505,-0.25556327290998915,-0.04397682928708899,0.01897266027985832,0.3771194549185325
47,8.745,45.837,0.5495299683930179,-0.44236789776138763,-0.07470553330413743,0.07450390261115433,0.35698307984922767
48,8.745,45.903,0.3362985428102039,-0.6031986433189528,-0.05902944125025158,0.3950615265611669,0.2821309032981193
49,8.745,45.969,0.1668470016690546,-0.6962122639977943,-0.03912068118783209,0.48913722866912984,0.15443605330213656
50,8.745,46.035,0.0691976055940211,-0.7547285753926212,-0.029542994092480783,0.5377532493085365,0.0825657053009334
51,8.745,46.101,0.0139292804059642,-0.7660750092287468,-0.02597473625146371,0.536833031956446,0.050120724770911784
52,8.811,45.045,0.6784247191647748,0.03108588444477437,-0.061519806562912005,0.4380939237527577,-0.43723358064101936
53,8.811,45.111,0.6520631809589069,0.046230147482633994,-0.043549478086774986,0.4411511347144411,-0.3345372364151111
54,8.811,45.177,0.6954835707611405,0.09698760063948095,-0.04373002241515266,0.4196743726382984,-0.044093773713126144
55,8.811,45.243,0.8321310844724918,0.1863790976920913,-0.05572501266822236,0.27291721150863235,0.19050573050329384
56,8.811,45.309,0.9471116136465004,0.27356319823135,-0.0795960242218074,0.04909907413445171,0.3635759219313045
57,8.811,45.375,1.0389300575760916,0.3574002774825949,-0.12541526541579107,0.16113088546108612,0.42281573828888724
58,8.811,45.441,1.1523136081274867,0.38207327102681965,-0.18750388723186973,0.04572957748479239,0.4159349174739796
59,8.811,45.507,1.2156029189507038,0.2781021866223921,-0.22406319886754691,0.008312216044822402,0.40199962500578656
60,8.811,45.573,1.2199278837587149,0.1298788116715881,-0.21878084286191896,0.00039834302093755194,0.39361709647119375
61,8.811,45.639,1.0989328985907394,-0.0008206420638610795,-0.19487802154683365,-0.0035881500045815526,0.3889838452984289
62,8.811,45.705,1.0019253438769922,-0.11191604722270335,-0.17910829103759343,-0.008755235866040992,0.3896345114831904
63,8.811,45.771,0.870185153304257,-0.23614373462685817,-0.14189062188655144,0.0061310494261645945,0.38266581680091655
64,8.811,45.837,0.5941787046224818,-0.4370476165854902,-0.10996662461453413,0.10476210802498837,0.35576026953897755
65,8.811,45.903,0.3607872916309786,-0.5923206851212568,-0.08092688318332684,0.3541620508446816,0.2873398543754243
66,8.811,45.969,0.1816152028688108,-0.6549685740214138,-0.05572759511671468,0.4095423811507739,0.1868605757704372
67,8.811,46.035,0.08417663696378,-0.7048135095268871,-0.038998151395651284,0.46473784842605337,0.09245468896654394
68,8.811,46.101,0.0201989384572673,-0.7243656150244793,-0.03317381559031408,0.482616200434797,0.08163812992089078
69,8.877,44.979,0.6198458637830473,0.09395964699506695,-0.1251688358436363,0.7200859513364882,-0.49360391091940353
70,8.877,45.045,0.7200387295694609,0.10295340396204436,-0.10668159517065717,0.5201647307092414,-0.468511519561002
71,8.877,45.111,0.7172792048094604,0.1074179116257781,-0.07937814604026186,0.4686958964907387,-0.408051454314178
72,8.877,45.177,0.7503734181575679,0.1484658495499795,-0.06759856887549168,0.39505258419344325,-0.14037118365273565
73,8.877,45.243,0.8959007372929181,0.25143671496349784,-0.08073946753340297,0.11051717663713775,0.23403759090321974
74,8.877,45.309,1.000156750708801,0.3584075967693836,-0.12802479305682957,-0.0679131405364748,0.39224100140671525
75,8.877,45.375,1.095683145371059,0.4086989515194141,-0.19822231720366962,0.05676265885025042,0.4318374585148097
76,8.877,45.441,1.216691357881264,0.40804561260218875,-0.24886400688761878,0.027107914426376438,0.41640263032257463
77,8.877,45.507,1.3055294016992385,0.31158480532344845,-0.262343470694522,-0.007643352861925629,0.4091228702608647
