fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,8.481,45.309,0.423444766012882,0.4403851807239317,-0.3823542267017266,-0.6892695836742448,0.3973239440060998,0.2718474934355604,-0.12852169060530905,0.05890485677451397
2,8.547,45.177,0.4645425550890393,0.4408809085444604,-0.37625641247383457,-0.7030443624134968,0.3615760545431216,0.20954902342258322,-0.1390015607062866,0.05331466133294818
3,8.547,45.243,0.4601935452037139,0.4427391110026423,-0.3786049716360934,-0.6965834910937082,0.3794767097101229,0.24665706260660963,-0.135066288196288,0.055233985487322196
4,8.547,45.309,0.4613503414178692,0.4442203117616119,-0.3796935661686116,-0.6937054664564637,0.39299271415341186,0.24558761276111993,-0.1358588582857069,0.055777529846411295
5,8.547,45.375,0.4804269758999115,0.44668509645262855,-0.37789173439038914,-0.6971502254479551,0.3912012890481688,0.23267743173489436,-0.1407773488397151,0.05366247969263712
6,8.547,45.771,0.1999338254855485,0.27779535953152823,0.3108059586344464,-0.028867717130874344,0.06673667126415639,0.8494275020459114,0.056174267044152536,0.061866519613417464
7,8.547,45.837,0.1337809489770818,0.24388882646691223,0.358372181460451,-0.04033030066597175,0.1268591011532112,0.8947949450147616,0.10929921377972346,0.04717621123255013
8,8.547,45.903,0.0823003751845385,0.2266328541242178,0.3837719972548679,-0.11461081294480413,0.10332487650707045,0.9422800033645677,0.12741281670717614,0.040273770328710705
9,8.613,45.045,0.4769822019796196,0.41335495454682714,-0.3782281400702471,-0.714615653224518,0.3220099834881903,0.15798968772085142,-0.09191635226755326,0.0626111788063879
10,8.613,45.111,0.4811768562623713,0.4272172732873802,-0.3748970937279611,-0.7154414161084597,0.33199761606760525,0.18055916782176568,-0.13828881431350049,0.05442355574612889
11,8.613,45.177,0.4956040356956087,0.43799405863697904,-0.3739361870183474,-0.712222062601598,0.34899806023389024,0.15358334644015562,-0.14207366424627899,0.05105794726647786
12,8.613,45.243,0.4873755714072416,0.4427886685546913,-0.3748911528234018,-0.7083204841306205,0.3664294030411923,0.19773187309322884,-0.13821634269723437,0.05092199449100832
13,8.613,45.309,0.4898677801472778,0.44925280479036317,-0.3734185839313029,-0.708363366626523,0.3750372704544108,0.1988237246856583,-0.1476038461115735,0.04835038005745833
14,8.613,45.375,0.5165182960994875,0.4555472822553187,-0.3706829790944745,-0.7102855028529946,0.3724719483260833,0.20448782096366686,-0.15905918480519,0.04508242155926681
15,8.613,45.705,0.3268360633901544,0.33721061417417725,0.21647065802062948,-0.09518943239115328,0.03473619294817143,0.7067514204100772,-0.04060688316910564,0.06829075671642751
16,8.613,45.771,0.2684009427088362,0.30329847021707224,0.27496851354283025,-0.0797839463406363,0.039345640954805305,0.7631481275588761,0.0157498069739192,0.07457276346680944
17,8.613,45.837,0.1925517574128747,0.2669587407338956,0.33307160115904955,-0.13147144037856218,0.09951838281376563,0.8305635443302963,0.07177082340021376,0.05793525662466657
18,8.613,45.903,0.1157715752480277,0.2299899850225079,0.38285793881942387,-0.21152316017797584,0.06859606301771866,0.9264839211270963,0.11689865055262912,0.042159630520623985
19,8.613,45.969,0.0343393330648584,0.19896312314686765,0.4169293337936846,-0.3078664516369666,0.03690401359498163,0.946583050301004,0.1450461366324015,0.02265680085055701
20,8.679,44.979,0.4628157676070277,0.3892042347587513,-0.38639298800121724,-0.7111269296420721,0.3143621365710074,0.05424256222870992,-0.04275910326808691,0.07863419048547228
21,8.679,45.045,0.4862748916196527,0.40102342588717255,-0.38106196432504985,-0.7167666085904867,0.31316500188182583,0.1046336040922414,-0.07773626762140297,0.06874333542390605
22,8.679,45.111,0.4951760053249179,0.4169702206624969,-0.3752595332380449,-0.7231845000189547,0.3171065361745715,0.1404325647010834,-0.12200090391144075,0.05665567830840289
23,8.679,45.177,0.52065426462023,0.42984222157101015,-0.3714001372469981,-0.7272365850082974,0.32798813535973653,0.12094348384238207,-0.1335071864561766,0.04905799585874458
24,8.679,45.243,0.5215454453198406,0.435624982339911,-0.3715268106535202,-0.726776647592272,0.3496607184365122,0.17951858673701715,-0.1291217138358164,0.04721090648518374
25,8.679,45.309,0.532048915672399,0.44083792362882834,-0.37038751988913654,-0.7304579309544683,0.36549432113674096,0.1995123999886501,-0.1368146083618063,0.04367586839656698
26,8.679,45.573,0.5146429751767999,0.39074253055814334,0.11394052190902017,-0.8583858903704159,0.011509420266194836,0.15373577340000033,-0.15208587140619334,0.008708398432716985
27,8.679,45.639,0.4757714392477785,0.38733985807417415,0.11900599765435041,-0.44301617512998354,0.021240517257281946,0.46935025873001995,-0.1485628573339133,0.034637883344605436
28,8.679,45.705,0.3977319639731284,0.3752497931718253,0.15762150370900618,-0.20886558684273174,0.040382396325964416,0.5905688158620553,-0.11379590407134021,0.09233945680612414
29,8.679,45.771,0.3531138688887061,0.34263887413014965,0.2270137238799388,-0.22239179448882335,0.04219894539034574,0.6266205491119433,-0.05426027113704529,0.09294856061439824
30,8.679,45.837,0.2458183939254062,0.3063213117412982,0.2955285421558168,-0.2753923254998758,0.03523572079186457,0.6952188445318357,0.001766755590390032,0.08022641997774921
31,8.679,45.903,0.1538688769393099,0.25737260596085065,0.36147420938678815,-0.33874439900216124,-0.024717879762050032,0.8013412540765896,0.06269153951705986,0.05927198494981803
32,8.679,45.969,0.0458618020094291,0.21422939503754357,0.4072910836073055,-0.3690847279055226,-0.023571985649364354,0.8914596179006937,0.10562125585743759,0.03756886389973025
33,8.679,46.035,0.0136432528805502,0.19360009289563548,0.42685592448039295,-0.36639091765028836,-0.04650682766389409,0.9562950020182693,0.11211063609437522,0.01535423974978764
34,8.679,46.101,0.0064642173851961,0.1942461298134622,0.4276263011545518,-0.3640195277845665,-0.056364755388664055,0.9028979336745541,0.09785176894059577,0.02449010076352067
35,8.745,44.979,0.4584654929575142,0.36631760532125135,-0.3965160971321702,-0.7036927126288137,0.3094629566228716,-0.08230606554697426,0.0321218032655292,0.09670993828825133
36,8.745,45.045,0.4876652444430706,0.3723264959587937,-0.3917175135906621,-0.7130004273394781,0.3005284567714495,-0.05144766618127509,-0.06862486114857658,0.0870726422720586
37,8.745,45.111,0.5046179612361279,0.3927673698149063,-0.37993888489423544,-0.7323125867041218,0.29615886001884595,-0.005298885861116822,-0.10434982626174491,0.06531817058158809
38,8.745,45.177,0.5443521128989295,0.4121821902023294,-0.3711389315809708,-0.745153725154821,0.2989491740124389,0.02760643751202027,-0.1224528689452383,0.049859151345465806
39,8.745,45.243,0.5544474140499634,0.4193854444081243,-0.36986245242718374,-0.7484778420398734,0.3156303403942436,0.09669684967999354,-0.127431050323778,0.04545606695385364
40,8.745,45.309,0.5850842825386825,0.42753518302184124,-0.3658952860403211,-0.7637185821761066,0.3127563894488631,0.12279435479252344,-0.1318457605164227,0.037016065710308126
41,8.745,45.375,0.6306930591945352,0.43845429238781464,-0.3507899748682417,-0.8045698427539543,0.12505786565410087,0.10596092264781887,-0.10006165192264273,0.017643665297334944
42,8.745,45.507,0.6442046637446485,0.4028450720447035,-0.014704721888891359,-0.9730790340598152,0.00863336981118716,-0.07271525237138671,-0.10956449762741523,-0.02705234106516502
43,8.745,45.573,0.613779922326246,0.3868292200203379,0.10776316431963587,-0.9353295678040859,0.009326482345280085,-0.07740251649003765,-0.16449404851652127,-0.005356116167745608
44,8.745,45.639,0.5619823547585678,0.3898481472994265,0.09278056662995451,-0.8128940185457031,0.0181929925377877,0.2111997701773187,-0.18441476507527943,0.040766377932555706
45,8.745,45.705,0.5130829176287524,0.38985938585240076,0.1258664885763716,-0.5703185630968566,0.03221365058817947,0.40316835815295016,-0.16734457840435935,0.09905239685683814
46,8.745,45.771,0.4084242811148513,0.3721112510508985,0.19197175215840445,-0.28747245805347166,0.044318791593683966,0.5152177118431213,-0.12491560212743735,0.10448824278143563
47,8.745,45.837,0.3072489187049037,0.3341726149230485,0.2771377438711655,-0.3137631296176658,0.03358639871829976,0.5704617332167903,-0.06291367717769536,0.0946532444721791
48,8.745,45.903,0.178364601539359,0.2868202491954218,0.3452100604549929,-0.3524275101522264,-0.06121023973588094,0.689397530275899,-0.004297375215820286,0.07803676212669435
49,8.745,45.969,0.0603629859907194,0.23871376971486452,0.39281596369795696,-0.3683895585669712,-0.060899845729842104,0.7754239684618262,0.045989481589813336,0.05272844879642846
50,8.745,46.035,0.0256484930488997,0.2103008466740638,0.41653880061953585,-0.3662780783059595,-0.06537320015013323,0.8436504228200414,0.07007608246476468,0.014218005386974413
51,8.745,46.101,0.0117968759499692,0.2016649918635658,0.4233495628773057,-0.3609143157504808,-0.06702591777574238,0.8555436245528645,0.07333667043276584,0.026283573269920042
52,8.811,45.045,0.4766119717148494,0.32098078260895624,-0.4129548324755328,-0.7134206033189552,0.29786985944308925,-0.06872829955659682,0.07794787713682494,0.11580799071059353
53,8.811,45.111,0.5245860142987546,0.35001932769756605,-0.3953273566097938,-0.7367856854463368,0.2775156608047669,-0.06974991267241111,-0.052204382090093156,0.08511243870972188
54,8.811,45.177,0.5511363539068218,0.3795170243167816,-0.3790228283468886,-0.7589231589645553,0.2504909574758478,0.02437946268100114,-0.12494739092483603,0.05813741800641417
55,8.811,45.243,0.5751081126253813,0.39442366715561505,-0.37261301427474547,-0.7695540384962117,0.23136091811522785,0.09419871099251001,-0.09889211985573254,0.046933503038678076
56,8.811,45.309,0.6039502198136881,0.41499341974015136,-0.35786118777364023,-0.8025097391666067,0.16389435813990197,0.1143511953538148,-0.03533455833846391,0.029552528825521576
57,8.811,45.375,0.6750594933095144,0.43284075496869223,-0.32503925541840784,-0.8718570358650457,0.05067328325457386,0.055511566569736735,0.07166302599353061,0.0011116518783531757
58,8.811,45.441,0.7081840074333804,0.4217432063889677,-0.28538365272080957,-0.948076661180631,0.0199585181434111,-0.08581047177769875,0.13513744146338647,-0.02869117114377981
59,8.811,45.507,0.6937475467555461,0.3911432311981339,-0.17915205152422478,-0.972325753228291,0.007365490837996667,-0.13581457099878183,0.009479728395082179,-0.029153045169449634
60,8.811,45.573,0.6736207931060876,0.365270300135962,0.09651458044247235,-0.9445050157390444,0.004331407286840018,-0.22366102645475439,-0.1767654436177043,-0.00421486634410056
61,8.811,45.639,0.63862340815788,0.37172704662185174,0.09066625881092616,-0.9185954687761366,0.011837940578525932,0.21752898882980254,-0.20917380757512555,0.06624084777034127
62,8.811,45.705,0.576756153220373,0.3892289407301702,0.11215098486655331,-0.8795069936850382,0.025291281705153663,0.39314102814650553,-0.21348285192187386,0.10731039735298845
63,8.811,45.771,0.474498349368775,0.38101030029346883,0.18571741880895332,-0.3740507627171337,0.0358018180555938,0.450329202299537,-0.18106222101335667,0.10044014776900939
64,8.811,45.837,0.33732415563473,0.35021212602982765,0.2769358165522625,-0.3433420470224821,0.0626911944987212,0.4939200993494004,-0.12877867570044338,0.09629162200970572
65,8.811,45.903,0.1757173907103529,0.29718688564274093,0.3520305950714997,-0.37231480742255807,-0.03981251035081331,0.6428278387933282,-0.0622799854097887,0.06904266174684465
66,8.811,45.969,0.0833976622072645,0.2543923075435056,0.3908729639574306,-0.37471749454778586,-0.058063922212633394,0.6943645588544249,-0.015810224043308778,0.040030927103612494
67,8.811,46.035,0.0339566554208897,0.22776140797317604,0.4099761938523138,-0.36743067334150836,-0.05972056469830052,0.7967098834417194,0.014137415095576016,0.03392817050598995
68,8.811,46.101,0.0131578633909574,0.22377342584107532,0.4105878454259184,-0.3518589823261718,-0.07209840588005445,0.7870221676521075,0.0182303477381525,0.024266935986612337
69,8.877,44.979,0.3954943256061057,0.2564432610640991,-0.44099801295788,-0.732650800871776,-0.11210893690503931,-0.09458524715275142,0.7286897420596542,0.15083002350775737
70,8.877,45.045,0.4590260545941036,0.27894248179772496,-0.4288837058950359,-0.7368499825375516,0.21175065758329903,-0.09305646371918563,0.5675695426726104,0.13262488215784088
71,8.877,45.111,0.5171878710034956,0.3113993320567781,-0.40952524361375353,-0.7564705015939848,0.1994852692936438,-0.08449769820193201,0.18710953672209926,0.09925004708537163
72,8.877,45.177,0.5546090837202805,0.34010751171095976,-0.39337940384754266,-0.7777710756350451,0.13637557378439757,-0.044013130018255325,-0.06601593521508495,0.06987919407778223
73,8.877,45.243,0.5877504398232448,0.36739426967743855,-0.3739590538122806,-0.8081560279125697,0.09228711963959864,-0.025581279281643134,0.11424154642670799,0.04560205342425145
74,8.877,45.309,0.6313926105992204,0.39690350098120175,-0.339966577426173,-0.874018799999158,0.1087149132382409,-0.03772645613507908,0.2108403151024216,0.020241152676062225
75,8.877,45.375,0.7137255657402211,0.4132001651154259,-0.29265300696010244,-0.9563213955015574,0.03389962529126997,-0.16967411929031856,0.20670221359953184,-0.010882331852209506
76,8.877,45.441,0.7389353697388731,0.39365889984320174,-0.2655177458812287,-0.9848996309356199,0.016548006368155753,-0.18446104292106574,0.17547630665551564,-0.026695590091452268
77,8.877,45.507,0.728037385992791,0.3561538876719996,-0.237067513784667,-0.974892577561262,0.00724894360933373,-0.1751062010177778,0.1038445978706801,-0.009068139621727906
78,8.877,45.573,0.6891771758696666,0.3339639617272,0.04283714476034818,-0.9541421025380841,0.004967735540216807,-0.25843819678577484,-0.20009474820723672,0.013837526020755926
79,8.877,45.639,0.6797705334800802,0.3457424358465585,0.08454540826745786,-0.9302270971669929,0.009642706347581244,-0.24000744656775977,-0.24118769396866063,0.09831224207861156
80,8.877,45.705,0.6306392560781067,0.3763379207182652,0.10841083767581428,-0.9364980712376454,0.023592352139468226,0.2485014114393227,-0.2592689994934925,0.10515669077676164
81,8.877,45.771,0.5084571650287449,0.3850675322682317,0.18796820971079825,-0.47184056791586837,0.044440014023207366,0.3609204465915118,-0.24904465010159016,0.09071705653544927
82,8.877,45.837,0.3757450586752853,0.34381999441831546,0.30784816821342426,-0.39456293054819164,0.07881625529780524,0.43417741294988377,-0.18246333971939743,0.057487179126305285
83,8.877,45.903,0.1780068775461532,0.28990261249989446,0.380199043945842,-0.4048544095186831,0.025592107974694828,0.5991004914936109,-0.12192869255669728,0.016648501256550867
84,8.877,45.969,0.0839599114507296,0.2577171784184241,0.40411148536954183,-0.3915644420922729,-0.015332772339134257,0.6002245688242346,-0.08260554201754175,-0.016997998697102352
85,8.877,46.035,0.0423880673027853,0.24632815876266873,0.4040295677769622,-0.36474483395305307,-0.04436352626721785,0.6850591111500669,-0.05097950103824114,-0.022258590255088053
86,8.877,46.101,0.0190952689757963,0.23809143836702562,0.4060513457321038,-0.35619440557499304,-0.0522840521476611,0.7284989349532267,-0.0323468851178511,-0.026830497733386957
87,8.943,44.913,0.259537262333305,0.23609538224908017,-0.44620862081685475,-0.7520200006727619,-0.23280575198017517,-0.09089005917429308,0.7672828764993684,0.15231133647593442
88,8.943,44.979,0.3481323256179295,0.25031553587253746,-0.43397338100888017,-0.7669217147082354,-0.21368208987366383,-0.085220450299178,0.7467183384341483,0.13714005712760516
89,8.943,45.045,0.4368672137803553,0.2675091953520322,-0.42405330149858805,-0.7823260073110865,-0.09945069625218825,-0.09174014854444534,0.6825624840252156,0.12147554344749925
90,8.943,45.111,0.507662226155923,0.28314520624137196,-0.4159527330635125,-0.7964570555144479,-0.037930327663832086,-0.09082516370430894,0.5038094901472316,0.10243041666108872
91,8.943,45.177,0.5609627324270541,0.30655646147245796,-0.4011431350771937,-0.8230305797796672,0.004890357904817483,-0.08655096041472012,0.0539016111837166,0.07436013465652103
92,8.943,45.243,0.5983165851643124,0.33469106136456817,-0.3729432411275506,-0.8779185895947585,0.01272240949089563,-0.09479172135449794,0.1636914310005045,0.0451039485465219
93,8.943,45.309,0.6395701577425628,0.3621429799493008,-0.3291306254333025,-0.9632791929574778,0.07518133658643786,-0.0601113549645441,0.2741850312952385,0.02025140314207846
94,8.943,45.375,0.7422179195537354,0.3709018900295908,-0.28504525972867345,-1.0102900685855332,0.025036311812738445,-0.20413243660387648,0.23412469884303408,-0.0028156811172333875
95,8.943,45.441,0.7591514180842507,0.3465634505437557,-0.2687259793941682,-1.0029034722855934,0.021343055645982434,-0.22664780866463807,0.17974803421257457,-0.00517390883891851
96,8.943,45.507,0.7483218504323059,0.3197462537557114,-0.25476993936261466,-0.9916832031748772,0.020509060773191996,-0.19118824421618247,0.06765312175686738,0.012015490784798695
97,8.943,45.573,0.7239617852155766,0.3031354195970085,0.0262613978127039,-0.9760817014590757,0.015497153222402901,-0.24447010400805966,-0.21274448767168536,0.02345274594674412
98,8.943,45.639,0.6498573164347952,0.31391686900347204,0.11882122694508979,-0.9537095352468299,0.014096498857587403,-0.3001017674801836,-0.259565272294513,0.09442617979012127
99,8.943,45.705,0.6607528149803085,0.3569010010509958,0.1259538604558934,-0.948270088086775,0.025182656165295296,-0.0729398240164879,-0.3161828322348959,0.11069291451245644
100,8.943,45.771,0.5668470288598676,0.371629142444468,0.2414589556647759,-0.7302153316021064,0.05383790372360817,0.3354057024382877,-0.3118333680390388,0.07941985760121209
101,8.943,45.837,0.3581829929832263,0.32422722726411857,0.37395032199169354,-0.4968418108175012,0.10333449867333774,0.502863339057093,-0.23830858450636982,0.03256539915517861
102,8.943,45.903,0.1806265205497506,0.26752356022646717,0.43290548631242176,-0.4710242595748157,0.1339744841022246,0.5875662984765575,-0.19304805302307115,-0.001388207721651911
103,8.943,45.969,0.0854716984099947,0.247867852792241,0.44058138876808617,-0.4513363999669372,0.13446049669058888,0.5091391236467422,-0.1893338591263926,-0.015340995072066904
104,9.009,44.913,0.2319295857143538,0.24564224682066305,-0.4354003289238437,-0.7770462843916148,-0.007061464307635489,-0.0962127921726227,0.7367075605595945,0.11373933868606712
105,9.009,44.979,0.3073338249274477,0.24432140343878117,-0.4312886633584544,-0.8014456756600968,-0.10026800953617637,-0.07956820740224546,0.7380590710178216,0.11745476655272825
106,9.009,45.045,0.4181804758085415,0.2497773452926553,-0.42559882232894314,-0.8268117935474404,-0.11484132622544974,-0.0900966263047309,0.7281773362268054,0.10895261966484199
