ATTRIBUTE,Bandwidth
Intercept,11.0
AGRI_AREA_BLOCK,7.0
BUILT_AREA_BLOCK,9.0
NAT_AREA_BLOCK,7.0
INDUSTRIAL_AREA_BLOCK,11.0
SIARL_2_SURR,7.0
SIARL_9_BLOCK,7.0
ROADS_BLOCK,7.0
