fid,X,Y,f,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,8.481,45.309,0.3448275862068966,-0.22357164127844872,0.4760234379292948,-0.9198056702145512,0.3930183283150571,0.1567105260712552,-0.008848748343483426,0.4842722320621512
2,8.547,45.177,0.3448275862068966,-0.23584181669202292,0.4694249765901627,-0.9119529071955641,0.41424363082200566,0.16136063269493503,-0.007564582170971064,0.4920173622819791
3,8.547,45.243,0.3620689655172414,-0.2248295939474256,0.476385928666862,-0.9214956114707356,0.3969627471059852,0.16547387496776048,-0.015785776363508742,0.4841221621436474
4,8.547,45.309,0.3620689655172414,-0.22603087412180675,0.47603208741465913,-0.9200875794582194,0.39193518156667095,0.16437516458523796,-0.009364904416408047,0.4839815017038757
5,8.547,45.375,0.3620689655172414,-0.23402938514501637,0.4730788047540224,-0.9163834318379176,0.3969810750494845,0.18180039690051092,-0.0009676353400905808,0.48616536010524897
6,8.547,45.771,0.2586206896551724,-2.1953011109000107,2.290665473407395,0.04459850849572718,0.9113023882290976,-7.237750473068992,1.146270643593109,-0.459182129363701
7,8.547,45.837,0.2068965517241379,-2.299225316073676,2.3689629371561747,0.04200046390206599,0.5178220251562523,-7.252685543947477,1.2057375088551003,-0.4454580706028628
8,8.547,45.903,0.1551724137931034,-2.3577310010427452,2.4458102154690313,-0.1776783699067873,0.11159587344863751,-7.2170347306816724,1.189093377534988,-0.4637748916577644
9,8.613,45.045,0.3448275862068966,-0.2789117594270175,0.448418019394888,-0.8823056799610505,0.44343692652173067,0.30685590229540544,0.0030726750745780178,0.5225530936413592
10,8.613,45.111,0.3448275862068966,-0.265617791471378,0.45680550720090096,-0.8950932685752642,0.4341500280889411,0.21679590963456535,-0.007572776127005925,0.5069148861267024
11,8.613,45.177,0.3620689655172414,-0.24807204815863626,0.46881217904750894,-0.9130233912304251,0.413357921686184,0.12998937210001638,-0.018319698412365925,0.4914238826052566
12,8.613,45.243,0.3620689655172414,-0.2430856901373917,0.47506054048509405,-0.9223692887861237,0.3965997829463155,0.14439929144489594,-0.020142920873958498,0.4831111611987154
13,8.613,45.309,0.3620689655172414,-0.2460695361947825,0.4740278897290078,-0.9204590990266007,0.39461335251086793,0.163003512942337,-0.009678584044336375,0.48301191801855015
14,8.613,45.375,0.3620689655172414,-0.24818914949630144,0.4712326998553763,-0.9160081733061696,0.4034723669532721,0.18950685664751615,0.0018476409398074205,0.4855873073048186
15,8.613,45.705,0.2758620689655172,-2.004212640081216,2.2045562545631947,-0.39472164065678716,1.036520385936656,-7.054578185655766,1.0695583762757401,-0.5046936054976608
16,8.613,45.771,0.2758620689655172,-2.123025571108329,2.239789027271018,-0.15270571832292695,0.9481921137194992,-7.330686602211968,1.0840990371561836,-0.4663662265228934
17,8.613,45.837,0.2586206896551724,-2.2202431448693285,2.3091728078383222,-0.16776649900064575,0.5370812562247418,-7.439100915874274,1.0860461215235233,-0.44778222671039547
18,8.613,45.903,0.1551724137931034,-2.3425341674779707,2.4464560524612367,-0.45350276612727436,-0.12729618903122572,-7.296637919014437,1.1151280212857835,-0.46778921929611095
19,8.613,45.969,0.0862068965517241,-2.4548049012078534,2.5677604240178598,-0.7784298917282441,-0.26602256462284674,-7.286959435908046,1.1233672258287957,-0.5020125108974411
20,8.679,44.979,0.3448275862068966,-0.29563120397728027,0.44682251974737125,-0.8817089090088379,0.43317034205086336,0.391461733148332,-0.05202041481019937,0.5300887524389026
21,8.679,45.045,0.3448275862068966,-0.29122286652556156,0.44790790826467675,-0.8832440014231908,0.43792282615219025,0.3061656028215067,-0.013275427085982585,0.5257180400705654
