ATTRIBUTE,Bandwidth
Intercept,7.0
AGRI_AREA_SURR,7.0
BUILT_AREA_SURR,746.0
NAT_AREA_BLOCK,746.0
INDUSTRIAL_AREA_BLOCK,746.0
SIARL_2_BLOCK,7.0
SIARL_9_SURR,7.0
