fid,X,Y,f,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
234,9.339,45.771,0.8518518518518519,-17.453481700652638,29.029363566122296,5.676172261515225,-2.600262884652433,0.6356468578993465,-49.66786178881297,-5.22054824248017
235,9.339,45.837,0.7037037037037037,-22.37643745549333,26.967460850204695,4.898683561480432,-2.7516466057456004,0.6359060832659778,-55.00937578912974,-8.939440902497289
236,9.339,45.903,0.5925925925925926,-24.934010609698955,25.165394529585146,7.122774174624717,-2.4844558420644383,0.6361574720447896,-59.09983667225031,-13.30969577718226
237,9.339,45.969,0.3333333333333333,-26.474143343510356,23.806837852963795,10.037996773163789,-2.3871220423414705,0.6364011902129596,-62.746899966356395,-17.84627579018865
238,9.339,46.035,0.3333333333333333,-28.56656439949576,23.4945695878844,10.947931737703325,-2.992640637677395,0.6366374220530063,-64.27555982905713,-21.299072728371993
239,9.339,46.101,0.3333333333333333,-31.124750467861023,24.025638094787315,12.484416881825567,-4.655736787936196,0.6368663651743096,-63.88455534383163,-23.824865005908173
240,9.339,46.167,0.1481481481481481,-31.9972339302414,23.22315592620255,13.97909097551844,-6.497116240420711,0.6370882264176353,-64.79359358381208,-28.63151793452414
241,9.339,46.233,0.037037037037037,-33.382284537049756,23.63608572770531,15.30397275476588,-7.493056705622243,0.6373032185013539,-64.13198685018804,-32.58407889374976
242,9.339,46.299,0.0,-31.532973113767735,21.582755338894152,16.31921338003485,-7.994189660362698,0.6375115572893245,-67.42622452655911,-40.099784202965026
243,9.339,46.365,0.0,-32.13662152788605,21.906857175999434,17.5106209881567,-8.499279034715249,0.6377134595788396,-66.75152269889414,-42.3559527535448
244,9.339,46.431,0.0,-30.600122359174012,20.33633299707584,18.392127120099552,-9.017598933461448,0.6379091413227201,-68.86235294411567,-46.08319471705199
245,9.339,46.497,0.0,-31.68923022806554,21.286228469718303,18.902462209294583,-9.082978626058162,0.638098816213149,-67.31383075158759,-45.13837321274275
246,9.405,45.045,0.8148148148148148,-1.1130073743284896,3.748980548038632,1.4232853676203228,2.021858659402348,0.632056882021554,0.026670432284446384,0.8601523488596796
247,9.405,45.111,0.8518518518518519,-1.5464216955588443,3.896698158882301,1.7255188994106598,1.9808868604633765,0.6324241861568618,0.03943852878918278,0.2660595410020995
248,9.405,45.177,0.8888888888888888,-1.9807567577387102,4.076660828560065,2.90060102014125,2.0019572988829673,0.632785808647399,0.21829459742472393,0.22526625011460755
249,9.405,45.243,0.925925925925926,-2.837820094183169,4.14527947224661,3.636779115537621,2.1185245381945847,0.6331405897139539,0.3700496685414787,0.21410604416199075
250,9.405,45.309,0.925925925925926,-3.7745907157651475,4.370183223782279,4.363442369258351,2.2555361282841497,0.6334876540738564,-1.5144839729617139,0.35605777728066657
251,9.405,45.375,0.925925925925926,-4.769027810314272,4.82675403454534,4.565768088328934,2.398231274189166,0.63382636180451,-0.8880799003187337,0.6225232489426888
