fid,X,Y,I,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,1.227989821437358,-0.7498014035139224,2.8713836599641174,-0.3226589162306556,1.8417836984283296,0.7355023823356369,0.09665794608770595,1.6199988219595665,0.7929183058578931
2,8.547,45.177,1.347173409758214,-0.762935041337252,2.8674650122153484,-0.296548058624169,1.8817163965215762,0.771310772069496,0.09515759467079295,1.6069454676650081,0.3305911841001369
3,8.547,45.243,1.271010743895972,-0.7535432850916528,2.8673334546633296,-0.3049130441168023,1.8616820509581906,0.7578526778342314,0.09570788617429982,1.623458161833794,0.5887964887406043
4,8.547,45.309,1.2742057048684006,-0.7481060990926982,2.884769844304752,-0.3528214618432614,1.8266567421970537,0.7046657999155652,0.06677971765049663,1.581627775780286,0.6358994236723119
5,8.547,45.375,1.32689355248547,-0.7501701786494466,2.889426164386186,-0.3605971816646224,1.8234214725591582,0.6928900372255782,0.06264977821472949,1.5819591070041557,0.6594622939773624
6,8.547,45.771,0.7730774585441209,-3.958169186421856,-4.618085678965135,2.2975392126008725,-0.1398086112370337,-1.2877360031286575,-5.028968671633101,7.663417269475912,1.1609337570669354
7,8.547,45.837,0.6466079200558954,-4.077754621519963,-4.442922622191416,2.5829561717532536,-0.5823024162237381,-2.6013884418749393,-4.994309872744484,7.7488283581025685,1.3981218311571446
8,8.547,45.903,0.5303801956336928,-4.231973039812618,-4.2508223700611545,3.0124022638495855,-0.5437668625819143,-3.2812749023903796,-4.99360856031042,7.824764281067985,1.5453697475558443
9,8.613,45.045,1.3832483857408968,-0.8045334301670093,2.8407743267605037,-0.21446138981268198,1.9922702584967618,0.8620511639090737,0.17724721577340394,1.4135556567249532,0.1787367482871867
10,8.613,45.111,1.3954128831608767,-0.7921174058680841,2.860296248658285,-0.2611576516984776,1.9394540767382293,0.8124745868194795,0.10305501952433407,1.5170345773746483,0.22374614538916238
11,8.613,45.177,1.3688111462069192,-0.7775931381211033,2.8780609722072388,-0.30549078631334736,1.886710778311972,0.7616634475279592,0.05914063910929062,1.5534178998875856,0.28227178794638963
12,8.613,45.243,1.346084911505715,-0.7734707047548085,2.895058575976271,-0.34661496361526317,1.8470934841836981,0.7122272772031488,0.029055429345351165,1.5456213071392397,0.4590299959876285
13,8.613,45.309,1.3529681546924814,-0.7631880006131524,2.908259807619355,-0.38634490699973834,1.8205248133927665,0.6645146315104971,0.019567430990318897,1.538324731124182,0.6101237844498485
14,8.613,45.375,1.4265743416081085,-0.7550165145884518,2.905516336873724,-0.39128840071368676,1.8151744134639172,0.6580754041390051,0.03031319145361342,1.5461509122078714,0.5901365774720707
15,8.613,45.705,1.1847807297893098,-3.7595873478964252,-4.494728533752555,1.8629300268149653,3.115400916463796,0.14498877909240385,-4.964263364638633,7.71687485095642,1.210973733368309
16,8.613,45.771,0.9729534173195312,-3.931363653216378,-4.532359115725161,2.1344088802996355,2.236140778847134,-0.12188166387825564,-4.995142689668341,7.711758498268337,1.0732494064114286
17,8.613,45.837,0.744533461996449,-4.125068034684052,-4.332348045299671,2.5129537959659443,2.6702271309701113,-1.9711718055580312,-5.035553269141857,7.760412135883689,1.106004023798325
18,8.613,45.903,0.7460834849317342,-4.338094776785582,-4.078543249926703,3.1325240380684636,1.0007527034571084,-3.796666328153263,-5.1019545175849075,7.8166774356717985,1.477936702306671
19,8.613,45.969,0.3983362635523583,-4.556399588597907,-3.6127607370348933,3.2530263858588824,2.669189085897158,-3.471498412700534,-5.016365920320953,8.061232817789923,1.6219899050996989
20,8.679,44.979,1.3421657260603803,-0.8213384148502023,2.847034992636618,-0.21145136943035303,2.019158918273101,0.8618209321103527,0.15015852562610915,0.8441098265038718,0.06516747082229193
