fid,X,Y,I,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.8934372229428177,0.12157642332969464,-0.062156467135226184,0.081505829613196,0.295044251330541
2,8.547,45.177,0.902973135599739,0.09565072945815456,-0.0542431494673214,0.09025189123143669,0.008575477327415915
3,8.547,45.243,0.9000359729422482,0.10834105262801545,-0.059536407960828125,0.08895376007790093,0.19068546133001382
4,8.547,45.309,0.9061104949697276,0.12959974482411118,-0.06384689329631182,0.07122448300703144,0.30794896206238126
5,8.547,45.375,0.9351635627340228,0.14106102708656476,-0.06750958442398262,0.058258578456035985,0.3473805877260907
6,8.547,45.771,0.605889252375763,-0.4223378436680755,-0.020536196807878312,-0.03254065005550995,0.3323839701725384
7,8.547,45.837,0.554603241491203,-0.5346043482793341,-0.02950865393708868,-0.07182173130201142,0.3233621648219105
8,8.547,45.903,0.4144970649379325,-0.5675025027922918,-0.028338877186122262,0.24607603778084192,0.3079802255371996
9,8.613,45.045,0.8969467681559683,0.05526444116602282,-0.04140882246370109,0.091965956997059,-0.17696294540479188
10,8.613,45.111,0.8908135619006682,0.0718733698001906,-0.04585753044486155,0.09311035228839955,-0.10647216036844045
11,8.613,45.177,0.8881383500938219,0.08625334270865716,-0.052105539161352125,0.10036821967656454,0.007645639527681143
12,8.613,45.243,0.8812102595214276,0.10749170582362215,-0.05985727695202217,0.09479970809984925,0.1657220938111372
13,8.613,45.309,0.9379489650419328,0.14413688935434685,-0.06636032497981237,0.05264421594202261,0.3184214306920097
14,8.613,45.375,0.9809144511488675,0.16636344780100215,-0.07238168019348577,0.019603331027949138,0.3552825716984312
15,8.613,45.705,0.8339800895831511,-0.22586533304372589,-0.014494780594802545,0.015300454139747873,0.3431901208818338
16,8.613,45.771,0.7232266233215974,-0.3355910159542612,-0.008566698313855517,0.007875739240603481,0.3360112474058418
17,8.613,45.837,0.5888742966411292,-0.47642613863822497,-0.03351918849225671,-0.10241357599269578,0.3239199277489545
18,8.613,45.903,0.4190458044573118,-0.5713804382683917,-0.036975759813890306,0.40192773322808545,0.3121336443803555
19,8.613,45.969,0.365350685152256,-0.636128158237864,-0.02165680095716946,0.6381866335267146,0.2926295042109816
20,8.679,44.979,0.8474747035117981,0.01668486965476033,-0.04429396216386924,0.11736532955529083,-0.22579196470986695
21,8.679,45.045,0.8593996589434629,0.029892666621312097,-0.04082604593318269,0.11237905945356207,-0.19163459031553884
22,8.679,45.111,0.8621608430699145,0.05056037261180242,-0.042515942128550824,0.11272562527614174,-0.1215565798153456
23,8.679,45.177,0.8915886920121879,0.07821661986860357,-0.04917706872818532,0.11291617041163764,-0.0052460854539506125
24,8.679,45.243,0.9203434297469548,0.12195278966597665,-0.05921974991608138,0.09466588785936844,0.19996360972948035
25,8.679,45.309,0.9934681153169512,0.1712741498803011,-0.06960143510836139,0.046289685280995196,0.333486718073431
26,8.679,45.573,1.0550118533775807,0.07631946437479996,-0.10563572547103962,0.009150746041822762,0.35499087404139207
27,8.679,45.639,0.9985893041291716,-0.026431353427233014,-0.0633475874494952,0.004262734112681707,0.3523756314981222
28,8.679,45.705,0.9522248933942052,-0.10561499748529139,-0.024417673103902943,0.011027494108026083,0.34834381007410364
29,8.679,45.771,0.893115505238972,-0.1893941943321827,-0.02677594226864345,0.027653528130366693,0.34192510264258413
30,8.679,45.837,0.7243807316382561,-0.3431166232417653,-0.06485927402959717,-0.015720366972947986,0.3264403138569827
31,8.679,45.903,0.4754804220126175,-0.5126427097255275,-0.060564756262995637,0.49427541459377683,0.3125072228215767
32,8.679,45.969,0.3325379115594752,-0.6098592984419742,-0.03710707306867195,0.6081424798994693,0.290819964009432
33,8.679,46.035,0.2051693787518042,-0.6479621149122029,-0.02836431139102868,0.6281837648052995,0.27511702851455155
34,8.679,46.101,0.13108710361745,-0.63938548346934,-0.03249763266152328,0.6005542922928199,0.25774658119730565
35,8.745,44.979,0.7916299202849822,-0.014206520575726148,-0.060983757960285274,0.1451381776506171,-0.23606199855270504
36,8.745,45.045,0.8325335834308304,-0.006750564414784105,-0.047078468948999266,0.14193269015118737,-0.2129819358425393
37,8.745,45.111,0.8566630192691326,0.02135998253060234,-0.04292464997962787,0.13917889786525783,-0.14416057189945036
38,8.745,45.177,0.8719188422346991,0.07089552756001914,-0.04755469612809968,0.12129139126901825,-0.0016439789036635354
39,8.745,45.243,0.9733187811397468,0.1331470450789464,-0.05703985745139584,0.07384131721841555,0.2019280927135534
40,8.745,45.309,1.054311973145253,0.20062178068433273,-0.06908225437504478,0.0046689771959758895,0.3332004782138278
41,8.745,45.375,1.1233498962084378,0.27334992710061956,-0.08733797407338117,0.1134259780217869,0.36666792892450006
42,8.745,45.507,1.2630107058919653,0.2499039537036292,-0.1566441497248722,0.01946483525900213,0.36046888875400135
43,8.745,45.573,1.2621112073360417,0.12902742533472536,-0.1522829395603748,0.010918963456447973,0.35840198653280175
44,8.745,45.639,1.1970185194645055,0.025414114960711217,-0.11909829374607098,0.006736324731418619,0.35650162458160456
45,8.745,45.705,1.115395476775262,-0.04716649123114144,-0.0817471347041403,0.006428234390541393,0.35274250316538713
46,8.745,45.771,0.9956357537861256,-0.11619999693685296,-0.08792896984477083,0.015829131742447666,0.3465506446518517
47,8.745,45.837,0.824294952589527,-0.2585303467074338,-0.12236496601143634,0.04258708264474868,0.3350556670212428
48,8.745,45.903,0.5341212150515002,-0.42857602956516416,-0.10473631577753956,0.43352697505744914,0.314953603356922
49,8.745,45.969,0.3754057537553729,-0.5400441266157692,-0.06845611920542302,0.4954125683079007,0.29527587919099996
50,8.745,46.035,0.311389225173095,-0.5935794276170479,-0.05012081547644323,0.544470703842385,0.2653827498944128
51,8.745,46.101,0.1880452854805179,-0.6124236117066267,-0.04236316452074035,0.5606324919755012,0.24913990112014286
52,8.811,45.045,0.8326121553385872,-0.010820623612781492,-0.07793828907955347,0.19114262083559985,-0.22543207089939116
53,8.811,45.111,0.838366946947166,0.01645164129661816,-0.06080112660608583,0.18709386859741584,-0.17297809491699678
54,8.811,45.177,0.8941931624071807,0.06759618524108857,-0.05570790222485601,0.1698449650444146,-0.02435736965615493
55,8.811,45.243,0.9768495339459686,0.1422770243632529,-0.06118445410289031,0.05900764982347746,0.2246747823053215
56,8.811,45.309,1.0655005653523129,0.22911023300251163,-0.08022444972180628,-0.05133359271770306,0.3492003326333826
57,8.811,45.375,1.168796314773103,0.3294239727090174,-0.12147159354086437,0.1353869534801318,0.36724333096785855
58,8.811,45.441,1.2963528091434229,0.3787165895660396,-0.17508720913987705,0.043567027490828025,0.3660456305651588
59,8.811,45.507,1.367553283819542,0.304014440344441,-0.20262283672189685,0.009229747670615816,0.36385411518215505
60,8.811,45.573,1.3724188692285544,0.1911038089827745,-0.19537515139173517,0.0077833348160414526,0.3625823906125413
61,8.811,45.639,1.3486903755431805,0.09758596824847027,-0.17309187046664942,0.01193566074646272,0.361200639504099
62,8.811,45.705,1.2296356493035814,0.005685111595221804,-0.1591250551240422,0.01324934894025709,0.3584888399677295
63,8.811,45.771,1.067954506327952,-0.08954996949995869,-0.15806586322035077,0.013201635006095766,0.35356432702411245
64,8.811,45.837,0.8912680569337228,-0.2381084344594212,-0.15797868118860353,0.07918304882979835,0.342911982923737
65,8.811,45.903,0.5730151102374367,-0.4030748629495444,-0.12601183113871833,0.398487591135163,0.32282418719320805
66,8.811,45.969,0.3772008059582993,-0.4843058246208976,-0.08936256435826515,0.40610551225454106,0.29267354458689165
67,8.811,46.035,0.3246813140031515,-0.5304235229455747,-0.06244863103846757,0.46135158686937433,0.267743518600978
68,8.811,46.101,0.1363428345865545,-0.5544179813018371,-0.05237395766795447,0.4873325220311624,0.24804778578126593
69,8.877,44.979,0.8367919161071139,-0.02381033423076298,-0.1365159990131543,0.3205578248684877,-0.24448655635016991
70,8.877,45.045,0.883683895380702,0.018715307061368418,-0.1227953212862093,0.341921487679867,-0.2303569741972475
71,8.877,45.111,0.8802972059025196,0.04861551854603559,-0.09687735722429006,0.2561963086177054,-0.18740869828962292
72,8.877,45.177,0.920912831375197,0.09989430979956666,-0.07911248622114608,0.19154170124430953,-0.05192019318887543
73,8.877,45.243,1.0078883294545329,0.18920456983323186,-0.08173228424444198,0.04145108770494511,0.21542234806477517
74,8.877,45.309,1.125176344547401,0.3007131091803724,-0.11690947490906729,-0.04709698439489901,0.3451721842815437
75,8.877,45.375,1.2326435385424412,0.380853213070096,-0.18167454855401513,0.06205692524633351,0.36127780206211213
76,8.877,45.441,1.3687777776164225,0.40826198775436007,-0.22878410385868309,0.03495109858825163,0.36475896467389873
77,8.877,45.507,1.4687205769116434,0.33892248286022086,-0.23701867850655936,-0.0006229170674883146,0.3654989556121474
78,8.877,45.573,1.4890533938451278,0.2538064270708129,-0.22732937396178854,0.002506483854116979,0.36552118543166945
79,8.877,45.639,1.440553749249981,0.1958584164193351,-0.21400443149977882,0.024092125229377453,0.3649299462945042
80,8.877,45.705,1.3146898729250045,0.09455599825570979,-0.20020066729443456,0.039327430725601825,0.3629281797939976
81,8.877,45.771,1.1248525357452173,-0.04749608868333914,-0.17573020682708862,0.04121381562706786,0.3581566453660206
82,8.877,45.837,0.9046240206612334,-0.23355219876611716,-0.1506036930526784,0.08623589219387362,0.3471834766225792
83,8.877,45.903,0.6136105365899996,-0.40278395698927616,-0.11425079450172455,0.3319895974066204,0.32561479950468614
84,8.877,45.969,0.4031991498131618,-0.4711931387491168,-0.0842341426563386,0.37801436224870555,0.29250305291724393
85,8.877,46.035,0.2961361606776757,-0.49825607541197475,-0.06887730427242705,0.41621630748865124,0.2670813515857639
86,8.877,46.101,0.1791369062441058,-0.519113870648509,-0.06354958980747555,0.44299143539031455,0.23656889738335105
87,8.943,44.913,0.5481838662038001,-0.201696854768042,-0.13939518379805702,0.27982707973703047,-0.25197980037916584
88,8.943,44.979,0.7317523871765066,-0.09252770493637938,-0.15091175682874103,0.3112433412103345,-0.24611587193818568
89,8.943,45.045,0.8738827543360257,0.01569918918590521,-0.15281527273029244,0.2983004741537457,-0.22948669367568125
90,8.943,45.111,0.9122184004181884,0.078227913667866,-0.14328793467818973,0.14760599813565917,-0.18557832234389898
91,8.943,45.177,0.9686253479967296,0.14063030415660732,-0.12974284525004165,0.07204547284850239,-0.050918928942384555
92,8.943,45.243,1.0600934003042903,0.24544912331699628,-0.14036794747823714,-0.04168506257928334,0.20596014223176312
93,8.943,45.309,1.163282043964827,0.3416232546962335,-0.18713881907837254,-0.08864979968240211,0.3340880056401245
94,8.943,45.375,1.2680337317261854,0.3854833264882047,-0.2354477477153714,-0.024421733303084003,0.3548587516429732
95,8.943,45.441,1.4236164311025703,0.3894926510752586,-0.2583810815960502,-0.013083023508482176,0.3597852205938387
96,8.943,45.507,1.509583708342901,0.36004752621587055,-0.25958959367110224,-0.011542517962914771,0.36354847550112984
97,8.943,45.573,1.5327324932131907,0.3220267369301433,-0.25778222815799634,0.0015264019849925833,0.36587330727765055
98,8.943,45.639,1.4874920997414969,0.2877249725697379,-0.25312479566427204,0.03321460034649101,0.36640178990299804
99,8.943,45.705,1.365590439513112,0.18370993038603134,-0.24216154502580947,0.06854160128419182,0.36479026206250836
