fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.3448275862068966,0.19821882895671122,-0.5988201638039279,1.1571426665968705,-0.7273521610956536,-1.1864693145731482,-0.28394367470000004,-0.07696749831773339,0.35481948434213184
2,8.547,45.177,0.3448275862068966,0.21168113682187906,-0.5640831884152432,1.1254746860952234,-0.7377542576078614,-1.2003449144322078,-0.3171257562004943,-0.09713968997324213,0.054952643753470296
3,8.547,45.243,0.3620689655172414,0.20721612046155896,-0.5726200793633067,1.1351202677933405,-0.7352833407512289,-1.2211034544721078,-0.3299451345349951,-0.11215256449792535,0.18409690203588777
4,8.547,45.309,0.3620689655172414,0.2025155922552154,-0.5857521514610685,1.145503020170134,-0.7315526066767737,-1.2177610948357946,-0.31230039687085615,-0.10815781027150312,0.27117440123742054
5,8.547,45.375,0.3620689655172414,0.20001140818018215,-0.5913622268027049,1.151832755977484,-0.729099697729965,-1.2055043092894064,-0.299899140536254,-0.08939869231302452,0.29101804743239834
6,8.547,45.771,0.2586206896551724,-0.31491083877483894,0.9334745988799753,0.4126493208003077,-0.05835775102840866,-0.15201281655738944,-0.4980704434305101,-0.4618027821288012,0.012805653774209183
7,8.547,45.837,0.2068965517241379,-0.34259733954404914,0.9858981353652689,0.43132339460208935,-0.059652252734357335,-0.10689844535224273,-0.47909119656893856,-0.41907224519769004,-0.025642622205132276
8,8.547,45.903,0.1551724137931034,-0.37920897402388687,1.0422173543512283,0.4348374292848291,-0.05113804053809377,-0.07445571517589154,-0.4343522255766278,-0.35676306157686033,-0.06210277758444314
9,8.613,45.045,0.3448275862068966,0.23032253369690406,-0.5207479498264043,1.0863420416983696,-0.7458295124788763,-1.163049371701856,-0.2657582558442424,-0.03901411514387097,-0.009806407607178439
10,8.613,45.111,0.3448275862068966,0.22354682513453766,-0.5373324557052094,1.100201023696624,-0.7430032665188419,-1.1711170915630866,-0.30487514152303674,-0.08921716522926487,0.017313284104076655
