fid,X,Y,I,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,8.481,45.309,1.08257430912816,-0.863354520581284,-0.5753852762184906,-3.8519180543078475,-1.506925070962045,0.6501795659961443,0.9746519208645337,2.171461962386135
2,8.547,45.177,1.0833825705424225,-0.9967650367632761,-0.7837302391059812,-3.851555618708985,-1.5074731877284355,0.6505665618562303,1.007127456466572,2.2959877493783516
3,8.547,45.243,1.0593091939361552,-0.9018244548566519,-0.6554191551423235,-3.8517016728176263,-1.507218934516764,0.6504149232059628,0.9417436801128765,2.193278631779034
4,8.547,45.309,1.0872510728064135,-0.8033330686844546,-0.5549386156463771,-3.851841561850088,-1.5069767706583665,0.650268426991677,0.9119045826621093,2.113464992594668
5,8.547,45.375,1.130182003884078,-0.7069097542599925,-0.5104402765183322,-3.8519755569363303,-1.5067462224252313,0.6501268895072999,0.833369125868115,2.0303143372760646
6,8.547,45.771,0.65806930419789,6.877527119602091,6.02535272100143,-3.852669610418235,-1.5055802576590878,0.6493721569224576,16.18671873391387,-15.321081929322286
7,8.547,45.837,0.6010554042039342,7.0431776533131325,6.059563296490719,-3.8527690631804288,-1.5054178626708048,0.6492606205866118,16.533778124572052,-15.148639020177558
8,8.547,45.903,0.5303801956336928,7.219838635548305,5.973673315052958,-3.852864422324428,-1.505263437143367,0.649152760443381,16.88626680507388,-14.906147920337418
9,8.613,45.045,1.1057697803641766,-1.25361229912917,-1.1476403183048343,-3.851131917669165,-1.5081182958526078,0.6510121230152506,0.9613946438841264,2.1360438930776167
10,8.613,45.111,1.113720640481033,-1.1323644219375852,-1.003196842887414,-3.85129925829438,-1.5078264622118962,0.6508414583565522,0.9406666254609856,2.1287431425463943
11,8.613,45.177,1.1242640472832106,-0.9722256374664587,-0.8413825567753679,-3.8514592735173667,-1.5075485822098877,0.6506767904382477,0.9701716417194108,2.226975995677253
12,8.613,45.243,1.1017420728473029,-0.7993483832691086,-0.7072840785513919,-3.8516122925046687,-1.5072841726590798,0.6505179029705015,0.9554175297429363,2.1581470703235044
13,8.613,45.309,1.1395328024314062,-0.6951474952736472,-0.6292983577460645,-3.851758631957149,-1.5070327267579433,0.6503645848398263,0.969173392252847,2.22711187073032
14,8.613,45.375,1.1966343209287649,-0.59995649234561,-0.5172023564637002,-3.8518985960863588,-1.5067937232983903,0.6502166304466195,0.7954733984298656,1.9938023793247754
15,8.613,45.705,1.0003104411965258,6.441980241579197,5.762212505606522,-3.8525125756725003,-1.5057669470301986,0.6495505303771446,15.747991059028632,-15.073046958395263
16,8.613,45.771,0.863805736615604,7.002425988864507,5.66977673769495,-3.852619995223791,-1.5055916517688404,0.649430772812496,15.784187111346263,-15.542885027809078
17,8.613,45.837,0.6166396927438695,7.202463788217665,5.808032308636359,-3.852722833853418,-1.505425238194541,0.6493151072201334,16.456677209339084,-15.204539260752853
18,8.613,45.903,0.594464440208953,7.501040221381269,5.643605052095593,-3.8528213035937857,-1.5052672506455882,0.6492033761428857,16.938489039003123,-14.87308770556054
19,8.613,45.969,0.3983362635523583,7.749217478323258,5.362509553470097,-3.8529156064913233,-1.5051172516268805,0.6490954279880724,17.51069288754979,-14.373983507156499
20,8.679,44.979,1.1093389886171356,-1.268599007574158,-1.2687836204389848,-3.850823415368125,-1.5085458991335114,0.6513372868800814,0.726872020067003,2.687414615268465
21,8.679,45.045,1.1239439312717094,-1.2859903244631925,-1.2453315508090381,-3.8510097833378603,-1.5082250948154041,0.6511494059542078,1.0710761299564253,2.142630172703499
22,8.679,45.111,1.1319674755939104,-1.0736075717842684,-1.0880730768769724,-3.851186060958331,-1.5079201996083051,0.6509697398191154,0.9223650700513715,1.9047000899416786
23,8.679,45.177,1.156457707463152,-0.8081162677340898,-0.929590196326342,-3.8513543482968897,-1.5076303206189992,0.6507966057410567,0.9000358334755147,1.8886833654011905
24,8.679,45.243,1.17767555952239,-0.46455722194394355,-0.7562734084578898,-3.85151501727299,-1.5073549309266001,0.650629760435219,0.8087955982981629,1.675378651310488
25,8.679,45.309,1.2216077003274344,-0.2356460570707905,-0.6805571310744896,-3.8516684253020044,-1.5070934740273023,0.6504689665044451,0.8548593571326636,1.8057187642286359
26,8.679,45.573,1.2653580156828603,3.8305243663892394,6.553450211151461,-3.8522160890795587,-1.5061753914628295,0.6498817839891393,7.040890884319559,-12.705460492912227
27,8.679,45.639,1.2080349371598436,5.057718336654209,5.711436590281776,-3.8523380488231025,-1.5059749067302806,0.6497479166458942,14.049878053440924,-13.931541781643467
28,8.679,45.705,1.1320662466217817,6.396286736289065,5.17398135438986,-3.852454592301642,-1.5057849056758243,0.6496188173081239,15.10229430147088,-15.012304170376613
29,8.679,45.771,0.9978894535578128,7.143192959863679,5.06999494524735,-3.852565979597298,-1.5056048484803963,0.6494942967368867,15.735150654140892,-15.282374707956375
30,8.679,45.837,0.7899378657980569,7.45834928436037,5.208570876394051,-3.8526724583190526,-1.5054342139022143,0.6493741727115392,16.70207263360259,-14.78606354749335
31,8.679,45.903,0.6308865236852288,7.914154874904922,4.942598137174794,-3.852774264063415,-1.5052725007265726,0.649258269927945,17.228737651793303,-14.513918713127897
32,8.679,45.969,0.4069192582475915,8.118818643561177,4.8832357861440014,-3.8528716208857037,-1.5051192286919992,0.6491464198700182,17.933720414360906,-13.963198230615319
33,8.679,46.035,0.3008259381062228,8.192553753594314,4.857718027010291,-3.8529647417757813,-1.504973938990955,0.6490384606599722,18.807907859656154,-13.201686691516127
34,8.679,46.101,0.3139652321603933,8.132357873985866,4.845544481799415,-3.8530538291334437,-1.5048361944285629,0.6489342368918989,19.394219358464092,-12.665924994895729
35,8.745,44.979,1.0820838353393072,-1.1670246702646594,-1.2945438163513048,-3.8506789537655552,-1.5086774032410508,0.6514978609526558,0.0232052300607336,2.8761775726657675
36,8.745,45.045,1.1153123074172584,-1.0597824005907412,-1.2738816794600893,-3.8508760373959854,-1.5083412462958488,0.6512994118694796,0.8186306025384857,2.088094445130401
37,8.745,45.111,1.139693446241301,-0.8997021758403435,-1.211693267080908,-3.851062221456416,-1.5080221332231845,0.6511097852298564,1.0892171040719716,1.9117796455438267
38,8.745,45.177,1.159381211244266,-0.6173259649662017,-1.1256365329464146,-3.8512396564859794,-1.507719216801665,0.6509272999940932,1.0741135704017497,1.917402177321798
39,8.745,45.243,1.2251780505277128,-0.1687277669579692,-0.9955054636811191,-3.8514087647864517,-1.507431922499581,0.6507516813006302,1.0348570636437184,1.953940304261638
40,8.745,45.309,1.3084663786790616,0.349017445343365,-0.9296586226001404,-3.851569951698025,-1.507159638418224,0.6505826609937255,1.1070756389959364,1.3257784789026836
41,8.745,45.375,1.366772547784818,1.164382647388609,-0.8916302691542575,-3.8517236055021837,-1.5069017294121907,0.6504199781888573,1.0772725236859158,0.5121276317221428
42,8.745,45.507,1.4210963165043546,3.0543038701346648,3.9382399228539735,-3.852009782186801,-1.506426447284156,0.650112620295194,0.6259431948933456,-10.726210437089449
43,8.745,45.573,1.4384362378189757,3.9244305549719596,6.073366994778091,-3.8521429976330874,-1.506207781467294,0.6499674629651969,3.6596878167780797,-12.577384310489364
44,8.745,45.639,1.3710579646337222,4.949514679755362,5.362685731969567,-3.8522700658180438,-1.5060009187617882,0.6498276789456393,13.267155391954947,-13.235225607029836
45,8.745,45.705,1.2372438659027294,6.88262864384584,3.7419503921637505,-3.852391293125358,-1.5058052424223183,0.649693047783462,13.904364841232226,-15.068676021633188
46,8.745,45.771,1.071522572633592,7.838194267669922,3.556067279554222,-3.8525069708468154,-1.505620154836688,0.6495633572945296,15.307576644137121,-15.251145563041838
47,8.745,45.837,0.9179809038787932,8.22164773760974,3.7891053895951723,-3.8526173757255138,-1.5054450799663726,0.6494384034785783,16.776168818156677,-14.482019971013194
