fid,X,Y,f,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.4823529411764706,0.25534761004052375,-0.31872122299764905,0.24812564187200606,-0.40567973157237813
2,8.547,45.177,0.4705882352941176,0.2475441584975942,-0.31327697521784265,0.25132409404977696,-0.15778154842924236
3,8.547,45.243,0.4823529411764706,0.25385663979936357,-0.3178304517064088,0.24692811641605966,-0.3373670708568402
4,8.547,45.309,0.5058823529411764,0.25858248350388824,-0.3211942717404622,0.24363616677808686,-0.41760322650654347
5,8.547,45.375,0.5058823529411764,0.26121993372033425,-0.322755802326231,0.24129989761312146,-0.4099982174620951
6,8.547,45.771,0.4,0.021847548513850283,0.0034169581209034204,0.10432212772208901,0.06800849529863515
7,8.547,45.837,0.3176470588235294,-0.07291135035745959,0.1996225944835865,0.4460002227549906,0.0632850560197131
8,8.547,45.903,0.2470588235294117,-0.1627210494153942,0.20958455075779622,1.02129408976933,0.044300376164512156
9,8.613,45.045,0.4705882352941176,0.22917195067985513,-0.3001849101063685,0.2609200713229203,-0.10475156558538141
10,8.613,45.111,0.4705882352941176,0.23598229442198004,-0.3044134722539293,0.2587079823261057,-0.11137629591693593
11,8.613,45.177,0.4823529411764706,0.24649247081358913,-0.31147308762125686,0.25257125158780774,-0.14710796921479202
12,8.613,45.243,0.4941176470588235,0.25726429329404726,-0.3185839548139761,0.24360476665054537,-0.2869973640345862
13,8.613,45.309,0.5058823529411764,0.26440111255177057,-0.3234741835959967,0.2364096850492421,-0.3849332487602667
14,8.613,45.375,0.5058823529411764,0.26743028674747604,-0.32598209348348844,0.23360875104342704,-0.35951393705977197
15,8.613,45.705,0.4117647058823529,0.14566542818186862,-0.23908356169915287,0.0495407014016012,0.10266556023732129
16,8.613,45.771,0.4117647058823529,0.07409290743070826,-0.07934823379370713,0.04183088302435155,0.0765760968272402
17,8.613,45.837,0.3764705882352941,-0.04253817277531058,0.20837145910555988,0.2747820502857514,0.04648692120782928
18,8.613,45.903,0.2705882352941176,-0.1746919784143871,0.1507205940250226,1.155786634966123,-0.014824329419854565
19,8.613,45.969,0.1529411764705882,-0.27765650615017823,-0.03782841201861954,1.4108295291065334,-0.1035306858718762
20,8.679,44.979,0.4705882352941176,0.23068277493177342,-0.3031091047687667,0.25066560984979164,-0.12177042693189948
21,8.679,45.045,0.4705882352941176,0.2295799633171941,-0.30097506950195785,0.2563876988840935,-0.11497048514204866
22,8.679,45.111,0.4705882352941176,0.23406516074658643,-0.30234307974227775,0.2600025377786678,-0.10694195911317748
23,8.679,45.177,0.4823529411764706,0.24825633429606772,-0.310474892143073,0.2536229106137137,-0.12781265615010606
24,8.679,45.243,0.4941176470588235,0.2608296873997015,-0.3153468423013086,0.24683780947997946,-0.21312217302447298
25,8.679,45.309,0.5058823529411764,0.271532137272284,-0.31885393019050484,0.2432975734452836,-0.13480655342081405
26,8.679,45.573,0.5058823529411764,0.33548341465584747,-0.28097090561407684,0.02574051825271599,0.1065376636024376
27,8.679,45.639,0.5058823529411764,0.287251326255375,-0.12035521730194237,0.03444687684564665,0.1170947502507779
28,8.679,45.705,0.4588235294117647,0.21656660020034757,-0.1268538974726044,0.04871960486606519,0.12549848469647057
29,8.679,45.771,0.4352941176470588,0.14035618445307124,-0.020972745657346047,0.038744379216485256,0.10896688643374824
30,8.679,45.837,0.4,0.04000984155783956,0.0028919014302979627,0.11633005025868853,0.08275193491667071
31,8.679,45.903,0.3176470588235294,-0.08836258875618225,-0.02642496613762456,0.9881163902204088,0.0075123695351024256
