fid,X,Y,Ex,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.423444766012882,-0.43715116894842154,-0.7797335277849126,0.2555537922200418,0.11323088573947909
2,8.547,45.177,0.4645425550890393,-0.3961955197926019,-0.7886872484696167,0.2392966229394435,-0.10351298141798593
3,8.547,45.243,0.4601935452037139,-0.4128767322494139,-0.7832945405753691,0.24794934246499,-0.03546021332186276
4,8.547,45.309,0.4613503414178692,-0.42316357866968923,-0.7837013561258266,0.25084531496867907,0.11792366819622001
5,8.547,45.375,0.4804269758999115,-0.41755744012352886,-0.7815100497371432,0.2228860000707727,0.17980248891465334
6,8.547,45.771,0.1999338254855485,-0.5604809632517669,-0.025701296066306837,0.07144796296362135,0.19071215056422852
7,8.547,45.837,0.1337809489770818,-0.6996200485988633,-0.09972411093917068,0.14517673766968758,0.18749992028629686
8,8.547,45.903,0.0823003751845385,-0.7496051739719267,-0.17656293278753604,0.33196067669746576,0.17482908646000783
9,8.613,45.045,0.4769822019796196,-0.41388876226505794,-0.7983842118698177,0.22083099281917282,-0.18587946737466343
10,8.613,45.111,0.4811768562623713,-0.38857095194906427,-0.8003346107437073,0.22122601548640863,-0.16094417239240466
11,8.613,45.177,0.4956040356956087,-0.37779850709393603,-0.799642161983978,0.22392769883651412,-0.11156381100311526
12,8.613,45.243,0.4873755714072416,-0.38124771173519073,-0.7944457703248148,0.23265364585609544,-0.05052465235666235
13,8.613,45.309,0.4898677801472778,-0.3818242575447591,-0.7916431089123743,0.239901025932465,0.10432446687647491
14,8.613,45.375,0.5165182960994875,-0.38131004082846764,-0.7961511796707226,0.20137951092138573,0.17726942235474283
15,8.613,45.705,0.3268360633901544,-0.30622588885844193,-0.06277270160713849,0.05576378546770264,0.19067910000898725
16,8.613,45.771,0.2684009427088362,-0.4557135916789447,-0.047752949923755963,0.05953639975253466,0.1913843355617157
17,8.613,45.837,0.1925517574128747,-0.6102917026805212,-0.13298503455760427,0.12840392308622808,0.18638825898421915
18,8.613,45.903,0.1157715752480277,-0.7307122928550032,-0.220395444493862,0.3595068027646209,0.1731858602317644
19,8.613,45.969,0.0343393330648584,-0.8061622681085587,-0.28066918035672306,0.40677498844024695,0.1418113767204194
20,8.679,44.979,0.4628157676070277,-0.4196673317303148,-0.796880210119554,0.21754913203342618,-0.2376262614465618
21,8.679,45.045,0.4862748916196527,-0.4060328747714692,-0.7996449644472065,0.21507902631766557,-0.2170034374842657
22,8.679,45.111,0.4951760053249179,-0.37294734315167827,-0.8075542600343142,0.20837348867593086,-0.17927479832302012
23,8.679,45.177,0.52065426462023,-0.34574231318846615,-0.8105998214615502,0.20698210617452517,-0.12594705711001156
24,8.679,45.243,0.5215454453198406,-0.3373013273656431,-0.8083841320721672,0.21427187945703696,-0.024255000134052532
25,8.679,45.309,0.532048915672399,-0.31849354093737753,-0.8123697762234431,0.21769934597722052,0.1279108412209964
26,8.679,45.573,0.5146429751767999,0.08386969320281291,-0.8818783429046182,0.03924289808398555,0.1838100067867958
27,8.679,45.639,0.4757714392477785,-0.004798343807254191,-0.6663994741940167,0.042707651613475395,0.1872437988546382
28,8.679,45.705,0.3977319639731284,-0.1439252284059276,-0.24920833806740655,0.049764044984501064,0.19162768391608087
29,8.679,45.771,0.3531138688887061,-0.28921113061376136,-0.13809018678663418,0.051879515310513595,0.19334427258036974
30,8.679,45.837,0.2458183939254062,-0.44762825427864683,-0.19631534422963473,0.05156494604791942,0.18681510973305923
31,8.679,45.903,0.1538688769393099,-0.6189718056316431,-0.27849199025490573,0.3105767297107245,0.1679317977255385
32,8.679,45.969,0.0458618020094291,-0.7295026133175488,-0.3021690948622025,0.34743108309367,0.12389722720155485
33,8.679,46.035,0.0136432528805502,-0.7585869638609644,-0.3070730312045169,0.33610644033667136,0.06985607778745204
34,8.679,46.101,0.0064642173851961,-0.7428172888317843,-0.29874311654633207,0.3142688866699178,0.03141614024993638
35,8.745,44.979,0.4584654929575142,-0.43055981787402375,-0.7962808108849411,0.2093593098951741,-0.24888666446844251
36,8.745,45.045,0.4876652444430706,-0.4109247644949983,-0.8028441502464239,0.20289175572107887,-0.234537577868954
37,8.745,45.111,0.5046179612361279,-0.365115949315564,-0.8130898202234832,0.1886120081254236,-0.2032934165338044
38,8.745,45.177,0.5443521128989295,-0.3196984451295355,-0.8245307769961254,0.17293540390822265,-0.13068351508836096
39,8.745,45.243,0.5544474140499634,-0.28639369791149416,-0.8251127338763453,0.18405829672773855,5.708591098398108e-05
40,8.745,45.309,0.5850842825386825,-0.21912269622274988,-0.8430890432524063,0.17450560372244855,0.1312708547500189
41,8.745,45.375,0.6306930591945352,-0.10112994959668514,-0.8866472696261796,0.09867552547966296,0.1689182857696852
42,8.745,45.507,0.6442046637446485,0.11311344587464908,-0.9864358093762384,0.02455106541059164,0.17020518963951098
43,8.745,45.573,0.613779922326246,0.08218744675508917,-0.9404338150380198,0.029250198204844688,0.174737451726935
44,8.745,45.639,0.5619823547585678,0.04131507826385046,-0.841138566869721,0.03634325416251663,0.18173842249596778
45,8.745,45.705,0.5130829176287524,-0.04682038687011013,-0.5286540898887657,0.045888872238611156,0.19237185060352197
46,8.745,45.771,0.4084242811148513,-0.1635195259941849,-0.16959712498440663,0.04337784766071462,0.196981639876869
47,8.745,45.837,0.3072489187049037,-0.3212518679703421,-0.26492768150452495,0.08879538763938749,0.18850424932469542
48,8.745,45.903,0.178364601539359,-0.49939468504492246,-0.2963474793392245,0.24613487981140847,0.1636335548669331
49,8.745,45.969,0.0603629859907194,-0.6246048589672245,-0.3068722705992146,0.29534837017827476,0.10612048675922495
50,8.745,46.035,0.0256484930488997,-0.6947755467636181,-0.29948358394298336,0.2947079266552002,0.06382289208510832
51,8.745,46.101,0.0117968759499692,-0.7127288768336575,-0.29396709119993353,0.2867659374800874,0.0013483429915856111
52,8.811,45.045,0.4766119717148494,-0.4302301398632835,-0.806491548535414,0.174885163651663,-0.25125948953886434
53,8.811,45.111,0.5245860142987546,-0.3708840005045439,-0.8205023677090841,0.14907311452818653,-0.22856095199107038
54,8.811,45.177,0.5511363539068218,-0.29933952306750183,-0.8357097916631473,0.11163461083754338,-0.1407734651701345
55,8.811,45.243,0.5751081126253813,-0.22449297514838654,-0.8485387151173354,0.054863177277032577,0.0315864169259015
56,8.811,45.309,0.6039502198136881,-0.11348076691732849,-0.9008762000476801,0.07413620979478698,0.1388753756431015
57,8.811,45.375,0.6750594933095144,0.013436642780055623,-0.9712961240656468,0.04578132792889795,0.15875683928389053
58,8.811,45.441,0.7081840074333804,0.10898711280575618,-1.0209996536897767,0.01304387768912552,0.15124496354966516
59,8.811,45.507,0.6937475467555461,0.09524567932141799,-0.9960507133192598,0.007062125550925171,0.1561358768774667
60,8.811,45.573,0.6736207931060876,0.06378705748682818,-0.9449737373581344,0.014525521245865012,0.1637744235730943
61,8.811,45.639,0.63862340815788,0.07142752013174229,-0.8985591256848633,0.028275076630476542,0.1742651189557059
62,8.811,45.705,0.576756153220373,0.029907831171455748,-0.9199148090073543,0.04934664676022597,0.1866606172130522
63,8.811,45.771,0.474498349368775,-0.06742907642605775,-0.2575799037790825,0.048210444979673195,0.1995326468585936
64,8.811,45.837,0.33732415563473,-0.23723875195154304,-0.336007645642581,0.1262392135446907,0.18793597500365056
65,8.811,45.903,0.1757173907103529,-0.43960304464168565,-0.3246289908279004,0.2213491569017343,0.15866822211791148
66,8.811,45.969,0.0833976622072645,-0.5485414292020183,-0.30973878511449926,0.24469940576873983,0.0963649872441749
67,8.811,46.035,0.0339566554208897,-0.6147101267758046,-0.2964662694703679,0.25653460732124234,0.028071487392473175
68,8.811,46.101,0.0131578633909574,-0.6411474165120544,-0.29038060676542515,0.26362282512977225,-0.022548772699554638
69,8.877,44.979,0.3954943256061057,-0.4818937300369067,-0.7929144681063864,0.0652519659008787,-0.2529354675604048
70,8.877,45.045,0.4590260545941036,-0.4389671992498274,-0.810684553787663,0.07605441075924549,-0.2525176181630025
71,8.877,45.111,0.5171878710034956,-0.3607712972124718,-0.8357483749814537,0.03826154778490247,-0.2402847650856246
72,8.877,45.177,0.5546090837202805,-0.26690961612416775,-0.868319467853486,-0.06549494522973658,-0.16281420938918054
73,8.877,45.243,0.5877504398232448,-0.16254127056128082,-0.9057534329692991,-0.15828282374232938,0.025338393956908328
74,8.877,45.309,0.6313926105992204,-0.029892959320284813,-0.9952433026327205,-0.04818743743028544,0.11963881279223856
75,8.877,45.375,0.7137255657402211,0.08460873170639184,-1.0466039958454547,0.0026407683925657502,0.130507439295279
76,8.877,45.441,0.7389353697388731,0.10336915884608835,-1.0499087125028517,-0.006394659390759443,0.131069518439935
77,8.877,45.507,0.728037385992791,0.04899760858452056,-1.0033491955359102,-0.006099631020416905,0.13810819709544436
78,8.877,45.573,0.6891771758696666,0.03492793852945601,-0.9187902649096582,-0.0063440168150874325,0.1496345638557754
79,8.877,45.639,0.6797705334800802,0.08147989682418043,-0.8877092613051806,0.014421915918247964,0.16442044856467586
80,8.877,45.705,0.6306392560781067,0.09519849906752682,-0.9116747420167925,0.04558663399174759,0.18458307401366894
81,8.877,45.771,0.5084571650287449,0.014334707887531314,-0.46576809044149303,0.07162689769353771,0.1943716019635618
82,8.877,45.837,0.3757450586752853,-0.20192344592645925,-0.4326050540638266,0.16207122573649693,0.18058477090102185
83,8.877,45.903,0.1780068775461532,-0.4178173221279042,-0.35184564422890796,0.18634388771274893,0.14762511872809037
84,8.877,45.969,0.0839599114507296,-0.49527574523654183,-0.32684832042273243,0.2187034549179868,0.06965603037528983
85,8.877,46.035,0.0423880673027853,-0.5390754957501016,-0.3102423770882323,0.23635507392077904,0.001209098642680185
86,8.877,46.101,0.0190952689757963,-0.5790902513684923,-0.3051075850896613,0.24867556106380226,-0.043049240902324315
87,8.943,44.913,0.259537262333305,-0.504157469179361,-0.7738679568625557,-0.01223848248098321,-0.24724567466260058
88,8.943,44.979,0.3481323256179295,-0.4912899748992697,-0.79590702367007,-0.034163123854686,-0.24835785450537307
89,8.943,45.045,0.4368672137803553,-0.4474313894289236,-0.8233804565214036,-0.03618539728872979,-0.24930470780829556
90,8.943,45.111,0.507662226155923,-0.35964800991717294,-0.8623985904939102,-0.09704585769709707,-0.23242288323259538
91,8.943,45.177,0.5609627324270541,-0.2577288979963454,-0.915264653925393,-0.14695746224730177,-0.15576240303742778
92,8.943,45.243,0.5983165851643124,-0.1488023900827995,-0.9867976929005366,-0.1929526949447217,0.022154332658779162
93,8.943,45.309,0.6395701577425628,-0.01855941632868367,-1.090460864805347,-0.05186256123932251,0.10122236000411258
94,8.943,45.375,0.7422179195537354,0.06969935211162234,-1.1230031867349406,-0.013255964913877505,0.10594879551802996
95,8.943,45.441,0.7591514180842507,0.058682638010945185,-1.0736173711138672,-0.012983860163446784,0.11133154254403296
96,8.943,45.507,0.7483218504323059,0.020448076030428215,-1.0109308428464843,-0.009674756075552128,0.11912805122666398
97,8.943,45.573,0.7239617852155766,0.02678143131951017,-0.965597666259283,-0.005125327001539483,0.12979885762356602
98,8.943,45.639,0.6498573164347952,0.08553450610586508,-0.9426411830803803,0.011207352900534272,0.1478490231896669
99,8.943,45.705,0.6607528149803085,0.13646387559808604,-0.941359813053918,0.04306789934777588,0.16849293195007553
100,8.943,45.771,0.5668470288598676,0.05961821374867288,-0.8318454666575794,0.09178195579722605,0.1805380883229886
101,8.943,45.837,0.3581829929832263,-0.18945628161469796,-0.5669553835325618,0.1419177341894911,0.16886104889649645
102,8.943,45.903,0.1806265205497506,-0.3932160112895829,-0.4009098878879307,0.17752339067382378,0.1353230135279174
103,8.943,45.969,0.0854716984099947,-0.44212580555450653,-0.3696690266795808,0.2200812501418054,0.050035802496192716
104,9.009,44.913,0.2319295857143538,-0.4605086664190583,-0.7632259872907636,0.09479459073093942,-0.24133568797509836
105,9.009,44.979,0.3073338249274477,-0.4865119464884796,-0.804358033884456,0.053605537397678094,-0.24111214970510908
106,9.009,45.045,0.4181804758085415,-0.45759302087714315,-0.8396765620246733,0.0673042535846658,-0.2402736379601223
107,9.009,45.111,0.5091843208134266,-0.36858566037391294,-0.900180517435077,-0.10447029256601478,-0.2209861637273139
108,9.009,45.177,0.558953175162304,-0.26925905419513624,-0.9652188286127329,-0.1564877445438706,-0.14011228895067296
109,9.009,45.243,0.6046458228115035,-0.17577732465376905,-1.0316265112037835,-0.16799678985685929,0.012654643927624026
110,9.009,45.309,0.6603187688740971,-0.06958820551078608,-1.099305103552346,-0.02246695604322492,0.07891713820957458
111,9.009,45.375,0.7533481696569142,-0.004183921150033614,-1.1118090188757068,-0.01800669768363777,0.09222969841142922
112,9.009,45.441,0.7672300750444485,-0.005903153027283555,-1.078106927119951,-0.00926567092712989,0.09905915352658849
113,9.009,45.507,0.7897511408114475,0.00966379356212754,-1.052010322940303,-0.001261327225890701,0.10499603660724627
114,9.009,45.573,0.7681347009387218,0.05794164816272289,-1.048248468829117,0.004756874295570193,0.11309116841352958
115,9.009,45.639,0.686740139171389,0.09832561012216784,-1.0204646975132994,0.009251559824487306,0.12644630820877156
116,9.009,45.705,0.6393414082559162,0.1416323524191121,-0.9501902480463142,0.02271854771344109,0.14314255427785322
117,9.009,45.771,0.593322279167094,0.08754054983626375,-0.8720094915218333,0.06696143437809733,0.15629390021440276
118,9.009,45.837,0.369887886523882,-0.14040306597762603,-0.5802735139260153,0.14128159636105353,0.15043175831422237
119,9.009,45.903,0.1895974823398408,-0.32408827350174585,-0.44858105383645813,0.18664971340016615,0.11825085260817997
120,9.009,45.969,0.0740476185622896,-0.39178864408532976,-0.429258454777248,0.24284271746322128,0.02267276003501497
121,9.009,46.035,0.0293852454601151,-0.4423519739621732,-0.4188393158404824,0.27598952358706325,-0.052911115411269985
122,9.075,44.781,0.0490027141294124,-0.47435647194656777,-0.5418659537112505,0.1869435805051054,-0.23031025064471872
123,9.075,44.847,0.1382383605001824,-0.4368989982288946,-0.6197916562282415,0.17324110100900764,-0.23194110480791616
124,9.075,44.913,0.2297137229479654,-0.42662348974473857,-0.7373289944055879,0.1468902692904252,-0.23295930950117666
125,9.075,44.979,0.2678049339023864,-0.47906211060159615,-0.8282571560920231,0.14972840543675803,-0.23229147691296634
126,9.075,45.045,0.3805346609450325,-0.4752425862043606,-0.8728366096584765,0.2733034609066855,-0.22809967663571534
127,9.075,45.111,0.4930505065630768,-0.3917934101380457,-0.9384900332637074,0.0633493701984785,-0.21039194563182184
128,9.075,45.177,0.5692889716256632,-0.3025030100608332,-1.0036184140416202,-0.10841179989176483,-0.13083482528290374
129,9.075,45.243,0.6083674715707539,-0.22810333370024033,-1.053495144713919,-0.08290339148837116,0.011589648202991687
130,9.075,45.309,0.6949683267126843,-0.1483948302330002,-1.0914257660942024,-0.014435367020371117,0.07585614883946878
131,9.075,45.375,0.7648187517677774,-0.09173884663600676,-1.103521678456731,-0.007010262409366796,0.08933947791320712
132,9.075,45.441,0.7875990175043898,-0.06090684243696109,-1.0968633387268114,-0.001843550191629047,0.09472056744403352
133,9.075,45.507,0.8057246528644452,-0.012680028665988122,-1.09960523979398,0.0023124584803188753,0.10025037282093724
134,9.075,45.573,0.8160043696399283,0.05091361907121546,-1.1159487038547224,0.007707847796699852,0.1030564487980148
135,9.075,45.639,0.7667782281836476,0.06736943572828585,-1.0757784913870956,0.005522707803149586,0.10964914845914628
136,9.075,45.705,0.5897989163606969,0.0901083037429245,-0.948128854727081,0.0009788275227656743,0.12233616332129583
137,9.075,45.771,0.5794105257211076,0.08185564278440932,-0.7219811621623557,0.01656216371601391,0.1358831712327972
138,9.075,45.837,0.3519734444250058,-0.08109670176348653,-0.5428314657440811,0.12836378043612853,0.14053113275122558
139,9.075,45.903,0.1759094932102462,-0.24709617620968713,-0.4580129818752422,0.17194727361043957,0.10459384605536595
140,9.075,45.969,0.076933242217192,-0.34521472190551855,-0.4561445981501709,0.26607056496032644,-0.0019535909504809334
141,9.075,46.035,0.0226177699776154,-0.43184003754438594,-0.45915257466217274,0.30625329304160415,-0.07535670985952932
142,9.075,46.101,0.0140983805104854,-0.4667200362855231,-0.4575834939371436,0.31869723158520274,-0.11051640785920455
143,9.141,44.781,0.0231817602688406,-0.5072457660989533,-0.4962351654772772,0.1969122264400625,-0.21924876358585882
144,9.141,44.847,0.062965210498026,-0.48252939291841107,-0.5471551539382564,0.191628452756251,-0.22011457610694335
145,9.141,44.913,0.1525123700945768,-0.4643254927814259,-0.7061719618620206,0.1812011694738721,-0.21900119473234259
146,9.141,44.979,0.2235619337476303,-0.4962001643696888,-0.858867303497188,0.18111914415382097,-0.221672052218898
147,9.141,45.045,0.3423780540991062,-0.5106055144044646,-0.9004028361086868,0.2505487340925775,-0.22064639365408348
148,9.141,45.111,0.4690100234604014,-0.45599104101736654,-0.9552327441437722,0.20384322030709473,-0.2034697836848426
149,9.141,45.177,0.5635091655920184,-0.3698761608481531,-1.0171854169443242,0.021401059916694592,-0.12409361646686386
150,9.141,45.243,0.6294322001082865,-0.28687470019211525,-1.069015715066271,-0.0017704773843545078,0.015522126038054897
151,9.141,45.309,0.7111637785028874,-0.20779974172646093,-1.1053292742025076,0.0023403327868138234,0.07878305048651892
152,9.141,45.375,0.7678274510579377,-0.13723519676976476,-1.127923857651507,0.003135524420662198,0.09041986828785588
153,9.141,45.441,0.8337108851117733,-0.07810957751002057,-1.1412582996035008,0.003748318402036329,0.09451045997679244
154,9.141,45.507,0.8552532903459041,-0.029569756993298894,-1.1466110077306033,0.0035932281974704328,0.09829014975858279
155,9.141,45.573,0.8372037230986774,0.018190171777964573,-1.1470362293396472,0.004619548902094971,0.09768125416201466
156,9.141,45.639,0.7751608983173769,0.026198143662255223,-1.091671516488344,-0.0007890476127796692,0.09960211898829117
157,9.141,45.705,0.6205220292317057,0.05676757989067095,-0.9468018975430235,-0.00942962485770619,0.10885792621783258
158,9.141,45.771,0.5654415679455677,0.09199856577835511,-0.7007171411055153,0.006342226805456985,0.1214714894761009
159,9.141,45.837,0.3137285905699645,-0.04039375002075132,-0.5399327115864578,0.14944817831230922,0.13208615427192455
160,9.141,45.903,0.149347637649013,-0.2152313939718113,-0.47793831093719685,0.20886072038921588,0.09731858202777054
161,9.141,45.969,0.0684371066022681,-0.34494615721339195,-0.4686250668166084,0.29647822959592784,-0.019355010061936892
162,9.141,46.035,0.0238316829907811,-0.4563439002694183,-0.46999950149138053,0.33015896529548633,-0.0907461905542661
163,9.141,46.101,0.0141999322542314,-0.486372630025264,-0.4626680820369358,0.33012383556936814,-0.12062414794581916
164,9.141,46.167,0.0072062082673352,-0.48471091484350093,-0.4564821226182472,0.3101778899914407,-0.1395811199445321
165,9.207,44.715,0.010472629674426,-0.4785889213458867,-0.44931633665458726,0.18621297847811152,-0.2113484617400997
166,9.207,44.781,0.0201545572284335,-0.5221707071658461,-0.4677536251508425,0.1973618084836887,-0.21006210898235106
167,9.207,44.847,0.0343902130416198,-0.5373507878029173,-0.5132416116127468,0.20400883297689099,-0.21106483624355146
168,9.207,44.913,0.1170660496631265,-0.5210047752291513,-0.6907107607341554,0.1995570473499813,-0.21411499150136504
169,9.207,44.979,0.2194557089605507,-0.5326674873837007,-0.8926503543779708,0.19462530493626215,-0.21832206355027145
170,9.207,45.045,0.3346404579677492,-0.5563422743481428,-0.9227289384209696,0.23493205105994205,-0.216766117061665
171,9.207,45.111,0.4328990568779887,-0.5271509816045379,-0.9655061176567787,0.2179808873379893,-0.20156422352677966
172,9.207,45.177,0.5581914222297756,-0.4383930095367421,-1.0323815859793202,0.08310616741721776,-0.11450987843283664
173,9.207,45.243,0.6665832648893988,-0.3210629876210783,-1.0989123799092968,0.01421382247213916,0.024456272590924682
174,9.207,45.309,0.7342112620396075,-0.2259760509141725,-1.145999460547138,0.0066540010005,0.08270050759155015
175,9.207,45.375,0.8050930890040303,-0.14392239884974622,-1.1779927739869112,0.006935255965147267,0.09415187681699705
176,9.207,45.441,0.8676880246844646,-0.06415646297039404,-1.2113638144889574,0.008721925517538424,0.097151515924985
177,9.207,45.507,0.9070978419117944,-0.014756548805627032,-1.220696867127923,0.007966591128448431,0.09760032034472704
178,9.207,45.573,0.854272391780393,0.0016820040430079106,-1.1974732668934962,0.005122411250747865,0.09451063732722215
179,9.207,45.639,0.7673981874455098,-0.004655343898571319,-1.1204791609136353,-0.004090446240926299,0.09346443644243818
180,9.207,45.705,0.6319022430627509,0.05258559388967984,-0.9844893371486334,-0.011779877518477533,0.09975773034805749
181,9.207,45.771,0.5521297019789388,0.10275732467208898,-0.756303029803467,0.015092850227471241,0.11139509503097456
182,9.207,45.837,0.3157379514586417,-0.022451120265824354,-0.5533768461175915,0.16644973360224383,0.12653467434066118
183,9.207,45.903,0.171715092068526,-0.19999528160692248,-0.5025172017995476,0.25001266354321444,0.09884327407399021
184,9.207,45.969,0.0690987206043871,-0.3543163228219427,-0.4979526891879322,0.3356846821605157,-0.03600038825619191
185,9.207,46.035,0.0253375868501983,-0.4793904978136054,-0.49992303041003183,0.3726103491075389,-0.0989441113159599
186,9.207,46.101,0.0174469963808852,-0.5173333828711195,-0.472837294679353,0.33993849239811874,-0.12902423522241122
187,9.207,46.167,0.0074987677041408,-0.5219332844882636,-0.4654757536353261,0.309652463625285,-0.14782840745123269
188,9.207,46.233,0.0061089221855779,-0.5347793152972915,-0.4640204795881536,0.273181866693274,-0.16167716854128586
189,9.273,44.649,0.0087487607295173,-0.45189273362777227,-0.436924866735338,0.17990915767823412,-0.20502604900183374
190,9.273,44.715,0.0101614595135535,-0.4655855726846846,-0.4407723404373513,0.18430169616074976,-0.20745116804929906
191,9.273,44.781,0.0192160974551059,-0.5178955401362173,-0.4522918703852022,0.19466815300028784,-0.2085395637136073
192,9.273,44.847,0.0254047128558166,-0.5585033303811036,-0.49877252190949245,0.20700276256050215,-0.21232254716277985
193,9.273,44.913,0.0970090894609423,-0.5686564757417901,-0.6830803617759761,0.2117119802106053,-0.21753820617486763
194,9.273,44.979,0.2087836512836727,-0.5970128517101463,-0.905745356191725,0.21801623499726458,-0.2203020605088562
195,9.273,45.045,0.327833510976438,-0.6180929626581928,-0.9635071877992303,0.24723800384442726,-0.217104157246775
196,9.273,45.111,0.4426285033504481,-0.5769374690750458,-1.001438521573354,0.28038228099834067,-0.18616554669430785
197,9.273,45.177,0.5565308006994005,-0.4695406947201193,-1.0738979893819764,0.1279177063825408,-0.09052340113819062
198,9.273,45.243,0.6864727838875743,-0.3481078466342134,-1.1368146100447583,-0.006369983180553741,0.044702074495391604
199,9.273,45.309,0.7422151805166365,-0.23681084454220017,-1.1923205335792166,0.006037277844627556,0.09048269953488308
200,9.273,45.375,0.8166578600343994,-0.13210678291195438,-1.2394532188415706,0.008224224779994068,0.10148633691501051
201,9.273,45.441,0.9033168742004352,-0.03194409973037508,-1.2878300507131182,0.012892929490287948,0.1030537353235366
202,9.273,45.507,0.978593751256807,0.025019709886714626,-1.298389491479262,0.012391735394530597,0.09870750730030348
203,9.273,45.573,0.8923093918721087,0.005757239432212082,-1.252357921729601,0.005599614505164689,0.09206808368625632
204,9.273,45.639,0.7522524864539393,-0.02893005763777472,-1.148404408064474,-0.010789367249469387,0.08955296004297669
205,9.273,45.705,0.639936074197777,0.024424620578691186,-1.0204053418764585,-0.02459047583823114,0.09501819780507309
206,9.273,45.771,0.533237110825041,0.07410217668509506,-0.8261066650426852,0.0013406625469721198,0.1062560052536566
207,9.273,45.837,0.3406945418077013,-0.04035344965348865,-0.596693490173622,0.13410796000815303,0.11962379090344713
208,9.273,45.903,0.1902223152876251,-0.2038654590861912,-0.5459169421943866,0.26867123503546564,0.09189284507346668
209,9.273,45.969,0.0737675935238297,-0.3467401167851355,-0.5358621767733429,0.3520227525975874,-0.03480027817097532
210,9.273,46.035,0.0441827391907173,-0.4722979333608026,-0.5337787234181253,0.37893360298942674,-0.09423657174604605
211,9.273,46.101,0.0183249465801114,-0.5360158991319255,-0.5044439906126341,0.35739698621279914,-0.13451834239770652
212,9.273,46.167,0.0083431500422957,-0.5677842660802708,-0.48625394580028414,0.31294245645205193,-0.15450740956617295
213,9.273,46.233,0.0063836420835191,-0.5846996517111323,-0.4802383609788814,0.2684607798244303,-0.1661395484564078
214,9.273,46.299,0.0046350195255158,-0.5814699829627359,-0.47858876219548196,0.22513532640517547,-0.17354812915238416
215,9.273,46.365,0.0033052180367987,-0.5734079784940418,-0.4786682271312782,0.19299560621989936,-0.17618937894234643
