fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int,geometry
1,8.448,45.276,8.514000000000001,45.342,8.481000000000002,45.30899999999999,1.780350810546875,115.27886325242288,315.7292785644531,0.3826227440527173,2.0,4.0,1838.1453857421875,2.0,0.8426326747652072,0.0819340633004298,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12.0,0.0,0.0165270018621973,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.9561086832604978,0.0438913167395021,0.0,0.0,0.0,0.0,0.0,0.041895837577239,0.0,0.0,0.1434100631493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2038480203253904,0.0,0.0,0.0,0.0,0.0,7383.396551724138,295.52630551656097,0.0003206445944826,99804.44110785588,-1.1364378929138184,-1.2105281684133742,0.1856709718704223,4.185511299547122e-05,9.886002543231344e-05,137.62454004329007,198.24869678932177,-0.4098957761525711,0.0417348185393006,0.0001296699461065,0.1460054334118504,1880.5154869271155,3.3148377736409507,0.339893102645874,185.6522013346354,0.0743162482976913,9.165598551432293,7.358792622884114,6.622256596883138,19.86941909790039,1.864929676055908,76.36798095703125,,,,,,,,,,,,,,,,,,,,,,,0.1507265643528738,4.220856046125638,12.780635579296854,12.366840492293646,75.06800020455482,14.096135616169068,9.906995100928096,2.0908649416156644,74.29154470052896,0.0001835747945858,264.5765778290739,21.60358808860441,2.934611910306339,"MULTIPOLYGON (((8.448 45.275999999999996, 8.448 45.342, 8.514000000000001 45.342, 8.514000000000001 45.27599999999998, 8.448 45.275999999999996)))"
2,8.514000000000001,45.144,8.580000000000002,45.21,8.547000000000002,45.17699999999999,13.64261895263672,102.24767119596598,146.46585083007812,0.5833639975955336,2.0,4.0,1156.989013671875,2.0,0.8521665200820874,0.0830215967946838,0.0012684452262288,0.0421342714746408,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12.0,0.0364920192250637,0.1690796890761289,0.3463478312466623,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0.0,0.0,0.0,0.0,0.1761815552488003,0.0,0.0,0.1827877473213698,0.0,0.0,0.0,0.0,0.2198991271701675,0.4397982543403351,0.0,0.2996432159550808,0.7315685133483922,0.0028097828952666,0.0,0.0,0.0,7004.020214030916,295.79599758935353,0.0003066967890799,99897.77927749876,-1.1414313921852717,-1.2230851224490575,0.1663897169960869,4.321187372218809e-05,4.358458251409145e-05,105.00441468253968,151.70709325396825,-0.3213213945558061,0.0417803703084874,7.819504127585889e-05,0.1455490586147224,1893.8719502323784,3.301913579305013,0.2761761347452799,184.51652018229169,0.0771985451380411,9.230602688259548,7.267450120713976,5.572281307644314,18.43253919813368,1.5646849738226996,79.43817138671875,,,,,,,,,,,,,,,,,,,,,,,0.1600384980084883,5.4330974517627375,12.17264456071519,11.835384254165454,73.38557752093729,14.585573969948506,10.254464788070347,2.634762123083912,74.28167147789395,9.84209545995008e-05,262.7256148064292,21.585383679755523,3.206108192120236,"MULTIPOLYGON (((8.514000000000001 45.144, 8.514000000000001 45.21, 8.580000000000002 45.20999999999999, 8.580000000000002 45.144000000000005, 8.514000000000001 45.144)))"
3,8.514000000000001,45.21,8.580000000000002,45.276,8.547000000000002,45.243,26.83287937402344,109.31106233959368,39.649070739746094,0.5588384892939049,2.0,4.0,616.2735595703125,2.0,0.877877460673909,0.0595482834913273,0.0,0.0282470952975405,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12.0,0.0006144298858696,0.0514124207001428,0.5920646380239935,7.0,0.0,0.0,0.0,0.0,0.9942895212715332,0.0057104787284667,0.0,4.0,0.0,0.0,0.0,0.4982959877508685,0.0,0.0,0.1933189548724872,0.0,0.0,0.0,0.0,0.5962833796916105,0.2608739786150795,0.0,0.5025776205890428,0.7518143975988552,0.0018782406152851,0.0,0.0,0.0,7421.066587395957,295.70816305164846,0.000304704271189,99917.6106444205,-1.1245503447223413,-1.2536455532050186,0.1720502922594412,4.55812799707454e-05,0.0001155556509297,127.2827553965309,183.50829652207204,-0.3516100128035868,0.0409365085622129,0.0001211090082717,0.145837743514881,1886.0107875030071,3.2879556020100917,0.2820264498392741,185.0176798502604,0.0751232455174128,9.257906595865885,7.311221440633138,5.756509145100911,19.27323532104492,1.79029115041097,78.24425760904948,,,,,,,,,,,,,,,,,,,,,,,0.1615223520445257,4.912979204598729,13.04235812700265,12.69431347921173,73.40699500439523,14.46074649477457,10.006104241939193,2.388850448551197,73.8443119173618,8.343148547554078e-05,260.8029216214195,21.56861183174109,3.004664077345159,"MULTIPOLYGON (((8.514000000000001 45.21, 8.514000000000001 45.27599999999998, 8.580000000000002 45.275999999999996, 8.580000000000002 45.20999999999999, 8.514000000000001 45.21)))"
4,8.514000000000001,45.276,8.580000000000002,45.342,8.547000000000002,45.30899999999999,32.66394505834961,121.30177726576218,24.886978149414062,0.4443552417170158,2.0,4.0,3165.40869140625,2.0,0.8628897665927634,0.0312612669932769,0.0,0.0274812672216756,0.0477704200742948,0.0203356483180877,0.0020254077326037,0.0082362230672977,12.0,0.0003359086328518,0.0795108175020838,0.5634680700182884,7.0,0.0,0.0,0.0,0.0,0.9575862733757472,0.0424137266242529,0.0,4.0,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.3005253017603372,0.0,0.0,0.0,0.0,1.3776658000010022,1.8675025288902476,0.0,0.7193634653427169,0.7411102721614005,0.0039324531617189,0.0,0.0,0.0,7091.186206896552,295.5755432068356,0.0002975784645258,99864.52220904636,-1.1055682727268763,-1.2796379488611975,0.1767829561990404,4.458380096706079e-05,6.695468541952541e-05,133.4048495155638,192.3387961245104,-0.405845814437149,0.041780478972671,0.0001056750133509,0.1460307394067734,1879.2885966698257,3.4562680986192493,0.3265247609880235,186.84212239583331,0.0729988548490736,9.325903998480904,7.467942979600695,6.581725226508246,20.32834201388889,2.106668896145291,76.84975179036458,,,,,,,,,,,,,,,,,,,,,,,0.1608166219033322,4.329903008033492,13.2699514243795,12.970233751870657,73.78367217376949,14.131914952546476,9.746548303608732,2.0880733265223337,73.04811589721626,6.354096214803605e-05,259.77446811655153,21.54861816296928,2.8192466818394784,"MULTIPOLYGON (((8.514000000000001 45.27599999999998, 8.514000000000001 45.342, 8.580000000000002 45.342, 8.580000000000002 45.275999999999996, 8.514000000000001 45.27599999999998)))"
5,8.514000000000001,45.342,8.580000000000002,45.408,8.547000000000002,45.375,3.6660439294433593,127.96299162940028,180.57522583007807,0.1987984564838326,2.0,4.0,2366.263671875,2.0,0.9428088257804926,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12.0,0.0,0.0318167010533174,0.7767401455098274,7.0,0.0,0.0,0.0,0.0,0.9489766777724892,0.0510233222275107,0.0,0.0,0.0,0.0,0.0,0.0905625505371375,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.2727735998929606,0.2727735998929606,0.0,0.4935992788651011,0.5308800770938953,0.0014159072527679,0.0,0.0,0.0,7449.17598097503,295.05505065312457,0.0004266472926749,99279.3538062686,-1.0283426935710605,-1.2440790363720484,0.188187523493691,4.43362513358392e-05,0.0001422069347643,111.17773332817976,160.6523319934034,-0.4938218319322989,0.0421802160065384,0.0001310939012772,0.1459313684576222,1879.037894166465,3.617385016547309,0.4119527604844835,188.90049913194449,0.0697946416007147,9.385036044650608,7.569529215494792,7.673489040798611,21.235122680664062,2.307747311062283,75.57853190104167,,,,,,,,,,,,,,,,,,,,,,,0.1557866298563349,3.733933409564708,12.73368190690948,12.529855463721889,74.16417084124737,13.630614202638348,9.484948793817823,1.725267659376532,71.96099698857877,3.109735136479803e-05,259.1707639376982,21.53093799229671,2.65248047891081,"MULTIPOLYGON (((8.514000000000001 45.342, 8.514000000000001 45.408, 8.580000000000002 45.408, 8.580000000000002 45.342, 8.514000000000001 45.342)))"
6,8.514000000000001,45.738,8.580000000000002,45.804,8.547000000000002,45.77100000000001,8.762770874511718,209.77321612892484,0.0,3.35474891546232,3.0,2.0,20479.97265625,5.0,0.0649574052292945,0.1737131151775972,0.0076770881771018,0.5944698219924567,0.1355464986581811,0.0089717990098197,0.0002674520030027,0.0143968197525461,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.9846285226302306,0.0,0.0153714773697694,0.0,0.0,0.0,0.0,0.2329636025504782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.5863646129625559,0.7171897201500708,0.0,0.3423574623782648,0.1141191541260882,0.7988340788826178,6203.637931034483,292.6635016486758,0.0016328485499147,96310.80735643869,-0.3278050271291581,-0.2879064825116371,0.3244444702217638,3.6404024279855645e-05,1.921897283640853e-05,134.15327140559697,183.21462924830277,-0.5361296279470982,0.0407527385273248,0.000106892179994,0.1458162615163959,1850.597962833948,1.9314013587103949,0.3752477433946397,181.65186903211804,0.0499282015694512,7.956648932562934,5.995967017279731,6.273280673556858,20.557335747612846,0.8032841682434082,73.13050672743056,,0.0,,,,,,,,,,,,,,,,,,,,,0.1126572718377787,1.284635568916457,11.041061625235091,12.839370993691029,75.4356595068753,11.124789624225397,7.785612187527517,1.0797488322005813,70.61080366770713,0.0023789401108097,266.67475566323344,20.47939643467049,2.221917508067436,"MULTIPOLYGON (((8.514000000000001 45.738000000000014, 8.514000000000001 45.804, 8.580000000000002 45.80399999999999, 8.580000000000002 45.73800000000001, 8.514000000000001 45.738000000000014)))"
7,8.514000000000001,45.804,8.580000000000002,45.87,8.547000000000002,45.837,1.2120791342773438,193.8804976851852,0.0,0.1405577517397434,3.0,2.0,5331.3681640625,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.8511153601019757,0.0,0.1488846398980242,0.0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7220.089179548157,292.30451528069113,0.0017211818074774,95626.21523625728,-0.237493756136386,-0.2205019409424053,0.3152491900385643,3.886291867108213e-05,6.820996913554152e-05,112.13719095719098,163.45400212032865,-0.5637986525016819,0.0403583757461714,0.0001509876854166,0.1457029301075525,,1.6536122428046331,0.2913013829125298,174.12830946180554,0.0469320482677883,7.368599785698785,5.357015397813585,5.018055386013455,17.868038601345486,0.6707156499226888,74.596435546875,,,,,,,,,,,,,,,,,,,,,,,0.1285063132485803,1.1552418096729449,10.738112904280934,12.34704521569118,76.45866113758561,10.921841649056743,7.652873392076148,1.137629051641278,69.59138495047551,0.0127734708144162,271.64604768801604,20.622245107647444,2.3320525752125194,"MULTIPOLYGON (((8.514000000000001 45.804, 8.514000000000001 45.87, 8.580000000000002 45.870000000000005, 8.580000000000002 45.80399999999999, 8.514000000000001 45.804)))"
8,8.514000000000001,45.87,8.580000000000002,45.936,8.547000000000002,45.903,5.774622341064453,,,,3.0,2.0,15305.6982421875,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0277435470441298,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.1168859283930058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4066.784780023781,291.44578246464806,0.0018339984677264,94009.23748682416,-0.0940791311718168,-0.114560618287041,0.330481801714216,3.8960276453646894e-05,0.0001293763100006,168.11483457019173,190.89635577715936,-0.5411297800602972,0.0402341164729615,0.0001196116849763,0.1461375863656886,,1.300886631011963,0.2093784610430399,166.75611368815103,0.0455182939767837,6.58806037902832,4.68099848429362,3.840518951416016,15.74365234375,0.5321665604909261,72.94485982259114,,,,,,,,,,,,,,,,,,,,,,,0.1461971857536306,1.0894180471288162,10.47826911332437,11.833736289708272,77.39188642630414,10.738574837799444,7.628202676949,1.1712130596346606,68.54418066477828,0.0223582638799087,276.9370383913745,20.726499964812373,2.443009283556926,"MULTIPOLYGON (((8.514000000000001 45.87, 8.514000000000001 45.93600000000002, 8.580000000000002 45.936, 8.580000000000002 45.870000000000005, 8.514000000000001 45.87)))"
9,8.580000000000002,45.012,8.646000000000003,45.07799999999999,8.613000000000001,45.045,1.9707826494140623,87.09307918410974,172.6531219482422,0.3051894284460411,2.0,4.0,8185.416015625,2.0,0.5856565656565657,0.3005791245791245,0.0047811447811447,0.1043905723905724,0.0045925925925925,0.0,0.0,0.0,4.0,0.0047393364928909,0.1868088467614534,0.0,7.0,0.0,0.0,0.2047429213942553,0.0,0.7776755596442809,0.0175815189614637,0.0,0.0,0.0,0.0,0.0,0.0517017961125235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074126262971272,0.5074126262971272,5359.514942528735,295.6769255078028,0.0002250633365376,99223.46367730031,-1.1273365096440393,-1.0330404166191345,0.1407095893980964,4.204560815066071e-05,0.0001182116497921,149.05881776953206,214.111544011544,-0.2160123038363826,0.0409047761402253,0.0001153259303936,0.145586435649618,1892.8140508481629,3.536281161838108,0.3019702964358859,185.62879774305557,0.0828579068183898,9.484266493055555,7.438736809624566,6.101765950520833,17.593875461154514,1.718285666571723,80.19262017144098,,,,,,,,,,,,,,,,,,,,,,,0.1632951941291297,6.44192492942794,10.155905058136709,10.31987355817724,73.76046317436078,14.44156015920242,10.522917496220185,3.05191829762641,73.10362987773978,6.477733262272169e-05,263.7438446713888,21.517622377830133,3.5490049846832057,"MULTIPOLYGON (((8.580000000000002 45.012, 8.580000000000002 45.07799999999998, 8.646 45.07799999999998, 8.646 45.012, 8.580000000000002 45.012)))"
10,8.580000000000002,45.07799999999999,8.646000000000003,45.144,8.613000000000001,45.11099999999999,19.444967447021483,95.54868746383292,62.26390838623047,0.3880172472588858,2.0,4.0,1397.963134765625,2.0,0.8822104549284486,0.0707005802204426,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12.0,0.0159335679811157,0.0986363732164309,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.9984671980380136,0.0,0.0,0.0,0.0,0.0,0.0,0.3343673067454455,0.1696044641391761,0.0,0.0,0.0,0.0,0.0,0.0,0.2057087527093138,3.1884856669943646,0.0,0.2496060399980236,1.0782924717752715,0.0014534527260198,0.1028543763546569,0.2057087527093138,0.4114175054186277,6408.254444444445,295.9077972835964,0.0002245506212859,99658.65812174478,-1.1080997784932454,-1.1978527771102054,0.1390719943576388,3.960462509837437e-05,4.351389232201583e-05,147.9268052242542,212.4029198692464,-0.2990917287913714,0.0406691192981124,0.0001247161143311,0.1459279841020838,1900.8200650152107,3.611058976915148,0.2885536617702908,185.5737575954861,0.080912431081136,9.390872531467014,7.391478644476996,5.868924458821614,18.365264892578125,1.6140928268432615,79.87166341145833,,,,,,,,,,,,,,,,,,,,,,,0.1612502200547786,6.144788277185028,10.879400967167706,10.725959132660556,72.1202302874089,14.511652066069171,10.34275999719077,2.856230975306973,72.99372164084119,4.602542716388195e-05,261.45141110692765,21.55686450496021,3.348582785397394,"MULTIPOLYGON (((8.580000000000002 45.07799999999998, 8.580000000000002 45.144000000000005, 8.646 45.144000000000005, 8.646 45.07799999999998, 8.580000000000002 45.07799999999998)))"
