Features,Average Scores
pm10_int,1.0
temp_int,0.738
soil_text4,0.72
nmvocs_cams,0.608
no2_int,0.592
temp_2m,0.572
no2_cams,0.558
pm25_cams,0.551
co_cams,0.545
aod_047,0.528
nh3_cams,0.522
nox_int,0.521
pm10_cams,0.519
soil7,0.505
press,0.491
dsf2,0.465
prim_road,0.41
int_prim_sec,0.408
pop,0.394
soil_text7,0.385
soil,0.385
int_sec,0.382
sec_road,0.377
highway,0.37
soilTextSum,0.355
int_prim,0.349
nh3_int,0.341
farm_pigs,0.339
farm_poultry,0.329
rad_glob_int,0.326
clim_zone,0.309
o3_int,0.294
soilSum,0.291
soil_text,0.277
ndvi,0.268
farm_sheep,0.258
soil_text3,0.249
air_hum_int,0.232
aq_zone,0.225
soil_text10,0.224
soil_text5,0.223
soil_text6,0.203
soil9,0.202
o3_cams,0.185
dsf3,0.164
soil_text9,0.142
soil8,0.135
soil1,0.132
soil2,0.123
soil_text1,0.119
soil4,0.119
soil_text2,0.109
wind_dir_int,0.09
soil5,0.068
