Features,Average Scores
temp_2m,0.89
pm10_int,0.812
dsf2,0.772
pm25_cams,0.685
soil_text7,0.652
press,0.651
pm10_cams,0.631
nh3_cams,0.626
no2_int,0.565
temp_int,0.546
nox_int,0.514
rad_glob_int,0.513
soil_text4,0.482
soil_text5,0.474
no2_cams,0.458
aod_047,0.453
clim_zone,0.451
co_cams,0.442
nmvocs_cams,0.43
int_prim_sec,0.413
nh3_int,0.403
soilTextSum,0.38
soilSum,0.369
prim_road,0.368
soil7,0.363
soil8,0.362
highway,0.36
soil5,0.359
farm_poultry,0.348
sec_road,0.346
soil9,0.336
int_sec,0.324
soil_text6,0.32
soil4,0.316
soil_text2,0.304
soil2,0.292
soil_text,0.29
soil_text1,0.279
int_prim,0.27
o3_int,0.265
pop,0.262
soil_text10,0.262
o3_cams,0.253
farm_pigs,0.251
soil1,0.227
soil,0.217
dsf3,0.214
soil_text3,0.201
wind_dir_int,0.2
air_hum_int,0.196
aq_zone,0.193
ndvi,0.184
farm_sheep,0.154
soil_text9,0.135
