Features,Average Scores
pm10_int,1.0
dsf2,0.61
pm25_cams,0.597
pm10_cams,0.564
aod_047,0.562
press,0.556
aod_055,0.542
co_cams,0.529
temp_2m,0.514
nmvocs_cams,0.511
no2_cams,0.511
no_cams,0.489
no2_int,0.477
temp_int,0.47
soil_text7,0.46
nh3_cams,0.459
nox_int,0.446
clim_zone,0.396
int_prim_sec,0.388
soil_text4,0.386
rad_glob_int,0.385
sec_road,0.378
highway,0.377
int_sec,0.355
farm_poultry,0.351
soil_text5,0.349
nh3_int,0.348
prim_road,0.334
air_hum_int,0.333
int_prim,0.329
soilSum,0.3
soil7,0.294
soilTextSum,0.29
pop,0.277
soil8,0.263
soil5,0.261
farm_pigs,0.247
soil_text10,0.233
soil4,0.228
soil_text6,0.214
soil9,0.213
soil2,0.209
soil_text,0.203
soil_text1,0.201
soil,0.196
soil_text3,0.19
soil_text2,0.188
soil1,0.164
aq_zone,0.125
o3_int,0.118
farm_sheep,0.105
wind_dir_int,0.1
o3_cams,0.081
dsf3,0.077
ndvi,0.065
soil_text9,0.047
