Features,Average Scores
rad_glob_int,0.742
nox_int,0.713
soil_text4,0.709
soil_text7,0.587
no2_int,0.576
soil_text,0.567
air_hum_int,0.567
soil9,0.556
soil7,0.551
nmvocs_cams,0.506
clim_zone,0.503
soilTextSum,0.491
ndvi,0.472
temp_2m,0.455
dsf3,0.452
dsf2,0.449
soilSum,0.42
no2_cams,0.412
pm10_int,0.409
soil8,0.401
o3_int,0.4
aq_zone,0.389
prim_road,0.385
pm25_cams,0.378
press,0.363
highway,0.361
nh3_cams,0.358
co_cams,0.354
int_prim_sec,0.351
pop,0.342
nh3_int,0.341
soil_text5,0.337
aod_055,0.331
temp_int,0.328
pm10_cams,0.327
wind_dir_int,0.322
soil2,0.309
aod_047,0.3
soil_text9,0.294
soil,0.289
soil5,0.287
soil_text2,0.286
farm_poultry,0.282
soil_text10,0.265
sec_road,0.265
soil_text1,0.259
soil4,0.252
int_sec,0.235
soil_text6,0.222
farm_sheep,0.22
soil_text3,0.219
soil1,0.218
farm_pigs,0.21
o3_cams,0.196
int_prim,0.182
