,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
Cumulated_All,0.12680988907831406,0.8323612951337706,0.8691975874195682,0.8708949303278243,0.6028491424412658,0.6664298828005881,0.6700009665759414,-0.8630174654337276,-0.9278580519431775,-0.9296331854337379,0.5134210832893414,0.5778822650862765,0.5817551350314618,0.6853150161601117,0.7443557169210743,0.7482493463139521,0.7643883258844478,0.8110223033025844,0.8101203855855227,0.8760296535520578,0.948037554070261,0.9482572773405152,0.06062355130093923,0.1821075811352476,0.18958356289870362,0.5619603421718975,0.6538805959578662,0.6565733601176088,0.3154376285118055,0.20259600907646638,0.20999979154532494
HighestConc_3rdQUART_3rdQUART,0.14485191359814648,0.8249828024893099,0.8610275118021332,0.8630075731554765,0.6022101586127895,0.6650189285160174,0.668770854607108,-0.8617683717599597,-0.9245585040374975,-0.9266152663888744,0.5131231106644583,0.5765644415836166,0.5805292380333612,0.6841896476476574,0.7436715726918868,0.7476244123879194,0.753528238741218,0.7999131888068612,0.7993305479545105,0.8772543462728059,0.9468803582277818,0.9471887679230517,0.05086580803411843,0.1724792403372584,0.17974547712852218,0.5528594175076751,0.6394606076146971,0.6422723658461552,0.32171059454685436,0.21382684160458254,0.22140713672536397
HighestConc_3rdQUART_90thPERC,0.14565487985942754,0.8252838718273852,0.8610770878864695,0.8631030551455519,0.6023136691185467,0.66425940225923,0.668053592750732,-0.86080887811615,-0.9239928090878897,-0.926062531757439,0.5131620489655155,0.5754908283240414,0.5794752372906662,0.6846612369241645,0.7435677181068863,0.7475642558668452,0.753072563129724,0.7998814761699174,0.7994487678479281,0.8777389818872962,0.9470762826836933,0.9473719327736829,0.05109264227540521,0.17100408660050195,0.17821223134615244,0.5523958567468507,0.6381245765854016,0.6409921330008496,0.32262575931479126,0.21474819979890292,0.2223329392765797
HighestConc_3rdQUART_MAXVAL,0.14565487985942754,0.8252838718273852,0.8610770878864695,0.8631030551455519,0.6023136691185467,0.66425940225923,0.668053592750732,-0.86080887811615,-0.9239928090878897,-0.926062531757439,0.5131620489655155,0.5754908283240414,0.5794752372906662,0.6846612369241645,0.7435677181068863,0.7475642558668452,0.753072563129724,0.7998814761699174,0.7994487678479281,0.8777389818872962,0.9470762826836933,0.9473719327736829,0.05109264227540521,0.17100408660050195,0.17821223134615244,0.5523958567468507,0.6381245765854016,0.6409921330008496,0.32262575931479126,0.21474819979890292,0.2223329392765797
HighestConc_3rdQUART_MEDIAN,0.15039173278507748,0.8248355652463564,0.8609463664472043,0.8629598608337091,0.6019543070219665,0.6638707360804103,0.6676324397566704,-0.860535191751205,-0.9241566481543428,-0.9262306431411659,0.513103154068334,0.5756146395051659,0.5795732425285269,0.6839393299980011,0.7427847371149991,0.7467539205750986,0.754194490849743,0.8015114655662553,0.8010019702264218,0.8760682764471422,0.945841439625261,0.9461275415162431,0.047140720124022185,0.16921877409898764,0.1764360369445913,0.552186771259875,0.637734648782689,0.6405803274929034,0.32310638067144026,0.21576653099335363,0.2233445322525116
HighestConc_90thPERC_3rdQUART,0.14467454074811492,0.8257133113965612,0.8624793254968712,0.864414083083152,0.5983359696971703,0.66221898367192,0.6658715568814462,-0.8617927727129788,-0.9248852359524845,-0.9268863434862228,0.5097687681392483,0.5748076589860437,0.5786642711869734,0.6796697366850439,0.7399634306845337,0.7438129892609712,0.7539331053177534,0.8011804900072648,0.8003781545579305,0.8746162907127822,0.944957786781376,0.9452058679159498,0.051367016798837546,0.17131542096934174,0.17861004429819552,0.5509458781414113,0.6383441278160339,0.6411172058058672,0.32093475319927023,0.21372350313844715,0.2213913950999732
HighestConc_90thPERC_90thPERC,0.14467454074811492,0.8257133113965612,0.8624793254968712,0.864414083083152,0.5983359696971703,0.66221898367192,0.6658715568814462,-0.8617927727129788,-0.9248852359524845,-0.9268863434862228,0.5097687681392483,0.5748076589860437,0.5786642711869734,0.6796697366850439,0.7399634306845337,0.7438129892609712,0.7539331053177534,0.8011804900072648,0.8003781545579305,0.8746162907127822,0.944957786781376,0.9452058679159498,0.051367016798837546,0.17131542096934174,0.17861004429819552,0.5509458781414113,0.6383441278160339,0.6411172058058672,0.32093475319927023,0.21372350313844715,0.2213913950999732
HighestConc_90thPERC_MAXVAL,0.14467454074811492,0.8257133113965612,0.8624793254968712,0.864414083083152,0.5983359696971703,0.66221898367192,0.6658715568814462,-0.8617927727129788,-0.9248852359524845,-0.9268863434862228,0.5097687681392483,0.5748076589860437,0.5786642711869734,0.6796697366850439,0.7399634306845337,0.7438129892609712,0.7539331053177534,0.8011804900072648,0.8003781545579305,0.8746162907127822,0.944957786781376,0.9452058679159498,0.051367016798837546,0.17131542096934174,0.17861004429819552,0.5509458781414113,0.6383441278160339,0.6411172058058672,0.32093475319927023,0.21372350313844715,0.2213913950999732
HighestConc_90thPERC_MEDIAN,0.1411270837474829,0.8250295972664281,0.8617112832788065,0.8637003480390217,0.6010151140535237,0.6652050467134881,0.6688550966752282,-0.8606686371511477,-0.9246384451150738,-0.9265999261892676,0.5127833610847579,0.5781932553758724,0.5820258393762969,0.6815936844484239,0.7423263662160977,0.7462018167556097,0.7551269742729368,0.802220412174246,0.8011084914255596,0.8748226522390797,0.9450098000936872,0.9452337096614041,0.051615986804790376,0.1704244564415319,0.17767024919107688,0.5525563983872204,0.6406619316201567,0.643461847790984,0.32403900746098563,0.2188343415285267,0.2265352650974302
HighestConc_MEDIAN_3rdQUART,0.13674718436370872,0.8310788257733819,0.8671478786926837,0.8690879981805092,0.6020709498855173,0.6636028703893344,0.6673736348190072,-0.8615235593781996,-0.9257120870479195,-0.9276340850289201,0.5126533564772501,0.5743510945031708,0.578399788941792,0.6850323263882945,0.7434053127039474,0.7474284019121974,0.7603896663024873,0.8080266060421979,0.8076149725738737,0.8773090261992542,0.9482966170673571,0.9486267324282386,0.05384820089708913,0.1748242550748893,0.18214175967343668,0.5575751669063896,0.6458250127087101,0.6486584766057799,0.3195666941270576,0.20755138099501813,0.2152324339876086
