Features,Average Scores
pm10_int,0.683
dsf2,0.509
pm25_cams,0.5
aod_047,0.486
aod_055,0.464
pm10_cams,0.459
press,0.458
no_cams,0.452
nmvocs_cams,0.444
co_cams,0.425
no2_cams,0.417
nh3_cams,0.401
soil_text7,0.399
temp_2m,0.396
no2_int,0.378
nox_int,0.334
temp_int,0.319
highway,0.272
int_prim_sec,0.252
sec_road,0.242
clim_zone,0.233
soil_text4,0.229
farm_poultry,0.227
int_sec,0.224
int_prim,0.209
rad_glob_int,0.205
nh3_int,0.198
soil_text5,0.196
prim_road,0.165
air_hum_int,0.145
soil7,0.136
soil8,0.114
soilTextSum,0.109
soilSum,0.1
pop,0.077
farm_pigs,0.04
soil5,0.04
soil9,-0.001
soil_text,-0.003
soil_text10,-0.008
soil2,-0.021
soil_text6,-0.037
soil4,-0.046
soil,-0.069
soil_text3,-0.073
soil_text2,-0.087
soil_text1,-0.121
soil1,-0.149
aq_zone,-0.2
o3_int,-0.203
farm_sheep,-0.226
wind_dir_int,-0.227
dsf3,-0.312
o3_cams,-0.316
ndvi,-0.325
soil_text9,-0.378
