Features,Average Scores
pm10_int,0.404
soil_text4,0.349
temp_int,0.293
nmvocs_cams,0.286
no2_int,0.259
aod_047,0.246
no2_cams,0.24
soil7,0.239
pm25_cams,0.235
nox_int,0.235
nh3_cams,0.235
temp_2m,0.228
co_cams,0.216
pm10_cams,0.212
dsf2,0.209
soil_text7,0.189
soil,0.169
press,0.158
int_prim_sec,0.157
pop,0.152
prim_road,0.152
highway,0.143
int_sec,0.142
soilTextSum,0.137
sec_road,0.126
int_prim,0.116
farm_pigs,0.1
farm_poultry,0.097
soil_text,0.088
nh3_int,0.073
rad_glob_int,0.056
soilSum,0.056
farm_sheep,0.018
clim_zone,0.016
soil_text3,0.003
air_hum_int,-0.007
ndvi,-0.011
aq_zone,-0.026
soil_text10,-0.027
soil9,-0.036
soil_text5,-0.043
soil_text6,-0.065
o3_int,-0.066
o3_cams,-0.096
dsf3,-0.103
soil_text9,-0.148
soil_text1,-0.163
soil8,-0.167
soil1,-0.167
soil2,-0.176
soil4,-0.189
soil_text2,-0.194
soil5,-0.254
wind_dir_int,-0.264
