Features,Average Scores
temp_2m,0.403
soil_text7,0.392
dsf2,0.377
press,0.345
pm10_int,0.331
pm25_cams,0.317
nh3_cams,0.294
pm10_cams,0.274
no2_int,0.249
nox_int,0.234
temp_int,0.217
rad_glob_int,0.203
soil_text4,0.185
no2_cams,0.156
soil8,0.155
soil_text5,0.153
int_prim_sec,0.138
nmvocs_cams,0.132
co_cams,0.123
clim_zone,0.116
soilTextSum,0.113
soil7,0.113
highway,0.103
aod_047,0.093
prim_road,0.09
nh3_int,0.089
soil9,0.077
farm_poultry,0.071
soil5,0.062
sec_road,0.062
soilSum,0.054
int_sec,0.047
soil_text6,0.033
soil_text,0.022
soil_text2,0.02
soil2,0.017
int_prim,-0.04
soil4,-0.054
pop,-0.06
farm_pigs,-0.063
soil_text10,-0.069
soil_text1,-0.072
o3_cams,-0.12
soil,-0.124
soil1,-0.128
air_hum_int,-0.157
aq_zone,-0.175
soil_text3,-0.184
dsf3,-0.249
ndvi,-0.252
farm_sheep,-0.26
soil_text9,-0.338
wind_dir_int,-0.363
o3_int,-0.41
