Features,Average Scores
pm10_int,0.626
nh3_int,0.548
nh3_cams,0.488
pm10_cams,0.474
pm25_cams,0.442
nox_int,0.357
co_cams,0.351
aod_047,0.346
no2_int,0.317
clim_zone,0.309
temp_int,0.301
nmvocs_cams,0.28
no2_cams,0.263
dsf2,0.252
farm_poultry,0.239
ndvi,0.236
press,0.21
temp_2m,0.204
farm_pigs,0.202
soil_text4,0.198
no_cams,0.185
soilTextSum,0.161
int_prim,0.15
int_sec,0.146
soil,0.125
soil_text5,0.111
soil_text3,0.11
soil7,0.108
sec_road,0.094
farm_sheep,0.089
highway,0.065
pop,0.062
soil_text7,0.062
int_prim_sec,0.058
soilSum,0.052
soil_text10,0.045
rad_glob_int,0.03
air_hum_int,0.02
prim_road,0.016
soil8,-0.018
wind_dir_int,-0.035
soil4,-0.051
soil_text2,-0.056
soil_text6,-0.065
soil_text1,-0.066
soil1,-0.077
aq_zone,-0.091
soil_text,-0.094
soil2,-0.118
soil_text9,-0.125
soil5,-0.137
o3_cams,-0.188
soil9,-0.201
dsf3,-0.236
o3_int,-0.29
